,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
0,4JXTidXxbGR4Z8t3hLpnwWTXM6e1LwCwTy69ALVcKf85zmQa4P5nvG5L4KtMF1HnitVh2ZwuLdGVjFWDhfuwioHb,buyNow,magiceden_v2,FshijKsWbQXXZkTHtHRHucjisjbNef4qKdx48Go1wx5D,degods,137862882,1655453815,Hmc3aPNTyVVSpERiz2GdrhbD4KFy7bG8kwucavdHaAwT,,CErcpWMXqoRJarwykcJ4iuMPTcaFYWMxWvXBPLL3Bfkw,,399.0
1,5KeStFSdXwkmPrprk1ZcM8Tc8GGP9dggTYyizpBEw5iyW2MAefwUHtkd4WKiUVUK8CZg7wYNi5ZrhYVT6wUFjdaq,buyNow,magiceden_v2,GSGLUx8mj3jKf5As1yGHejxhxnkTn4Ccesz9xddJaxE2,degods,137799808,1655410312,LorisCg1FTs89a32VSrFskYDgiRbNQzct1WxyZb7nuA,,AeMWyRTJUQbqbfEPSGpHEgMsq1Sz4ddMXge9uyeUEoVA,,340.0
2,4Y4FraNrYWqdh6NK6P4nU12t4KPMgGi4VBerRTibNoHmFRUnd1Qmt21W5tYUu3sFLzBWbxX6NqDZTjesGVBf2dte,buyNow,magiceden_v2,Lgq4QNR4RoU6AMNLdXRHXv2CZE8CUcAHrtcYoRgaSaz,degods,137782208,1655398012,9s4wcDSZ5Yp98R5uxeknZSbMuMir7YQj3q3pETvYHEje,,FAEr2FCqheDRWimHWbgPKWwKdvf3NVgpUmUtGHVwx3fv,,323.0
3,2EdExVCUJW8STzr6T9G7RT3D4x4wE22kNMrqAQS85NgLwSCgZeFd2XbaTB6Yyz18LSHgvjc8DinYUboA8p9XGewZ,buyNow,magiceden_v2,8vmmEaqHDiKMBiToU5JVt6krYmCXVQocbikLFvs62gaV,degods,137749208,1655375031,D6EsdUDLUdAKWA31SppEFjniGq5y5RieQ5X7x4ChMTnJ,,GSGZ8FYQwmSAumAJCNcn4bd7TX7MKNeP4M4ug4w6X2ii,,343.33
4,55yBpajw6yEv2e957WGcwtnYroTggJ4QLLjHhZwSaZnLDgRnndXAGFVf9PV5dhnApk1fjrEBKHDedQwFgZuAT5pq,buyNow,magiceden_v2,FuFTcC7H6uVtMfbKJdTArU5U6rjqjQnnX5vY9B816WDf,degods,137726517,1655359549,9My4TpDhot7y6kpfTvkoxduMvwhftMevtdx1TuH9LFHE,,FPpLJrgvtopgbiFYFqVjBwRoHPYw8rU5GQ3132L3RMTi,,450.0
5,3yuToe9Ph1k13R9GFi3RdRs36ez8M1boeCt5uVWwoqsFiWRuprcUdi6DJRPLgB61iadzG63YkLPGnSNcV8EnvXXB,buyNow,magiceden_v2,43p4EUmTkkBZcSL3KFR2APZo9rqHiZZYzPVcAkUQd6dq,degods,137717775,1655353555,UfJNTBwCaozAZBEEuznrcqGEvaSV5BU3uMvUWZXkqUF,,HjRKXCyFi5gmhBZ8YmfpiLgpY7aFMDELdoa26rcnkeuj,,385.0
6,65FDJzGPjfPoKz8rMJt2ZAFBegPBhTrYkxznCdLt5ZhJsV3uBSrp97eE3Ds3XZ3NP5eB2pBqsAwDoSewCZ3ArK7e,buyNow,magiceden_v2,7xSqw1Pf9eBXTrjSXYBMFZwnG4HyyLtZ8zsUkW5AQT9M,degods,137706579,1655345963,6C1vfLY1LMgEnpkR8Gep9gsygJhVHsvCe2RJZcxgc61o,,9qWBuHwi4ugM2Nt7SSCX5pHEYNJXyQZMTn8aoG6qnY6J,,396.0
7,52SKMsrojbypQy7huBRnTZEdruhQgiEs998tYGdGBV8K568gcwobkoHpgkHJVJJUH8sYB4v14aXRBCu3mKHLz5bf,buyNow,magiceden_v2,78E9SfNPutYyMmhFp9WWaXdsiJriEZMyZz7F7FUG4Nc4,degods,137686856,1655332278,3oTtAzrZLqsg8nu2hrZE2XDDdGpq6ZdC6GFhofxPy9J7,,7d2pZjkxCd8AbGqVpEmUiyQLuTrqTFbFymhQchgDhxGW,,350.0
8,4Q3qTdeWj51ZRLUQpBE1H486YUL6WyhoqXyp5yUM6Mvx7r2cBgeHK1kNqqXEKn9Vd3hWuSZ7fHkmunhWKQ7MxJrj,buyNow,magiceden_v2,8kcy52ARRUE9YecwwHGmdLVdcrukM397u6je14A6HvFq,degods,137683945,1655330198,5swmAFHWg4ZVRGDp1f8De6g1xcwfD6KDK7m6aK1KTCJL,,6nsC3UXTCpHq4tXZ1GEeVPg28B9NF8UV4G14dpm9WCUb,,333.0
9,57JiQPVqJPWFfMPZYnKJVUN17PHuQ1qqQ2p3NXDPtLNdj3DDPzczc5wTnMrz71n83HSMxGvEcnDpMVff8GEJrBM4,buyNow,magiceden_v2,7F7k82p2Vu29ckZtqGhz38jU4XwZ5LmSUtD3tV2J4k97,degods,137673909,1655323283,3AFKpfsTfy1DKbER4AXE5nNYjjDhb1wFKm4gK7KixZNa,,44MSMQrRWU62gZimmrVnsUogU5W1h6Nvr8i42b65EULF,,400.0
