,name,background,clothes,eyes,head,mouth,neck,skin,speciality,specialty,version,background_rarity,skin_rarity,speciality_rarity,clothes_rarity,neck_rarity,head_rarity,eyes_rarity,mouth_rarity,specialty_rarity,version_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
0,DeGod #3159,Red,Steve Jobs Turtleneck,Rugrat Frames,Mad Scientist,Party Blower,Pimp Chain,X-Ray,God of War,God of War,DeGod,0.126,0.0436,0.00013333333333333334,0.031733333333333336,0.021466666666666665,0.0516,0.0212,0.08613333333333334,0.0496,0.034,0.00013333333333333334,0.126,0.04654666666666667,7736.701362157916,1,3159,DbUhtmYhNZDhm7NRwfxRNU7SDVLufDjNuroVHZ83nrHh,7Hjkr43UV8Sors6sRfh1rJhU4Nu54LnkNgq5vQEnux6i,DeGods,https://www.arweave.net/AeUoRolBRJ73KojKmLyjvk3qxwD2wMtM9-5fJ2ggCf0?ext=png,SOL
1,DeGod #3159,Red,Steve Jobs Turtleneck,Rugrat Frames,Mad Scientist,Party Blower,Pimp Chain,X-Ray,God of War,God of War,DeGod,0.126,0.0436,0.00013333333333333334,0.031733333333333336,0.021466666666666665,0.0516,0.0212,0.08613333333333334,0.0496,0.034,0.00013333333333333334,0.126,0.04654666666666667,7736.701362157916,1,3159,2e7qpQuhki7gH2tKAN2G8tTNRZ4fcj9G6BbQ8n7v1ztr,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/3158.png,SOL
2,DeGod #6524,Purple,War Armor,Swirly Glasses,Rainbow Definitely Not A Dildo,None,Louis Scarf,Pastel,,Mythic Wings,DeadGod,0.12746666666666667,0.029733333333333334,0.9998666666666667,0.0312,0.0408,0.0008,0.0388,0.5281333333333333,0.0044,0.07053333333333334,0.0008,0.9998666666666667,0.1871733333333333,1618.155772761989,2,6524,2wQxDmYrLoh6S6fdW1korGGmdBikX2TjXUUih7ZLGiHn,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/6523-dead.png,SOL
3,DeGod #7329,Purple,Caesar Tunic,None,Rainbow Definitely Not A Dildo,Fruit Roll Up,Diamond Necklace,Solar Spiral,,Earring,DeadGod,0.12746666666666667,0.102,0.9998666666666667,0.04306666666666667,0.0416,0.0008,0.5158666666666667,0.0244,0.08453333333333334,0.07053333333333334,0.0008,0.9998666666666667,0.20101333333333332,1384.8369576969876,3,7329,2Y41FBDEzQZyzPbJU4fwpPqhTW5LBzfsKMj6WGVAMvez,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/7328-dead.png,SOL
4,DeGod #5414,Blue,Gym Tee,Steampunk Goggles,Rainbow Definitely Not A Dildo,Santa Beard,None,Lavender Stripe,,None,DeadGod,0.1416,0.09853333333333333,0.9998666666666667,0.0488,0.5170666666666667,0.0008,0.019466666666666667,0.04733333333333333,0.5205333333333333,0.07053333333333334,0.0008,0.9998666666666667,0.24645333333333336,1379.2323438067772,4,5414,2jmG2y5xpFaAVbTLs8Ydv3uzWFyzRiFEpAFeMZT11syK,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/5413-dead.png,SOL
5,DeGod #6497,Purple,Druglord Suit,Eye Patch,Rainbow Definitely Not A Dildo,None,None,Pink Granite,,Quarterback,DeGod,0.12746666666666667,0.09653333333333333,0.9998666666666667,0.03333333333333333,0.5170666666666667,0.0008,0.0324,0.5281333333333333,0.08173333333333334,0.034,0.0008,0.9998666666666667,0.2451333333333333,1375.542758009989,5,6497,2c9vhMika5LSL51m2Qfywb2yNSfVuUL3GESKtR6PMwHX,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/6496.png,SOL
6,DeGod #6879,Purple,Tracksuit,None,Rainbow Definitely Not A Dildo,None,None,Lavender Stripe,,Black Eye,DeadGod,0.12746666666666667,0.09853333333333333,0.9998666666666667,0.022133333333333335,0.5170666666666667,0.0008,0.5158666666666667,0.5281333333333333,0.0488,0.07053333333333334,0.0008,0.9998666666666667,0.29291999999999996,1354.6103245996544,6,6879,33Xpd23mNRG2TyrJuNiWvAwWBEx4mHgUP2QYv9ZDRZQ8,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/6878-dead.png,SOL
7,DeGod #8438,Olive Green,Bloody Beater,None,Rainbow Definitely Not A Dildo,Porn Stashe,None,Marble,,None,DeadGod,0.1288,0.0948,0.9998666666666667,0.0236,0.5170666666666667,0.0008,0.5158666666666667,0.08506666666666667,0.5205333333333333,0.07053333333333334,0.0008,0.9998666666666667,0.29569333333333336,1343.4122712694545,7,8438,2njsz5z7GPtg5vJdKcLL6JJwuKE3GAQWPbupqjewF2Xj,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/8437-dead.png,SOL
8,DeGod #3251,Heaven,DeDoctor Coat,Steampunk Goggles,Medusa,None,Gold Chain,Nebula,,None,,0.009866666666666666,0.0054666666666666665,0.9998666666666667,0.03453333333333333,0.04013333333333333,0.0033333333333333335,0.019466666666666667,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.30568,695.4539534205884,8,3251,6CCprsgJT4nxBMSitGathXcLshDTL3BE4LcJXvSFwoe2,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/3250.png,SOL
9,DeGod #8628,Deep Ocean Blue,None,None,Medusa,None,Solana Chain,Ice,,None,DeGod,0.1232,0.006666666666666667,0.9998666666666667,0.04666666666666667,0.0061333333333333335,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.034,0.0033333333333333335,0.9998666666666667,0.27843999999999997,678.7538840646001,9,8628,2973mQSn8ywhXn5swZ9xTWPp1xuygwjWjLijhL7qRYTW,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/8627.png,SOL
10,DeGod #6393,Deep Ocean Blue,Divine Robe,None,Mythic Helmet,None,None,Zebra,,Quarterback,,0.1232,0.0772,0.9998666666666667,0.0032,0.5170666666666667,0.0032,0.5158666666666667,0.5281333333333333,0.08173333333333334,0.8954666666666666,0.0032,0.9998666666666667,0.37449333333333334,666.18796400837,10,6393,DW4fqK1tob546eUxH6KcCDyJX7QB1zGDP6qYeAQWyYVT,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6392.png,SOL
11,DeGod #3294,Olive Green,Top God Jumper,Night Vision Goggles,Medusa,None,None,Blue Sky,,Third Eye,,0.1288,0.0468,0.9998666666666667,0.023333333333333334,0.5170666666666667,0.0033333333333333335,0.014,0.5281333333333333,0.005066666666666666,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.3161866666666667,646.7299492029181,11,3294,BQnx4PKRR5k7ZqhRpfGHpzpjgYP8pzWm3nJWVhykeFyT,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/3293.png,SOL
12,DeGod #4420,Olive Green,Mythic War Armor,None,Medusa,None,None,Zombie,,None,DeadGod,0.1288,0.0172,0.9998666666666667,0.0044,0.5170666666666667,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.07053333333333334,0.0033333333333333335,0.9998666666666667,0.33057333333333333,616.0411042169625,12,4420,29nCiqQ1RDX9HrKGjomU3w5GjbMar4k9iS3AXNLgFU65,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/4419-dead.png,SOL
13,DeGod #9876,Hell,None,None,Medusa,None,None,X-Ray,,Mythic Wings,,0.0276,0.0436,0.9998666666666667,0.04666666666666667,0.5170666666666667,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.0044,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.35819999999999996,615.7517653142982,13,9876,635juNWYHBZJ4uMgCP3friYvWrtCAfYUydEFZkpA7QfC,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/9875.png,SOL
14,DeGod #2717,Brown,Divine Robe,None,Fade,None,Mythic Mamba,Ape,,Devil Wings,,0.1292,0.0448,0.9998666666666667,0.0032,0.004933333333333333,0.05173333333333333,0.5158666666666667,0.5281333333333333,0.047466666666666664,0.8954666666666666,0.0032,0.9998666666666667,0.32206666666666667,591.6101981396686,14,2717,8kAenc7eG5xSJWNFzQcXiGySjzxSTZrsM5cvs8A9kGcv,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/2716.png,SOL
15,DeGod #3073,Heaven,God Jersey,Glowing Eyes,Medusa,None,Gold Chain,Marble,,None,DeGod,0.009866666666666666,0.0948,0.9998666666666667,0.021733333333333334,0.04013333333333333,0.0033333333333333335,0.015066666666666667,0.5281333333333333,0.5205333333333333,0.034,0.0033333333333333335,0.9998666666666667,0.22674666666666665,583.4272352958093,15,3073,2VNE77nwYiGaaQ73yDpA3YB8GAfwWQgAUvTRUr2DmoxW,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/3072.png,SOL
16,DeGod #3769,Blue,Divine Robe,Laser Eyes,Pharaohs Headdress,Vape God,Double Diamond Necklace,Turquoise,,None,,0.1416,0.09533333333333334,0.9998666666666667,0.0032,0.0212,0.009733333333333333,0.014666666666666666,0.0472,0.5205333333333333,0.8954666666666666,0.0032,0.9998666666666667,0.27488,573.3674296510644,16,3769,HCRnBk8oLHGYguyFi9Rrs2LczfFg3JjtaiPXaXymL7g8,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/3768.png,SOL
17,DeGod #4320,Teal,Mythic War Armor,Laser Eyes,Mad Scientist,Fruit Roll Up,Silver Chain,Ice,,Angel Wings,,0.13013333333333332,0.006666666666666667,0.9998666666666667,0.0044,0.06666666666666667,0.0516,0.014666666666666666,0.0244,0.024666666666666667,0.8954666666666666,0.0044,0.9998666666666667,0.22185333333333332,571.1598332467967,17,4320,6SLKv3veFSnvYaQhuqx6g5dumMPL1yNesdBmKv3hKbHW,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/4319.png,SOL
18,DeGod #7851,Supernova,Bloody Beater,Playboy Bunny Glasses,Medusa,None,Diamond Necklace,Transcendent,,None,,0.028933333333333332,0.009066666666666667,0.9998666666666667,0.0236,0.0416,0.0033333333333333335,0.021466666666666665,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.30720000000000003,563.7829607628184,18,7851,9XHFfUsxMBW4TKE14KL4ygjAsyaYvRD7h3XsAD2pPvmH,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/7850.png,SOL
19,DeGod #4534,Red,Overalls,Night Vision Goggles,Mythic Helmet,None,Silver Chain,Transcendent,,Archer,,0.126,0.009066666666666667,0.9998666666666667,0.03386666666666667,0.06666666666666667,0.0032,0.014,0.5281333333333333,0.0828,0.8954666666666666,0.0032,0.9998666666666667,0.27590666666666663,562.7743815039915,19,4534,B1M27JVX7qDJqVtHRoZwgsuQX9LVaExxdPeHu5XyP5rE,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/4533.png,SOL
20,DeGod #6952,Deep Ocean Blue,God Beater,Rainbow Laser Eyes,Medusa,None,None,Ape,,Forehead Diamond,,0.1232,0.0448,0.9998666666666667,0.047466666666666664,0.5170666666666667,0.0033333333333333335,0.0061333333333333335,0.5281333333333333,0.027066666666666666,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.3192533333333334,557.4393358291716,20,6952,CcWzMRxnKpHcXqXohWW16bfdsYpkq72ZB63ovWjQXvJh,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6951.png,SOL
