,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
49,7.479089,6.1,Ape #2571,5054,6,https://bafybeifwtjqignttzliemnre4rjpknn52drmxjp2b3ccdivz6gqgxte4ky.ipfs.nftstorage.link/2571.png?ext=png,1.3790890000000005
166,8.552521,7.2,Ape #5543,3935,6,https://bafybeif4aohpwpunyvwyukskbgx7qk64bj6t24pzvdotbobpzueqcy4wx4.ipfs.nftstorage.link/5543.png?ext=png,1.3525210000000003
28,7.5174956,6.2,Ape #8661,6873,6,https://bafybeid5s5hwmbz3foza4fhcoipflhz2y4ipxsdolm3qe646n7mvkevgcy.ipfs.nftstorage.link/8661.png?ext=png,1.3174956
186,7.3506,6.1,Ape #354,7271,6,https://bafybeihnbs3elbynaa73eg4cdtsjkfhxcbnroinabp5lxat6qwckssawf4.ipfs.nftstorage.link/354.png?ext=png,1.2506000000000004
54,7.503628,6.39,Ape #1451,7510,5,https://bafybeiaxocviez7pjfglecfiu627xc7lyramahwcsagtmrnvofzy3sqoym.ipfs.nftstorage.link/1451.png?ext=png,1.1136280000000003
15,7.5024743,6.5,Ape #2252,9330,6,https://bafybeihiaxfjx2kikivuikcwca3bat3hllsqmv2lqvlys2m7etoihj35by.ipfs.nftstorage.link/2252.png?ext=png,1.0024743000000003
142,7.4709644,6.5,Ape #123,9542,6,https://bafybeia3bd54kbwzrytktofczbyf5lb4prjogfjqnvmyasl2xrlfuxzocu.ipfs.nftstorage.link/123.png?ext=png,0.9709643999999997
33,7.3890777,6.44,Ape #8136,8991,6,https://bafybeiaczpgaug3rjnty335nxslja4txfuuqpeh42cr6thtnyw2c34dz6q.ipfs.nftstorage.link/8136.png?ext=png,0.9490776999999992
167,7.9369674,7.0,Ape #1993,7236,6,https://bafybeidjkm7dpbhtrdag4p5vfb5g333gopadleqkmtvtn3jbytuqd7skb4.ipfs.nftstorage.link/1993.png?ext=png,0.9369674000000003
72,7.8328896,7.0,Ape #365,6517,5,https://bafybeicn2is256kd4fmslz7qc7bdo7axrw4wg2axqkin33ebf34s47e4ea.ipfs.nftstorage.link/365.png?ext=png,0.8328895999999997
10,7.324179,6.5,Ape #5986,5549,6,https://bafybeig2bcmxhgg7qkvdtnpffxok6y66hf5y36fh467cc4pyqyc2p4tq5m.ipfs.nftstorage.link/5986.png?ext=png,0.824179
303,7.3334503,6.53,Ape #4598,8346,6,https://bafybeic6narrta373r7xkkpo6spjq7tbhezums44glde2fysnrxfp5hp4q.ipfs.nftstorage.link/4598.png?ext=png,0.8034502999999997
176,7.7805786,6.99,Ape #79,4035,6,https://bafybeiecxovi4muhmxodj5x3bbe4iflxqkdz6a5ona34aqrf5aoe6s4bwq.ipfs.nftstorage.link/79.png?ext=png,0.7905785999999999
148,7.53756,6.75,Ape #4843,9680,6,https://bafybeieu5aqcqjeznzlzt3f2xlvzd3vvt5cej6ywg45vevutfqu7sdwnya.ipfs.nftstorage.link/4843.png?ext=png,0.78756
64,7.3840914,6.6,Ape #5638,8054,6,https://bafybeibfaaj3yy6vsgpidyxi66rlngvxbgstexpyhvkupx24ebfnv5o46m.ipfs.nftstorage.link/5638.png?ext=png,0.7840914000000003
2,7.7185097,7.0,Ape #1496,3912,6,https://bafybeidess4qnp7jyyeyrbjueen527t44ni5ev35rpd75doiwjyply5di4.ipfs.nftstorage.link/1496.png?ext=png,0.7185097000000003
193,7.469699,6.8,Ape #116,9969,6,https://bafybeihhk3jb3i6ocdunoxpgrg6e2o72yxep7jhn6doyqcyfmex47vc46y.ipfs.nftstorage.link/116.png?ext=png,0.6696990000000005
201,8.169512,7.5,Ape #1738,8842,6,https://bafybeibwqokwsa46qdokuypgr2avsemglrgm7du3igq2j45divux4r4mfq.ipfs.nftstorage.link/1738.png?ext=png,0.6695119999999992
325,7.499845,6.85,Ape #7803,6987,6,https://bafybeianrp37umvzyrucdf5fs7n24c2n37odaasdwrqhqvcjuxtefb7vk4.ipfs.nftstorage.link/7803.png?ext=png,0.649845
7,7.1476235,6.5,Ape #6961,5191,6,https://bafybeidfpk72nioskuzn5xqiqahywiqv4ccdqzq7hafhvfi5mlcjlsftke.ipfs.nftstorage.link/6961.png?ext=png,0.6476234999999999
12,7.380752,6.75,Ape #4010,1397,7,https://bafybeicujv4yqvesmscc4gcur4we2rgiqeexohkplcst66sgmgqxjotdve.ipfs.nftstorage.link/4010.png?ext=png,0.6307520000000002
17,7.619525,7.0,Ape #5840,991,7,https://bafybeigjermozh2qwu3nlmrhtaqo4tcoljqmzhohzh5sqlmxr5yi3x4qda.ipfs.nftstorage.link/5840.png?ext=png,0.6195250000000003
52,8.116701,7.5,Ape #3861,3943,5,https://bafybeif2jbgo5wzj2mjac537g6u2wepyzavube4bs7dmasizxldntuxqei.ipfs.nftstorage.link/3861.png?ext=png,0.6167010000000008
956,8.5972595,7.99,Ape #748,5673,5,https://bafybeiaztnfwsrrwisunkehjeywzil45avj57sxuujoyqyxgvkktndxivi.ipfs.nftstorage.link/748.png?ext=png,0.6072594999999996
214,8.092391,7.5,Ape #2371,5685,5,https://bafybeihzmqsxqzcdv7nb6oo2nz7pojipglprizxna2ra2txdgrnccnnlnm.ipfs.nftstorage.link/2371.png?ext=png,0.5923909999999992
100,7.6787477,7.1,Ape #6330,1570,7,https://bafybeib26ehfhc5ow7mm7py5rzc6a5axprwxonvrz2auyhymdh42iu2foy.ipfs.nftstorage.link/6330.png?ext=png,0.5787477000000001
102,7.3763027,6.8,Ape #6943,5827,6,https://bafybeihoqqh6xi32em454t6mq5ttuwqywiz34k5snwd653kr533g3hs5ci.ipfs.nftstorage.link/6943.png?ext=png,0.5763027000000003
187,7.324921,6.75,Ape #180,5966,6,https://bafybeihvts3ov5wapv4x3d2thrnvlwm42wvvddugewvdrem2nfbccheywy.ipfs.nftstorage.link/180.png?ext=png,0.5749209999999998
348,7.535613,7.0,Ape #1305,8597,6,https://bafybeiblaihp46n2lydfecbchfiath6o6gugpnj2vs3aoklz5qwrdctn3a.ipfs.nftstorage.link/1305.png?ext=png,0.5356129999999997
114,7.529505,7.0,Ape #3122,6677,6,https://bafybeigilxyppwil3z6ikrojlu5f5awwxrcp2ujembdoeprz43rcqcbi2a.ipfs.nftstorage.link/3122.png?ext=png,0.5295050000000003
120,7.8265495,7.3,Ape #7947,5414,6,https://bafybeia6puc7mt5lu77fwpl6zdx3hzzjhnnet4agaxg7z52srdssxiadrm.ipfs.nftstorage.link/7947.png?ext=png,0.5265494999999998
203,7.5140424,6.9911,Ape #9720,9771,6,https://bafybeifsay3zfm4emlfafck4fnd7cpwd4zftmtqd5pmpu3iopjbdsywa4i.ipfs.nftstorage.link/9720.png?ext=png,0.5229423999999998
8,7.408998,6.9,Ape #6458,1483,7,https://bafybeidiny7vmslkoziddamffwis6tkfnapwvecw7odb35v2xqx4ixvioi.ipfs.nftstorage.link/6458.png?ext=png,0.5089980000000001
1368,7.5033746,7.0,Ape #4453,8013,6,https://bafybeibctibxql2sqatymxutpfauewzyojmxpcxz6whrp6vnlmwj552tua.ipfs.nftstorage.link/4453.png?ext=png,0.5033745999999999
308,7.482621,7.0,Ape #3188,8343,6,https://bafybeifnf43kbmthpuv4q4ldefkllqcqm7fqqf4cp4c6l4mhyfhvotvenq.ipfs.nftstorage.link/3188.png?ext=png,0.48262099999999997
155,7.4659867,6.99,Ape #4446,9428,6,https://bafybeibctibxql2sqatymxutpfauewzyojmxpcxz6whrp6vnlmwj552tua.ipfs.nftstorage.link/4446.png?ext=png,0.4759867
21,7.4658237,7.0,Ape #7552,8095,6,https://bafybeielcssnaoej4tsjqvesh3ydfrensml3tefsqevhduktjkljlmkm6a.ipfs.nftstorage.link/7552.png?ext=png,0.4658236999999996
181,7.453198,7.0,Ape #8421,6299,6,https://bafybeiexx5bbst5t44d43iigau7jpftd2h6dkdpawi4hn4mbrqc7pqffem.ipfs.nftstorage.link/8421.png?ext=png,0.45319800000000043
437,8.764606,8.313,Ape #563,4620,5,https://bafybeihol3ljzijixtdgn6glbxlqd32mbzfrwo7f5ad4fkki2ifyowemmu.ipfs.nftstorage.link/563.png?ext=png,0.45160599999999995
29,7.4440446,7.0,Ape #1398,9701,6,https://bafybeibbx73huuy2xfsdvautmwcnwqdu47v3dtwetzfhelagya4gvgslwu.ipfs.nftstorage.link/1398.png?ext=png,0.4440445999999998
136,7.4439745,7.0,Ape #9287,7695,6,https://bafybeiab3eto3xzi4ukcjdf3htdxhxxero7yckocacpbs6y5dgoepwp2yi.ipfs.nftstorage.link/9287.png?ext=png,0.4439745000000004
58,7.429632,7.0,Ape #1679,9983,6,https://bafybeicfdkl5aylyfuenet27zdwutrsxyix2dfpxqlhpvm3hhok3hxeppq.ipfs.nftstorage.link/1679.png?ext=png,0.4296319999999998
78,7.401934,7.0,Ape #320,7320,6,https://bafybeicdfymx4iqswr6hevufso24fckcnepqehbkopswy2r6eyk7gi4dbm.ipfs.nftstorage.link/320.png?ext=png,0.4019339999999998
228,9.339038,9.0,Ape #2375,730,6,https://bafybeihzmqsxqzcdv7nb6oo2nz7pojipglprizxna2ra2txdgrnccnnlnm.ipfs.nftstorage.link/2375.png?ext=png,0.3390380000000004
440,7.7644815,7.45,Ape #5559,7276,6,https://bafybeifhowxurk3e53n5poxdnjlvlfeqtsfwxrk2rduj6dv44qlwkc3pha.ipfs.nftstorage.link/5559.png?ext=png,0.3144814999999994
735,7.3111415,7.0,Ape #7446,6112,6,https://bafybeihfqlg677s3fyvph5t7k2rzp5l56arvftreubsbtyzsyh5qeoalou.ipfs.nftstorage.link/7446.png?ext=png,0.31114149999999974
207,7.405569,7.1,Ape #4106,9161,6,https://bafybeiegngjspjteukqhz4ovdn5wufx2ue27mnn5e7g2wtphblgok652ey.ipfs.nftstorage.link/4106.png?ext=png,0.3055690000000002
641,8.243459,7.95,Ape #1814,4416,5,https://bafybeigne6fuom3r7ztwcfsdxnp57m2u6ldcijlux4of2hgzmgasrv4wwy.ipfs.nftstorage.link/1814.png?ext=png,0.29345899999999947
80,7.78977,7.5,Ape #9946,4985,6,https://bafybeidezhuou5p4gz35uy6dcx5fxho2q6nqhwmdmtr5aksvppm2rpzs7m.ipfs.nftstorage.link/9946.png?ext=png,0.28976999999999986
95,7.289258,7.0,Ape #2477,5460,6,https://bafybeiffae6cubldbbi3tn5mc6iymdwwonulgfture3f3on2jm7gg3wpw4.ipfs.nftstorage.link/2477.png?ext=png,0.28925800000000024
27,7.2683506,7.0,Ape #2723,1076,7,https://bafybeibhaa62bxgjaa63gyv53yfvrmnvshyrpbxen2sjz45nplnpjjn2qq.ipfs.nftstorage.link/2723.png?ext=png,0.2683505999999998
240,10.061534,9.8,Ape #834,341,6,https://bafybeigdslekxttbvqp4iwox3lnmfsyem6budcy74n3otkvb7yoiu2kpsq.ipfs.nftstorage.link/834.png?ext=png,0.26153399999999927
124,7.4274025,7.19,Ape #6606,4607,6,https://bafybeigbhmjodfalkwtcjuydikdl276lgeydseqmiwx7ggctheaoyomswa.ipfs.nftstorage.link/6606.png?ext=png,0.23740249999999996
154,7.2215104,7.0,Ape #8589,5542,6,https://bafybeiacm5csuybaj7wc72gtckbe6yggvgy6bky4ttwhqyarnvw2xxssly.ipfs.nftstorage.link/8589.png?ext=png,0.22151039999999966
122,7.403166,7.2,Ape #5454,2081,7,https://bafybeihf4fwx7tpay3e522oxq6frir6durr4zydm2rnsc5skib5dzth7d4.ipfs.nftstorage.link/5454.png?ext=png,0.2031659999999995
165,7.577734,7.4,Ape #9866,9115,6,https://bafybeibtlptaeub2cleyj276u74hxmrbtsxloqy3uj5ezsnjgyrccinkvy.ipfs.nftstorage.link/9866.png?ext=png,0.17773400000000006
221,7.7650976,7.6,Ape #8697,4750,6,https://bafybeiglogyhjhe52gmzzxgkiouyh74a2l5hjq2drfzlmwbgaz6dx5kxke.ipfs.nftstorage.link/8697.png?ext=png,0.16509760000000018
23,10.833926,10.69,Ape #9437,2221,6,https://bafybeifh2fvrsqymccpmw3pp7bzxhxm6xwvgsdnrijdmn42nbij27vpgkq.ipfs.nftstorage.link/9437.png?ext=png,0.14392600000000044
106,7.5870895,7.45,Ape #4398,4646,6,https://bafybeibc4m4hl2g7c6xfysm6glsfye5zgdecquxwfkhj25yj2vuk44fjnm.ipfs.nftstorage.link/4398.png?ext=png,0.1370895000000001
9,7.1274824,7.0,Ape #3687,2298,7,https://bafybeiarru2tv4lzf2gvm4jglgmc77u4i3bqecneb7ovepykn2qlf2rlue.ipfs.nftstorage.link/3687.png?ext=png,0.12748239999999988
316,8.121395,8.0,Ape #6076,4174,5,https://bafybeidhq757s2cnbpsvcgw3oixtpjaqzxvqygvtr3r63gwjxzpy3yrzzu.ipfs.nftstorage.link/6076.png?ext=png,0.1213949999999997
103,7.5118885,7.4,Ape #9216,5906,6,https://bafybeia7eiin6wkr743ipkrrgdufgz3xjvdauyr2hkwmkbfjefv3bp6dna.ipfs.nftstorage.link/9216.png?ext=png,0.11188850000000006
229,7.6067824,7.5,Ape #90,7981,6,https://bafybeihhk3jb3i6ocdunoxpgrg6e2o72yxep7jhn6doyqcyfmex47vc46y.ipfs.nftstorage.link/90.png?ext=png,0.10678240000000017
3,7.569272,7.5,Ape #9821,2933,6,https://bafybeidff2ox63cnaihkftsks3o7du3y7jsw2odvtvepd3lrbejx24eu2q.ipfs.nftstorage.link/9821.png?ext=png,0.06927199999999978
53,7.5115185,7.49,Ape #4290,601,7,https://bafybeiephczbwklq2rrxvf6cj26mgrclwpd2qjuoq4nsxa5sx4camqcure.ipfs.nftstorage.link/4290.png?ext=png,0.021518499999999996
113,7.310152,7.29,Ape #7438,1481,7,https://bafybeib3ygo2a5cjgha3ukcopz3h27sg7rjtfrjnpft3psty2oj3jnzcvq.ipfs.nftstorage.link/7438.png?ext=png,0.020152000000000392
1,7.517395,7.5,Ape #3792,1341,7,https://bafybeig7dhhpnae27s2z4bz7fo6mah2k6e3f4qtn7tkjiy35ujja6xvo6e.ipfs.nftstorage.link/3792.png?ext=png,0.017394999999999605
242,7.474407,7.5,Ape #6835,2920,7,https://bafybeifl5iasyised64w5ohblu7ysxpjh2eaj4w3y2gpcmzayqd3fn3heq.ipfs.nftstorage.link/6835.png?ext=png,-0.025592999999999755
532,7.9384747,8.0,Ape #218,8489,5,https://bafybeicujlhrgl2u3p4scz2q5dxt3qgfipvuedzi5rdcvuwc5zelhq6kyi.ipfs.nftstorage.link/218.png?ext=png,-0.06152529999999956
126,7.4269314,7.5,Ape #9953,956,7,https://bafybeidezhuou5p4gz35uy6dcx5fxho2q6nqhwmdmtr5aksvppm2rpzs7m.ipfs.nftstorage.link/9953.png?ext=png,-0.07306860000000004
24,7.4130344,7.5,Ape #5757,1420,7,https://bafybeiblx5wupwiceh3j5nafq3kxu3fb3k4257imbt2ig2djicgjub4bde.ipfs.nftstorage.link/5757.png?ext=png,-0.08696560000000009
101,7.8848786,8.0,Ape #5447,4902,6,https://bafybeihf4fwx7tpay3e522oxq6frir6durr4zydm2rnsc5skib5dzth7d4.ipfs.nftstorage.link/5447.png?ext=png,-0.1151213999999996
194,7.3684907,7.5,Ape #9575,4287,6,https://bafybeifpryfenku2o4v3zwyifxvxkuu3wmi3nx5zrwmbd2uk2fussv35xi.ipfs.nftstorage.link/9575.png?ext=png,-0.13150930000000027
32,7.8645267,8.0,Ape #4260,4085,6,https://bafybeiam37rcbt7qoyzts66yt2anvytyuq5kfp2ww4nxiyi2dmqpoypqoq.ipfs.nftstorage.link/4260.png?ext=png,-0.13547330000000013
98,7.364332,7.5,Ape #664,6279,6,https://bafybeihhfewgefjh52nczyxmu2j5q2fmnf5gup6nghngddnhdrc2hd3cju.ipfs.nftstorage.link/664.png?ext=png,-0.1356679999999999
870,7.3573194,7.5,Ape #1029,3049,6,https://bafybeiffvusja3a4s7wzytc754js5ds5afxg7l5a2v4e5foxxxoqtyowwq.ipfs.nftstorage.link/1029.png?ext=png,-0.14268060000000027
91,7.350266,7.4989,Ape #523,3170,6,https://bafybeibexom5ohz77ybr6djy3abyksadtc7vyo3z35dkpz2brpgc6awrkm.ipfs.nftstorage.link/523.png?ext=png,-0.1486339999999995
171,7.4287615,7.6,Ape #1089,2114,7,https://bafybeihhmushteg44im5fsskqvmpuu6d5hudxaiz7t4nyqwkh6xvqui6mq.ipfs.nftstorage.link/1089.png?ext=png,-0.1712384999999994
286,7.5738444,7.75,Ape #7503,4004,5,https://bafybeiancspwbksou3i3sjeumnqabzzle3s6633qjjo4lmdwwmnha3pphe.ipfs.nftstorage.link/7503.png?ext=png,-0.1761556000000004
731,7.814078,8.0,Ape #5051,2693,6,https://bafybeihydv7bsbqhoedyylmcv2itvnc352ppdmwpoux6smkfi7jg4gcmq4.ipfs.nftstorage.link/5051.png?ext=png,-0.1859219999999997
202,7.812744,8.0,Ape #8563,7514,6,https://bafybeicjkejflc75kx4ycrhl3h7za6ziznxd6fll5ljyk5h2ekzbp6e4pe.ipfs.nftstorage.link/8563.png?ext=png,-0.18725599999999964
323,7.5180683,7.71,Ape #8856,7356,6,https://bafybeidkgu2nglxu4g2v34o3y5w6swoop7qzwlzwsij52exuuceuhft2wu.ipfs.nftstorage.link/8856.png?ext=png,-0.1919316999999996
215,7.302871,7.5,Ape #5267,6059,6,https://bafybeiaoiehecz6jopyqnvuwo66tc6yjj6eleq5y2ogklzp5s2dnlzkccm.ipfs.nftstorage.link/5267.png?ext=png,-0.19712900000000033
322,7.564815,7.77,Ape #5889,7675,6,https://bafybeifcbypqruerhjnfo77pr765abitflugoixr3ndlyh5jrzjmuwudwa.ipfs.nftstorage.link/5889.png?ext=png,-0.20518499999999928
219,7.1812863,7.39,Ape #8325,7348,6,https://bafybeibkgxv7dktfwbuxs6tfhgqwk6ilxgmn5bbqww7dkscocm5gfampxm.ipfs.nftstorage.link/8325.png?ext=png,-0.20871369999999967
692,7.7840953,8.0,Ape #8383,6400,6,https://bafybeigqa52tf7hucoip7a5lpbyipwgjsm74vnrg2iyeiumuzhtcbh6zeu.ipfs.nftstorage.link/8383.png?ext=png,-0.21590470000000028
209,7.4276495,7.65,Ape #551,1817,7,https://bafybeihol3ljzijixtdgn6glbxlqd32mbzfrwo7f5ad4fkki2ifyowemmu.ipfs.nftstorage.link/551.png?ext=png,-0.22235050000000012
471,8.757017,9.0,Ape #5918,2311,6,https://bafybeibz4n2vzlz2deqeqju4365rf5vgyyfbtycloehayazd6ndhoyfofe.ipfs.nftstorage.link/5918.png?ext=png,-0.24298300000000062
614,7.7443624,8.0,Ape #3002,1789,6,https://bafybeicbzrouhi3dk4heen7awetonglydqh3fjtzhsbxqzupphxrga3gcm.ipfs.nftstorage.link/3002.png?ext=png,-0.2556376
603,7.7317486,8.0,Ape #3359,1151,6,https://bafybeifetkw4k2n4y72qggdyhjuqujuetymdlu632a7ecg6lcvrhih2h4e.ipfs.nftstorage.link/3359.png?ext=png,-0.2682513999999996
621,7.7299395,8.0,Ape #8320,4657,6,https://bafybeibkgxv7dktfwbuxs6tfhgqwk6ilxgmn5bbqww7dkscocm5gfampxm.ipfs.nftstorage.link/8320.png?ext=png,-0.2700604999999996
150,7.705198,8.0,Ape #2229,9492,5,https://bafybeicxx5jlklyocxvpslzoxsctxcprqh3qp7s3rlckjkhljq3fhk7why.ipfs.nftstorage.link/2229.png?ext=png,-0.2948019999999998
464,7.4835796,7.8,Ape #1771,6683,6,https://bafybeicroberfcfoul3vg3nve47ezv32hhdblqdcpjwd6ydi74fc6r3tfi.ipfs.nftstorage.link/1771.png?ext=png,-0.31642040000000016
243,7.4390593,7.77,Ape #8311,8963,6,https://bafybeibkgxv7dktfwbuxs6tfhgqwk6ilxgmn5bbqww7dkscocm5gfampxm.ipfs.nftstorage.link/8311.png?ext=png,-0.3309406999999993
254,7.656995,8.0,Ape #2810,8356,6,https://bafybeicygyvo2adzousduuh4ihtxxavgmgbpq7bplq6qyvhauazlgxscvy.ipfs.nftstorage.link/2810.png?ext=png,-0.3430049999999998
542,7.655348,8.0,Ape #9678,6510,6,https://bafybeiag4zsr2c2i3xzp4canilpppddckcp4daxgjjmruymfbsicbm6sba.ipfs.nftstorage.link/9678.png?ext=png,-0.34465199999999996
89,7.441928,7.79,Ape #893,8435,6,https://bafybeibiko6zzzmksdn72kq2lhhwptca47ahcqhficy2gzuqda2ybknahq.ipfs.nftstorage.link/893.png?ext=png,-0.34807200000000016
257,7.728602,8.1,Ape #1809,5569,6,https://bafybeigne6fuom3r7ztwcfsdxnp57m2u6ldcijlux4of2hgzmgasrv4wwy.ipfs.nftstorage.link/1809.png?ext=png,-0.37139799999999923
362,7.623528,8.0,Ape #7111,6919,6,https://bafybeidgprdkq3rcfietk77zdf4lyjg7hhmhtzgy2gaefzmkkihoevckpe.ipfs.nftstorage.link/7111.png?ext=png,-0.3764719999999997
151,7.512082,7.9,Ape #7383,9708,6,https://bafybeiddqykypwyeawhy4ousrnnv3ynq5sjulgholzcidnpaquqdtff6j4.ipfs.nftstorage.link/7383.png?ext=png,-0.387918
406,7.6090393,8.0,Ape #6700,5384,6,https://bafybeibajf6wtent6durvt4njqk2vdkmsmmtl337conkzdyq6e7xtcnj2e.ipfs.nftstorage.link/6700.png?ext=png,-0.39096069999999994
650,8.0911,8.5,Ape #1815,2552,6,https://bafybeigne6fuom3r7ztwcfsdxnp57m2u6ldcijlux4of2hgzmgasrv4wwy.ipfs.nftstorage.link/1815.png?ext=png,-0.40889999999999915
256,7.5273623,7.95,Ape #1101,9593,6,https://bafybeihhmushteg44im5fsskqvmpuu6d5hudxaiz7t4nyqwkh6xvqui6mq.ipfs.nftstorage.link/1101.png?ext=png,-0.4226377000000001
26,7.471214,7.9,Ape #8241,1933,7,https://bafybeigintgs7zox6byifjsinlyxxb2ytblkfx3admnvenf7wk2p3zrnau.ipfs.nftstorage.link/8241.png?ext=png,-0.42878600000000056
90,7.4380436,7.87,Ape #9449,7218,6,https://bafybeifh2fvrsqymccpmw3pp7bzxhxm6xwvgsdnrijdmn42nbij27vpgkq.ipfs.nftstorage.link/9449.png?ext=png,-0.4319563999999998
467,7.536232,7.97,Ape #1402,9044,6,https://bafybeibbx73huuy2xfsdvautmwcnwqdu47v3dtwetzfhelagya4gvgslwu.ipfs.nftstorage.link/1402.png?ext=png,-0.4337679999999997
309,7.5560217,8.0,Ape #1740,8643,6,https://bafybeiajpcfckzisoo3nd2kbfblgcgqijeew4dqvrhw34juldsxvsy4de4.ipfs.nftstorage.link/1740.png?ext=png,-0.4439783000000004
153,7.5045877,7.95,Ape #9573,8863,6,https://bafybeifpryfenku2o4v3zwyifxvxkuu3wmi3nx5zrwmbd2uk2fussv35xi.ipfs.nftstorage.link/9573.png?ext=png,-0.4454123000000001
132,7.8044286,8.25,Ape #9876,4423,6,https://bafybeig6m6rnmikmsthrms554le5ofr5bepfot5vtspfzx3stqyutsfvvy.ipfs.nftstorage.link/9876.png?ext=png,-0.4455714000000004
188,8.036744,8.5,Ape #3458,8544,5,https://bafybeiaclhjmbfncmheokl2xf3j7gpxiredvirzar3yz2o4guaj6hjfvcu.ipfs.nftstorage.link/3458.png?ext=png,-0.46325599999999945
83,7.5318756,8.0,Ape #3077,7132,6,https://bafybeidu7tebw5bxjzb4x6w73ijgbock7b23hyc67crrruuoozbjuzxp6y.ipfs.nftstorage.link/3077.png?ext=png,-0.4681243999999998
158,7.7287436,8.2,Ape #7989,2990,6,https://bafybeicygtufwbg7d6o7rna4y5wmyl4z3cbp6ol4ryrfwhc564opuludlm.ipfs.nftstorage.link/7989.png?ext=png,-0.4712563999999997
343,7.5277042,8.0,Ape #1373,3940,6,https://bafybeien2r4oiqx4jyerkep5xsabrflkahcvqobw43dhx4ome4ng4uvyqq.ipfs.nftstorage.link/1373.png?ext=png,-0.4722958000000004
862,9.526122,10.0,Ape #9913,567,6,https://bafybeifhvuvktkprsqihlgmubdn6ykep6aqawh6xoi3qlkxlzld4xhfc7a.ipfs.nftstorage.link/9913.png?ext=png,-0.47387799999999913
