,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.created,rarity.moonrank.crawl.updated,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img,rarity.howrare.rank
0,8mZSGxxe5xU6kxCd4cMwtUNyAGo5qNFyFwU5evg1C7U4,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,Hn1qjm1iSodmwv5iMCqVCyq1maG9f9oTzApKtWVEoFy9,6ec68695HEJRi5nM1wg51Rkd88mxo8LQXfgsZfAWrHZB,HKBffEGBBccY21S9QbGVVrawSqa2LMHACFtqg5yEBvVB,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,6.0,-1,7840,1.3074866285173098e-07,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeiamruze4ibrlkutuudor4cbtztgixovwyweohsixpaucszciifbe4.ipfs.nftstorage.link/2323.png?ext=png,
1,BrWKdWoi3uUnyy7NWj4A8Skv5wVUiQvXFPuRJcgzX9nj,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,J1uXQdQ8Tgcv5co4HXpL9NjSxaGcA1LP2YCNKwcUoUMs,EeXVKo4ynp4HfHze6opyNcVk26Fuf1VTDA9RBmxg2s6v,8GZwCV1GnWqvFKcon5CiHbgUVAn4yNi82T98sHS3dStc,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,13.0,-1,3004,1.911627461347719e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeidmcq643loh5yniq4mfg2nqepkxhcxlf6pg7iupw5z4nttkw2pspe.ipfs.nftstorage.link/6209.png?ext=png,
2,3nBp1mXMz5WH69K5PCMBPKJiH52a6YLS8pwgJ7yuLwPX,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,GqHySqFv8c7wRYcd4Dit43HoMnsXY5EhFvEptj49T16j,Cv5zUu7w17XhVev6uUXsm2WmatA9g4XUSfn8K7vybxL9,ETPyuvTTFC4AiK5VrvEn9Sg53MGYTKkKtwx9iiUMhCrM,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,7.5,-1,6064,7.935894245864275e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeiaeqi5ktquj4tzxgp5u6ywllcc3pqjuwpssa5ltbfh44jxxvoproq.ipfs.nftstorage.link/5335.png?ext=png,8098.0
3,86hnsCNqqwAmbXdvP5CtyXnR2TdHKWXUPgwUqPD3Am5d,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,C1cHf79k23M4xdnGJPvB15JziPQv18vJrZUxc58FUJqL,FrDYRruoeMovTsn7sdHvM8otqzpkERdjuGkpUp1NePVb,7LddMzW4hv3GDS3T1ZsVHhUyMYcHmTR1ER2JZ9dqPxy,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,7.65,-1,1420,4.46773010407012e-09,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeiblx5wupwiceh3j5nafq3kxu3fb3k4257imbt2ig2djicgjub4bde.ipfs.nftstorage.link/5757.png?ext=png,2943.0
4,6RJ2Ykcm4vXg35L1h8LDW9u4hXvUcCEi3Vw5dpN3hxQE,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,2S8pWELCvbShXrtUnXYJpfE1ZTFuhMjsFMjG5gQiVcbM,FA5D8TrsbB16BJfXBBmHL9UmNc4TXe5PSqN92NdGCh7i,4Bcx9MvzN6mU2gr8HAWi3kkF6ssmPHbd9RU3xv1WPMFy,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,5.8,-1,3153,2.107161525799898e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeifh7iskz2y4rnxufnsz3nqbev2ujk3knqi66ugxnq6kl45jhn7gke.ipfs.nftstorage.link/4022.png?ext=png,2706.0
5,AnXoNnjjV2f7puXeaCo6TxyhhhQvEmbGTmTcoP2m72AK,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,52GXdtpn1vhY44BdUWc1M8wCDYv65muPpk4By2qRYnEy,AVNQVw5XxnAPHTGgVRGX9PUQV9kGxZNcLCfceimvQZeM,7KHHirWbAgEcuzxAMpFKfA979cpNbwqGV8L4a7GkU5PK,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,5.45,-1,8970,1.9763479423451134e-07,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeib26ehfhc5ow7mm7py5rzc6a5axprwxonvrz2auyhymdh42iu2foy.ipfs.nftstorage.link/6332.png?ext=png,8986.0
6,8zdwKriT8DJ5aRcZt3poSVsUWfBhrugd2VG6vZHwi28J,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,EvMzjovbEzjg9a3nYKvJ6LR3RhgEeNfYzxFfwCLdjTxd,3wQXuTmRvRjZvTSHhXAS3cjkPbZHbHaUPgFM54JtGDjT,2Ku4A42sKyY8ui88ZcoY6EEkASeBxGHi31fLFqWgcqUt,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,5.48,-1,6755,9.632083620343243e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeidkjxxemly2xeaj5vrl3i6xv3mgvhaow37m5sdmazmbhghscgx2nm.ipfs.nftstorage.link/4726.png?ext=png,7195.0
7,8te8aaFhTJvarfLmNyTp6FxY1FNLPWmPK8zs2YxxkyN6,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FHTeNYTrnQP3A9GByYFSW5AFVCrMz9y6TYX9hbs2QDP4,D3y6Yj2TuJWzuQGC3Gd2Fb4hWXcNfpvUa5HX7UEVQBDm,2Ku4A42sKyY8ui88ZcoY6EEkASeBxGHi31fLFqWgcqUt,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,5.48,-1,7672,1.2374908240063445e-07,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeic6narrta373r7xkkpo6spjq7tbhezums44glde2fysnrxfp5hp4q.ipfs.nftstorage.link/4592.png?ext=png,5468.0
8,H9psR5poatpKUcXSpTWQVHKj4uNTdvXdEsYVETDfX28v,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BqAJREtTG395wgDxyTMtyCWA7HGtZjMqvE582YEEtvC2,648WejYuEZwKnmoM2VL7g95p5GnPb9RNaFq77EcGf9nN,2Ku4A42sKyY8ui88ZcoY6EEkASeBxGHi31fLFqWgcqUt,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,5.48,-1,8479,1.6159321596073875e-07,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeif2cx46exsxc75zgotkd6to5u7esk55dq5zzkmkq67pee7nrtx5ca.ipfs.nftstorage.link/5182.png?ext=png,5556.0
9,6aJdRYrpaCeRGMwyvbxourVhbEfDk3Vh9RWXSu2sJhgg,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3bBbUYgB4oxvFBYW1ez1jTfFTYQGDof4H22Z86hQUkt1,38CLGaFpau8kMNDAD8kb5FgAstXK5exifJDSpDgU5S6P,FSXFp7ZLzRb3ETQQ5jxb22CmCbomAwbmkzm6NT6a1wGX,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,7.9,-1,1291,4.018203248690423e-09,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeienhdjjzltweq7lxbilesl62qcdyhebzkqykunytilyenjgoqkun4.ipfs.nftstorage.link/6495.png?ext=png,2806.0
10,GiN1hXm1v8RRe33GAtsukxekSXFUGoPoDhqXp8RGWVqN,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FGZVAoX1o2c1oknZrdL92MutP9YTj85B9gMqXucyRDbN,AhfyeDu7zDfYjKEXiVYYwJ5xwy8HNfGLiE6Z4GD3cejU,GvRiVmuV9xZxmHTqe4wpU579EqchPUaFi7z9HXnoRE5y,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,12.0,-1,1138,3.5466394826300987e-09,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeigne6fuom3r7ztwcfsdxnp57m2u6ldcijlux4of2hgzmgasrv4wwy.ipfs.nftstorage.link/1801.png?ext=png,2069.0
11,2nxQJKBuHkBoUqBJxBLCWYHPdKXupioPswXK4A4kFWZp,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3vLarzU9V9QsswkdmmaXYDSx5rPDiTZQcFDPeSpLigKo,EWMfcnYCxT81CmiJ5pPwUCo3Sr49kaj5RVzhg3WbJcE3,6YadhC5cRWAV5xzRkR3nz8v6iXUSVcZpiJ6ZhyiHjbez,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,20.0,-1,3623,2.7485226576222912e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeifg33f7sknvihejdqsu7r2wbsqu54p3k65snriumtbr4kuu5qjzd4.ipfs.nftstorage.link/1207.png?ext=png,3230.0
12,2wToK4aM4gHcAP1YG61EkHjXKdWoLiFh64PfsYi8MaUR,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3vgQ5c83DSCybhHm9TrzwvxSDKBZHF4UsdvhQa9C3DQG,FtXzdZjhBSetPUcxZp9s9jnThpe4B88g5NTM8DACBXJi,7NkHTFasufn1z5KQ96PQYYxnRDoG9czNPMUfXoMFoLjx,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,6.8,-1,6255,8.421530969806202e-08,ape,2022-06-07T17:50:03.399553Z,2022-06-07T21:20:13.488523Z,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeigne6fuom3r7ztwcfsdxnp57m2u6ldcijlux4of2hgzmgasrv4wwy.ipfs.nftstorage.link/1804.png?ext=png,5188.0
