,Unnamed: 0,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,trait_5_rarity,trait_2_rarity,trait_0_rarity,trait_3_rarity,trait_1_rarity,Head_rarity,trait_4_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
982,982,Ape #813,,Mint,Caring,Relaxed,Amphibian,,Unimpressed,75.97,10.28,0.41,5.81,3.15,8.01,6.63,983,3.1120877096927327e-09,0.41,15.751428571428573,5,2Zf4KpSPh8RKBvmVv8uvseT5HocXGXBS4TtbSYd2Bbc5,43.41115
1023,1023,Ape #3027,,Sky,Caring,Confused,Amphibian,,Unimpressed,75.97,10.09,0.41,6.11,3.15,8.01,6.63,1024,3.212291569174742e-09,0.41,15.767142857142858,5,E3VLB7jNxFRE1PGrboderaL3cngxwP4JRCeV3tvdCtPZ,42.99014
1052,1052,Ape #3303,,Mint,Caring,Unimpressed,Cosmic,,Ponder,75.97,10.28,0.41,5.7700000000000005,3.55,8.01,6.2799999999999985,1053,3.2992515075630813e-09,0.41,15.752857142857142,5,A2WVCivgXdizXtnGXPu8MtWA71L6PzwnP8X9M4dEoKa2,42.57837
1383,1383,Ape #8228,,Sky,Caring,Neutral,Magma,,Cheeky,75.97,10.09,0.41,11.98,2.07,8.01,6.909999999999998,1384,4.313749046751889e-09,0.41,16.491428571428575,5,G1m3CGU1uq2GVyASgYh2hckLmzyDNpJnYwSgFG9CuDNr,41.894764
1055,1055,Ape #8390,,Snow,Caring,Confident,Cosmic,,Disgusted,75.97,10.26,0.41,5.48,3.55,8.01,6.64,1056,3.306609056407867e-09,0.41,15.760000000000002,5,5HwriSUmGaTwcnH7eqK7pZ46DSbAYiuQgrjDk1bb4MY3,40.82849
480,480,Ape #9167,,Scarlet,Caring,Zen,Aquatic,,Ecstatic,75.97,9.87,0.41,5.37,1.95,8.01,6.260000000000002,481,1.6142057208754978e-09,0.41,15.405714285714287,5,HqHuXXzVXFPJzeiwEN76pVLAf5PMceLc6QaQnzqraiaC,39.785473
2027,2027,Ape #1756,,Scarlet,Caring,Neutral,Bark,,Confused,75.97,9.87,0.41,11.98,3.78,8.01,6.88,2028,7.672072673131667e-09,0.41,16.7,5,3oUDUQis24fPr9SB9LMGwg4pXBajFPh6CbCkJyDfAvLH,39.76361
231,231,Ape #8270,,Lime,Hoodie Hooded,Bewildered,Aquatic,,Ecstatic,75.97,9.81,0.23,5.65,1.95,8.01,6.260000000000002,232,9.469539899726713e-10,0.23,15.411428571428573,5,3Nia6SrJJ7XH3UbFVCyUZXMzobvcRGfLULEzcqiA7VVi,36.28166
890,890,Ape #8039,,Violet,Meme,Mmmmkay,Silverback,Western Hat,Grin,75.97,9.89,0.14,5.94,12.62,5.29,6.78,891,2.828118609040519e-09,0.14,16.661428571428573,6,DSmUepDt62hUvBxgKvVS3K6K86mtjfkP1f54Qtz6799j,36.24103
593,593,Ape #4910,,Wheat,Hoodie Hooded,Confident,Bark,,Cheeky,75.97,9.67,0.23,5.48,3.78,8.01,6.909999999999998,594,1.9372218475848583e-09,0.23,15.721428571428573,5,8jm1udk3x3C41QNVEAJhLqEgZw9UsjghamMnkzjMvb16,35.9709
