,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,Accessory_rarity,Background_rarity,Body_rarity,Eyes_rarity,Fur_rarity,Head_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
0,Ape #6194,Hoops,Wheat,Hoodie Hooded,Relaxed,Magma,None,Cheeky,2.2800000000000002,9.67,0.22999999999999998,5.81,2.07,8.01,6.909999999999999,1,3.375562848653779e-11,0.22999999999999998,4.997142857142857,7
1,Ape #4692,Bar,Wheat,Hoodie Hooded,Blank Stare,Cosmic,None,Disgusted,3.5700000000000003,9.67,0.22999999999999998,6.04,3.55,8.01,6.64,2,9.054999138715186e-11,0.22999999999999998,5.387142857142857,7
2,Ape #1973,Diamond Studs,Sky,Hoodie Hooded,Mmmmkay,Cosmic,None,Grin,3.4799999999999995,10.09,0.22999999999999998,5.94,3.55,8.01,6.78,3,9.248584187562431e-11,0.22999999999999998,5.4399999999999995,7
3,Ape #2393,Hoops,Rose,Bearish,Relaxed,Amphibian,Ivy Cap,Confused,2.2800000000000002,10.100000000000001,0.69,5.81,3.15,5.7700000000000005,6.88,4,1.154399816607005e-10,0.69,4.954285714285715,7
4,Ape #1490,Hoops,Rose,Shirt and Vest,Bewildered,Aquatic,Beret,Loathing,2.2800000000000002,10.100000000000001,3.47,5.65,1.95,2.18,6.3100000000000005,5,1.2110291797759743e-10,1.95,4.562857142857143,7
5,Ape #6450,Diamond Stud,Mint,Backpack,Anger,Magma,Western Hat,Unimpressed,3.7600000000000002,10.280000000000001,0.74,6.17,2.07,5.29,6.63,6,1.2812603577010626e-10,0.74,4.991428571428571,7
6,Ape #4574,Earring,Sky,Caring,Content,Aquatic,None,Grin,5.140000000000001,10.09,0.41000000000000003,6.13,1.95,8.01,6.78,7,1.3803697638939244e-10,0.41000000000000003,5.501428571428572,7
7,Ape #6147,Studded,Creamsicle,Bearish,Anger,Magma,Snapback,Confused,2.35,10.41,0.69,6.17,2.07,9.77,6.88,8,1.449126151478109e-10,0.69,5.477142857142858,7
8,Ape #9332,Bar,Wheat,Suit,Bold,Amphibian,Trilby,Unimpressed,3.5700000000000003,9.67,0.75,5.89,3.15,5.34,6.63,9,1.7007347583833197e-10,0.75,5.0,7
9,Ape #5429,Bar,Snow,Hoodie Hooded,Mmmmkay,Tattoo,None,Ponder,3.5700000000000003,10.26,0.22999999999999998,5.94,6.81,8.01,6.279999999999999,10,1.7142301515222466e-10,0.22999999999999998,5.871428571428571,7
