,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
0,4Z7TsRJt4snrEaf9AeZ1Lka5TskkFb76KEdWaDdeatsqauveSnHJCT8cctJpkXpYYWx4Q6ZEkUzgBgVqropsyMXj,buyNow,magiceden_v2,DPpgiK8k2U9iyrXkQMYvh2Me97NQRs7Ke7KQVMBxXuEn,justape,137898313,1655477975,Amx2sDNM48TDbVxfPLEKnd5bQnzG2fCgBuexxsQRy3tR,,D6CczxHHN1EaNS6gChZd2Ue6ANQkvQDAx4CVXKRWBmbD,,6.5
1,3uhZmBe8ftY3gA6z4TizNzrk3PeDXR2UbmuQgR1jTxri8eftxSw3fk9FEGs8oGEdCbV9ygx4zThZDXo1RqF14U18,buyNow,magiceden_v2,Fs7ZinuyFsXCGNVnWJBoXv6JLXNtuSrVDAmn6mqXfzZg,justape,137897155,1655477201,AwPCaGNbA8krSw2srzUcquvyJcW7ZHmAJqbvcKrVn4fX,,G7Ect2d34XWm1zqfYG912VF7WEEi7eBsRPXEcoQ1GcQ5,,11.0
2,Ti1Q7rATuTytrF8iN39owwEne24VGcwKSF6uGXjspJujMN78NyuavrKVCMzSgjr7KAnt3DszHGf2mApbfUsFRqJ,buyNow,magiceden_v2,FgtF5qTD1EdNu2Hs3h5TDnsYDvzofWSk5niTGsg2ctD1,justape,137894977,1655475722,82jYd7xtGFQyizBg52bLeKyHmPGpuHwt7MquHczAmvx1,,6cCZZSHkRKcvi4mpiWEHXKhvkakbS5y7hau76piWgKGL,,8.8
3,3GgjNRorvtEb394sft7navijZUk1eeA5KWKb78PExJQuXRyg9TjLs8HpLMHhEGHpZUq5GHvsBDixC4rpGze1C92R,buyNow,magiceden_v2,DsCGEnosx2TuQFEGAB3C3MUttKXrhXw66q7iCBm3ocG2,justape,137894871,1655475648,AMs5X6mHgX3b48NQCSuASt5NTmsgdobuBE1bR396ifEt,,BNdoqznXpjhLcExhyFUxfvP7Vt7xE7ADNFwk9xnqXaVN,,7.5
4,3vUB7EJFgHNiN11ZEGytJjcTB94yDNryku1jk5fe2viUQdceiCR4RNaECphYHKs4JKiGaRyDcjfKK6EbZa8idvDG,buyNow,magiceden_v2,C151X8e4QjHmWEqte9p9SdGH94eAcmfh3Ku4qTRcu9h6,justape,137892628,1655474093,4mXnKDTDVsj1H5GxrAfEyjKU3J6bUwF2vrndL8sZ7kRg,,2qKXooc78wL96vQwrL1zK5vT3CMjWx51ZTCUbWGxsXTy,,7.6
5,4HQEBzcacnJ5b5Be7eLKEcbmzAwgHDfg2ecfYChUvd5MkRitQiEw8trwzc6bT9hY6ddZeFRqbEZrbPUA1gZ33Jwv,buyNow,magiceden_v2,9bZFmC4BW482WYZ1PD4A8G72Phwmd3pCtTfTjMfpiCtv,justape,137891312,1655473185,9Zu43VnurNeihBra1hUrJvNtzEJTxuZ6NdkHYbR1i4VY,,2fwR8JZwa15CvnHShbX3Ei4tay6kXVj6rqZydLWocQvd,,7.69
6,2gaXMRdvdATQNcPRQcqHvjYmmW793CAVfjmecxTws5iP5h9LqjeWQ1EN3z4HsWUqLx1ptgi7zbvHk7YcJshfdCRE,buyNow,magiceden_v2,9qV53GZZ5UGkFjtb54d6qzgHsEGuEctRzFZbN7GyP6ss,justape,137890928,1655472926,9LkA9jop6hfWNJEzGQ32VyvpfZXz2TXHBjp79fdyAQ8b,,J1H7NUZZu8DNN6WHosbHH4RKWWA39CTaEMg2VfB2boAh,,6.99
7,2CXe2sUacQKWDFv2jvgxMvupmcEHjgtrEtjxJbsp6JctyidHVCqjQpP1Zm3iJXxpUR2nvZRK2igwUhHsTNp8hi9c,buyNow,magiceden_v2,C151X8e4QjHmWEqte9p9SdGH94eAcmfh3Ku4qTRcu9h6,justape,137890057,1655472347,Ct2Uhc2STAjQoQLP32Ra5b2hM9uGpz44zAsfoy1rZ3b,,49WGRu1XmDaU3PGmE1mWtN3VwykU5BTkzmMStuinawM3,,8.0
8,43uikSXfoN3mJ9CQEZ8RbymogQ9pMbgigSHnm1TkP7f4UHviywdXNe74MjwEW6S3j1xQ32a2wrv5bYU45Nf4D6Az,buyNow,magiceden_v2,HxhtukBNraPVRZH9Zbxr4JmphMBsWEPeybg3qSwh6xVU,justape,137889898,1655472231,5EwTTQHwsncz9HZ84ArCfLNue7ehakuCLwL35mbMSTu4,,Ct2Uhc2STAjQoQLP32Ra5b2hM9uGpz44zAsfoy1rZ3b,,6.6
9,5zAsjYqS9UxwRurB6jdhRDUZdmEkKcZhZ7QHWr7so1Uk3PJXfx9eVYBjdWyUyEdS4W5q1Yc8oZrS74gWtPSLKqxm,buyNow,magiceden_v2,J7uj1G7C4iXcjQDJcZbZ1eMg23EcSPsxw4dc1AG5Yxg3,justape,137888861,1655471530,5u6EnRxKLSNXaftJoME9uRJ6UBMcLsaF4T3rnzUd5wg6,,6PRvzsoSyK5H8BsYY6b8ppwLXXppKLsSoFQJo8bZFa3A,,8.49
10,k8Xh2RxvyLH68zbAnPvRu37dqxpUQ2CmQJ9UZ3fJZZ6fCkQb4sDWXnjPoU4MGZcEcJSVY4XBFFVZyEBT9bic7T4,buyNow,magiceden_v2,Bhog88ZqoQHcWk5W9HpectDVsDqnr9GAUTUpYYYJ2tgZ,justape,137887835,1655470800,BByoDA39Xk3g32u2Pjoe72nEPJUf1GMdJtT2o9hNjsvx,,J1XTc3FVyisrtSbAk2ZQFhxVQjCuZTAz4yFi6vQLcsQZ,,9.6
