,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
0,Okay Bear #9335,White,Vintage Shirt,Sarcastic,Pixel Glasses,Robot,Skate Cap,Cassette,0.1265,0.0052,0.0025,0.0965,0.0275,0.032,0.0551,0.0025,0.1265,0.04932857142857143,696.3379816384465,1,9335,5LvxA3HTkHFJRPHjBtBW4sUGA9j55i8Ep4VPcL8WC7HL,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihinvpvgwjp5zifaabhymbe3kzmfmsrr4of3fzqxzm2j7jvjxhvim.ipfs.nftstorage.link/9334.png?ext=png,SOL
1,Okay Bear #4396,Yellow,Puffer Jacket,Sarcastic,,Blueprint,Rabbit Fur Hat,Cassette,0.1222,0.0158,0.0025,0.0965,0.0227,0.6672,0.0085,0.0025,0.6672,0.13362857142857143,645.0358628155564,2,4396,7h5DGoeiNKmn2i4RMCwMQA1AfvLD5mS81qo9m84ReHj7,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigmaruz52sy4ccjm5hgnrkhv5n5ygu6z76kxqor3dvbf6pel5f2wq.ipfs.nftstorage.link/4395.png?ext=png,SOL
2,Okay Bear #1469,Yellow,Overalls,Golden Glow,,Sun,Baker Boy Hat,Cassette,0.1222,0.0259,0.0025,0.0199,0.0139,0.6672,0.0214,0.0025,0.6672,0.12471428571428571,617.214819912107,3,1469,9UUw1NSCfeguQMfA4o6NeocdnB8GEFBgprJ5FGqqWCLe,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeic26kjiotdnktmznib4dktzg36z4tkx4h7ldpaw4ekmd2hnc6xava.ipfs.nftstorage.link/1468.png?ext=png,SOL
3,Okay Bear #7788,White,Black Suit,Interested,,Robot,Pom Pom Beanie,Toothpick,0.1265,0.0052,0.0116,0.0671,0.0037,0.6672,0.0256,0.0037,0.6672,0.12955714285714287,612.1544280860684,4,7788,4LFAEBoXrdMTW8T8TiAAQCUTv8gygjLRo8qczWunxu5w,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihnixzb265oqd33oj5og3knlxln3226cur22kq45bcob4sfgofwf4.ipfs.nftstorage.link/7787.png?ext=png,SOL
4,Okay Bear #8263,Grey,Torn Tee,Closed,,Grizzly,Rubik's Cube,Earphones,0.1261,0.144,0.0049,0.031,0.0104,0.6672,0.0041,0.0041,0.6672,0.1411,592.7694418668848,5,8263,Hy2E3RSwVyMvc875CeXJkZNdSMvFRuyECCND49xftJkp,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiczkebhuwu7x2zfnxg45peji2uk2z4twtmjpaav4gcb7scul2fxtq.ipfs.nftstorage.link/8262.png?ext=png,SOL
5,Okay Bear #7110,Blue,Black Suit,Annoyed,,Polar,Black Bucket Hat,Eight Ball,0.1252,0.0641,0.0038,0.1309,0.0037,0.6672,0.0412,0.0037,0.6672,0.1480142857142857,590.4260745029097,6,7110,2UbsS5D6w4tuJfPRpXHMKrU4mxNNLfSBDD5obCVGdzvD,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihws3xey4z4dcer4ig2qepnxfds3u3fqefqfosk2wqvk3fvkph4ri.ipfs.nftstorage.link/7109.png?ext=png,SOL
6,Okay Bear #2577,Yellow,Urban Hoodie,Defeated,,Albino,Army Hat,Cassette,0.1222,0.0456,0.0025,0.0526,0.012,0.6672,0.0239,0.0025,0.6672,0.13228571428571428,575.7976759378229,7,2577,CdyXjZyGP7hrs85nAZv1noTVZewMPFbuGT9wYD3UzVGh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeih56guuqre376sqrnucaecn4wlftbz6uz54n7yeldwloooxazure4.ipfs.nftstorage.link/2576.png?ext=png,SOL
7,Okay Bear #8158,Blue,Denim Jacket,Interested,,Robot,Sticky Note,Earphones,0.1252,0.0052,0.0049,0.0671,0.0091,0.6672,0.023,0.0049,0.6672,0.12881428571428571,574.1468467841737,8,8158,Gz5MgxPPfKRDi1gJbhWeLGAGEZQG3dieHVvgbtbr3Hyh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeih4sciduafh6vlz3b5igcfwoexlxhlojzqvnr3qb5y3zujer5ocnq.ipfs.nftstorage.link/8157.png?ext=png,SOL
8,Okay Bear #5971,Yellow,Black Suit,Tired,Flying Goggles,Tan,Skate Cap,Honey,0.1222,0.1413,0.0054,0.0454,0.0037,0.0183,0.0551,0.0037,0.1413,0.05591428571428571,565.5359631341144,9,5971,9wtGrEmZhQ5XN14QRk4Kx4m2U7nJNwzqPKt2jimGCtup,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiattngzarm3ukxxbxfv26a7rd5kfsy5rewbpl4ctdvyk6fwh2axaq.ipfs.nftstorage.link/5970.png?ext=png,SOL
9,Okay Bear #4859,Blue,Olive Windbreaker,Tired,Barrel Sunglasses,Albino,Pencil,Cassette,0.1252,0.0456,0.0025,0.0454,0.0256,0.0211,0.0379,0.0025,0.1252,0.04332857142857143,564.7845659300658,10,4859,CWNeouUQc96aDYagx3y8WUm7ATGbmN9ydnympqnmmXei,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeib27qbsb4sig2oy6ongel2yqbd44pzmo6rmpulpl67msqngokypii.ipfs.nftstorage.link/4858.png?ext=png,SOL
