name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity
Okay Bear #1,White,Pullover Windbreaker,Closed,,Pink,,Wry,0.1265,0.0426,0.0922,0.031,0.0204,0.6672,0.2698
Okay Bear #10,Grey,Olive Windbreaker,Disappointed,,Dark Brown,,Pouting,0.1261,0.1268,0.1231,0.094,0.0256,0.6672,0.2698
Okay Bear #100,Purple,Olive Windbreaker,Sarcastic,Holographic,Black,,Pouting,0.1187,0.0495,0.1231,0.0965,0.0256,0.0171,0.2698
Okay Bear #1000,Cream,Sleeveless Tee,Sarcastic,Mechanical Goggles,Polar,,Okay,0.1326,0.0641,0.2305,0.0965,0.0286,0.0051,0.2698
Okay Bear #10000,White,Autumn Sweater,Happy,,Panda,Pencil,Wry,0.1265,0.039,0.0922,0.0788,0.0175,0.6672,0.0379
Okay Bear #1001,White,Okay Hoodie,Tired,,Sand,Visor,Okay,0.1265,0.0818,0.2305,0.0454,0.015,0.6672,0.0309
Okay Bear #1002,Yellow,Silk Robe,Happy,Snow Goggles,Dark Brown,,Gah,0.1222,0.1268,0.0426,0.0788,0.006,0.0121,0.2698
Okay Bear #1003,Purple,Woven Sweater,Okay,,Dark Brown,Visor,Proud,0.1187,0.1268,0.0528,0.2023,0.0208,0.6672,0.0309
Okay Bear #1004,Warm Grey,Hawaiian Shirt,Annoyed,,Sun,,Okay,0.1227,0.0259,0.2305,0.1309,0.0178,0.6672,0.2698
Okay Bear #1005,Warm Grey,Torn Sleeveless Tee,Okay,,Wood,Skate Cap,Okay,0.1227,0.0201,0.2305,0.2023,0.0315,0.6672,0.0551
Okay Bear #1006,Warm Grey,Golf Polo,Defeated,,Grizzly,Worn Out Beanie,Huh,0.1227,0.144,0.0344,0.0526,0.02,0.6672,0.026
Okay Bear #1007,White,Black Tee,Happy,,Dark Brown,Skate Cap,Okay,0.1265,0.1268,0.2305,0.0788,0.0383,0.6672,0.0551
Okay Bear #1008,Warm Grey,Autumn Sweater,Sarcastic,,Ginger,Bandana,Worried,0.1227,0.0606,0.0095,0.0965,0.0175,0.6672,0.0424
Okay Bear #1009,Green,Black Tee,Okay,VR Headset,Sun,,Ahh,0.126,0.0259,0.0113,0.2023,0.0383,0.0092,0.2698
Okay Bear #101,Cream,Faded Denim Jacket,Tired,,Black,Beret,Okay,0.1326,0.0495,0.2305,0.0454,0.0193,0.6672,0.0292
Okay Bear #1010,Cream,Sleeveless Tee,Tired,,Grizzly,Army Hat,Wry,0.1326,0.144,0.0922,0.0454,0.0286,0.6672,0.0239
Okay Bear #1011,Purple,Winter Scarf,Happy,,Sun,,Raspberry,0.1187,0.0259,0.0253,0.0788,0.006,0.6672,0.2698
Okay Bear #1012,Cream,,Sarcastic,,Tan,,Wry,0.1326,0.1413,0.0922,0.0965,0.1965,0.6672,0.2698
Okay Bear #1013,Cream,Leather Jacket,Spirited,Clear Glasses,Red Panda,,Pencil,0.1326,0.0276,0.0081,0.062,0.013,0.0407,0.2698
Okay Bear #1014,Cream,,Spirited,,Polar,Runner Cap,Huh,0.1326,0.0641,0.0344,0.062,0.1965,0.6672,0.0339
Okay Bear #1015,Green,,Spirited,,Grizzly,Flat Hat,Gah,0.126,0.144,0.0426,0.062,0.1965,0.6672,0.029
Okay Bear #1016,Blue,Striped Tee,Defeated,,Panda,,Okay,0.1252,0.039,0.2305,0.0526,0.0357,0.6672,0.2698
Okay Bear #1017,Cream,Hoodie with Headphones,Happy,,Polar,,Wry,0.1326,0.0641,0.0922,0.0788,0.0227,0.6672,0.2698
