,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
488,134.46056,120.0,Okay Bear #5823,597,7,https://bafybeib6xilv34hxps4foewwkd3fripgnc4jitzul54uvflzmtmagm6rgu.ipfs.nftstorage.link/5822.png?ext=png,14.460559999999987
224,146.84474,136.0,Okay Bear #9965,637,7,https://bafybeidihp4ez5lw4sqqxu4kwcvhjc2qhm2szz7kkayyee425oamdfzrkm.ipfs.nftstorage.link/9964.png?ext=png,10.844740000000002
61,118.16511,110.0,Okay Bear #3788,863,7,https://bafybeiamdlcbd3efau24hmnonk46x7tt7srxlvmz6e3t2aggho2bnjeziu.ipfs.nftstorage.link/3787.png?ext=png,8.165109999999999
124,136.17061,130.0,Okay Bear #245,1142,7,https://bafybeidroepu244ficol2xohhvkdmcullopis4xhk4myoieolyf3bfzwle.ipfs.nftstorage.link/244.png?ext=png,6.170610000000011
5,106.12635,100.0,Okay Bear #1627,9728,5,https://bafybeigrfcmzuc5yyi4xcjyjrwpbxmmocar3diwmtywxsxkls2fsw3pghy.ipfs.nftstorage.link/1626.png?ext=png,6.126350000000002
227,101.58993,99.0,Okay Bear #8234,9364,5,https://bafybeiamlgykkrotc4evxerwukz3b3o5uubenadt4n2g52zijjxtfa3rie.ipfs.nftstorage.link/8233.png?ext=png,2.5899299999999954
162,104.64369,103.0,Okay Bear #9429,7719,5,https://bafybeifykysj4snt6grazpemjvzzp3ejnrn6r3hudfnhnjsv3eikcvznzi.ipfs.nftstorage.link/9428.png?ext=png,1.6436900000000065
60,99.821144,99.0,Okay Bear #9749,3642,6,https://bafybeifoqhyrq5xwlr7ft5e4cetnejvgvyex3jj544lc5mxhxbiaxcwcei.ipfs.nftstorage.link/9748.png?ext=png,0.8211440000000039
377,98.496574,97.99,Okay Bear #4698,9140,5,https://bafybeify3vor6ywlm7zgzh57c6bzmzbsh3bub46lojq7sj7zrdqbvwach4.ipfs.nftstorage.link/4697.png?ext=png,0.5065740000000005
352,97.835335,98.0,Okay Bear #1486,5943,5,https://bafybeiemjtkrwomchs5cudnjmitzb63satr5jz7dtf3fkciv6ufqjvcyja.ipfs.nftstorage.link/1485.png?ext=png,-0.1646649999999994
