,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
10,102.84682,103.9,Okay Bear #2026,4917,6,https://bafybeiacexs5wxk7gqa3jgopbtf7zu24a566r36mfbj32ux2gqjiuakncq.ipfs.nftstorage.link/2025.png?ext=png,-1.0531800000000118
200,150.9478,153.0,Okay Bear #2753,8750,4,https://bafybeicifnldmpywwt43opvbwuanglybhnmalu3pi6pvajq2rj2ezqccym.ipfs.nftstorage.link/2752.png?ext=png,-2.052199999999999
226,125.50707,130.0,Okay Bear #4996,6800,5,https://bafybeibui3x7nvqkzpjnrhzvxdn6g7ozcu2eterivlchie6ogb6zkyendi.ipfs.nftstorage.link/4995.png?ext=png,-4.492930000000001
374,104.93424,110.0,Okay Bear #4334,4599,6,https://bafybeidl3dxvlqrfwxxfimv2b3chs65dwx6t2cnozkexqq3gtbfyisk35u.ipfs.nftstorage.link/4333.png?ext=png,-5.065759999999997
509,124.77341,130.0,Okay Bear #4603,3887,5,https://bafybeiftdsew6qc3cswplkocczi2tz5vhstcb76gblrfydvaoap65pz44y.ipfs.nftstorage.link/4602.png?ext=png,-5.226590000000002
381,110.184044,117.0,Okay Bear #7,1355,7,https://bafybeiebykx3fq5w4o6ll46dkirzlveskychoykadml7owohmgpjuj3xjq.ipfs.nftstorage.link/6.png?ext=png,-6.815956
49,97.83818,105.0,Okay Bear #4665,5462,6,https://bafybeidbklyccadg5o6sotunxjmecamie4t2xn6ju3vwxusim6tpapd6zi.ipfs.nftstorage.link/4664.png?ext=png,-7.161820000000006
31,96.38103,104.0,Okay Bear #8505,6559,5,https://bafybeid2lf2jxmn5ai3d7bkmzk3m7o2nbtxqa237zmv4fj3oosdrc5t2xy.ipfs.nftstorage.link/8504.png?ext=png,-7.6189700000000045
71,99.81388,107.8,Okay Bear #5872,4560,6,https://bafybeif5rt5imwmu6bjysd2kx5vrpp2be36yqarlvjxewhouvbejwzh6sy.ipfs.nftstorage.link/5871.png?ext=png,-7.98612
166,109.63416,118.0,Okay Bear #507,850,7,https://bafybeihwhmdp3lb3mywum3beavjphj23bjiscofnakuarpiplwijevqyuy.ipfs.nftstorage.link/506.png?ext=png,-8.365840000000006
258,95.527336,104.0,Okay Bear #7493,8620,5,https://bafybeiej73ogdprfvagvr76gk5xvyvvkbfuzvf3gpbkdklduc4mefbreka.ipfs.nftstorage.link/7492.png?ext=png,-8.472663999999995
180,102.39293,111.0,Okay Bear #7851,5507,5,https://bafybeifyucju7ajrium47uzdojlxg3zn2hp275pvedvu65qso5hqlzxbzi.ipfs.nftstorage.link/7850.png?ext=png,-8.607069999999993
280,110.30327,119.0,Okay Bear #5483,757,7,https://bafybeiabjdv35nvx3cngd4dhuza3fpzmuifxvvbvilx3aoaxg24fhsohtu.ipfs.nftstorage.link/5482.png?ext=png,-8.696730000000002
205,171.19441,180.0,Okay Bear #8308,9952,4,https://bafybeiehctqg7mdgq7v4tvdymatuytd2h25w2xmdetym4xrwk6eolixr5m.ipfs.nftstorage.link/8307.png?ext=png,-8.805589999999995
137,100.66774,109.99,Okay Bear #9541,9646,5,https://bafybeihds3yzrk4vt6wyhhpxpyisyq2h6nygep6njwesdaeyt3hy5cf4wm.ipfs.nftstorage.link/9540.png?ext=png,-9.32226
52,101.556595,111.0,Okay Bear #3107,8246,5,https://bafybeid6krsh4dhd2czttm4dqvzwyv5dmyhglgnxas6v6uh5s2en3mry64.ipfs.nftstorage.link/3106.png?ext=png,-9.443404999999998
51,96.445206,106.0,Okay Bear #6696,3590,6,https://bafybeid5tl6bnlvkdq3h5jb6tgwozydona6is3rtbtlq2tmesnjamlcknm.ipfs.nftstorage.link/6695.png?ext=png,-9.554794000000001
61,97.54123,108.0,Okay Bear #1464,9484,5,https://bafybeic26kjiotdnktmznib4dktzg36z4tkx4h7ldpaw4ekmd2hnc6xava.ipfs.nftstorage.link/1463.png?ext=png,-10.458770000000001
29,96.42799,107.69,Okay Bear #2660,6485,6,https://bafybeida6ibn5gda4v4ramj7aeksdcoghblggyasp473nzgdow64a2mtoi.ipfs.nftstorage.link/2659.png?ext=png,-11.262010000000004
109,96.38775,109.0,Okay Bear #4984,9357,5,https://bafybeibui3x7nvqkzpjnrhzvxdn6g7ozcu2eterivlchie6ogb6zkyendi.ipfs.nftstorage.link/4983.png?ext=png,-12.612250000000003
47,96.692535,109.99,Okay Bear #1353,7464,6,https://bafybeiejjts72c5groeljh3yg46arqj6almz2v3myhdre5pbdv7rrcu3eu.ipfs.nftstorage.link/1352.png?ext=png,-13.297464999999988
53,174.00346,187.5,Okay Bear #3796,9863,4,https://bafybeiamdlcbd3efau24hmnonk46x7tt7srxlvmz6e3t2aggho2bnjeziu.ipfs.nftstorage.link/3795.png?ext=png,-13.49654000000001
83,96.92198,110.69,Okay Bear #6908,2090,6,https://bafybeiajqt32bl4jxfyatxzekvzwzripfu4yote4yft3zk67amcgikbbiu.ipfs.nftstorage.link/6907.png?ext=png,-13.768019999999993
117,95.18236,109.0,Okay Bear #2207,3991,6,https://bafybeid5z5eiyzy5hivaeuybbp2n42vqpl34nrhl6zbqgs63fbrj2lgxhm.ipfs.nftstorage.link/2206.png?ext=png,-13.817639999999997
201,101.13076,115.0,Okay Bear #2999,4264,6,https://bafybeiamccjk5aswymo6xuyee24ysa6nquudhripukrmlmypihr2jb4eau.ipfs.nftstorage.link/2998.png?ext=png,-13.869240000000005
102,95.5453,109.99,Okay Bear #6331,6697,6,https://bafybeihylx5bttm6qt3chsqj65vd2jbsrls3qrw5w3t7lhrlokleokx7zu.ipfs.nftstorage.link/6330.png?ext=png,-14.444699999999997
63,95.38372,110.0,Okay Bear #5099,9312,5,https://bafybeighbsbehns5yrsfchfv7ehcghxib2geeidmbkovnvf3drrcyeawj4.ipfs.nftstorage.link/5098.png?ext=png,-14.616280000000003
165,104.31129,119.0,Okay Bear #991,4841,6,https://bafybeicdi6zjbia4mcle44lg5zhuraoaaa3kzywcitzo3thje2kqf4k5zu.ipfs.nftstorage.link/990.png?ext=png,-14.68871
106,100.965775,116.0,Okay Bear #6316,3069,6,https://bafybeieulwzq24dq4muf4vle6coeiaxnrovcyeesjyxrpzdcxrnhrb732y.ipfs.nftstorage.link/6315.png?ext=png,-15.034225000000006
60,104.66566,120.0,Okay Bear #3718,6440,5,https://bafybeibdktefbadhcttkm3cqp5ghb26utngxpolkvfgu3nmcfpgk4d2fem.ipfs.nftstorage.link/3717.png?ext=png,-15.334339999999997
74,104.57928,119.98,Okay Bear #333,3230,7,https://bafybeiadwvpb3vliqez6dja2mx6sgc2xzjykyy4sc6hfes25hqzkupvr2i.ipfs.nftstorage.link/332.png?ext=png,-15.400720000000007
196,99.55432,115.0,Okay Bear #711,5316,6,https://bafybeier53zymxd3qc7sxrjgwhx42ylooo3ouskpklcrerx3dqj5nzt5ya.ipfs.nftstorage.link/710.png?ext=png,-15.445679999999996
50,92.11818,109.0,Okay Bear #2509,5162,5,https://bafybeickme6bmkora47xisln47mz5wckpcx7pjvotouo37dpkdyzcznxvm.ipfs.nftstorage.link/2508.png?ext=png,-16.881820000000005
178,101.015274,118.0,Okay Bear #6734,5351,6,https://bafybeig5kfugvqkybg5aj7vcg7kzhtfpcg4xmg2qzhyopn6mbjceqkxmq4.ipfs.nftstorage.link/6733.png?ext=png,-16.984725999999995
189,97.50016,115.0,Okay Bear #8295,3086,6,https://bafybeiehctqg7mdgq7v4tvdymatuytd2h25w2xmdetym4xrwk6eolixr5m.ipfs.nftstorage.link/8294.png?ext=png,-17.499840000000006
259,97.0393,115.0,Okay Bear #8904,7400,6,https://bafybeifcequuobie3xlknchavdb3voum6vgeoyecf2wikhqx3phx56hbca.ipfs.nftstorage.link/8903.png?ext=png,-17.960700000000003
95,96.451004,114.5,Okay Bear #684,6422,6,https://bafybeihpz6e7a7lp322uqfnxgf4t6bhkfrq23fymbstzd7vuxmllfichk4.ipfs.nftstorage.link/683.png?ext=png,-18.048996000000002
195,96.6996,115.0,Okay Bear #2116,2805,6,https://bafybeid5o5x7pe2exojhegqlb4mcdbkwtlh2vknpsnr2gxshy2gy3wm3m4.ipfs.nftstorage.link/2115.png?ext=png,-18.300399999999996
28,116.42576,135.0,Okay Bear #2325,1403,6,https://bafybeiatt4tknzckozra7f46ouwvcoig66fhmti6ueknpmnijda2vwt3mm.ipfs.nftstorage.link/2324.png?ext=png,-18.574240000000003
151,101.25263,119.9,Okay Bear #1091,9427,5,https://bafybeidirz6erur4v3vktk3jy5lde4lowksovfkfaeag23tsnucsspexly.ipfs.nftstorage.link/1090.png?ext=png,-18.64737000000001
98,95.37808,114.1,Okay Bear #7589,3893,6,https://bafybeigwtsfhkgrzgsegukcqiwxiyaambi33ahvmbyx3umgxq3wsytte3y.ipfs.nftstorage.link/7588.png?ext=png,-18.721919999999997
91,95.22852,114.0,Okay Bear #8731,5551,6,https://bafybeig6ohhce2sh4jjby3dwxyz2l26hznmdgh5bjplpkhispguzjd22w4.ipfs.nftstorage.link/8730.png?ext=png,-18.771479999999997
255,149.96869,169.0,Okay Bear #5857,9540,4,https://bafybeif5rt5imwmu6bjysd2kx5vrpp2be36yqarlvjxewhouvbejwzh6sy.ipfs.nftstorage.link/5856.png?ext=png,-19.03130999999999
197,95.88916,115.0,Okay Bear #4373,7237,6,https://bafybeictfjnnwwkl3votucujwqaol4prwyunsi4gs3ppmjrqnnoahl2kc4.ipfs.nftstorage.link/4372.png?ext=png,-19.110839999999996
245,107.47207,127.0,Okay Bear #5043,1156,6,https://bafybeifu7lofiwmt3jmmiywvfra6rtmqdxnkzazk66hs26s46ohaf42yeq.ipfs.nftstorage.link/5042.png?ext=png,-19.527929999999998
653,150.35443,170.0,Okay Bear #6643,9269,4,https://bafybeiev44sczxuj64au2iqmlahp4bx6ian72uvg4lb7spjq6tbg7nhha4.ipfs.nftstorage.link/6642.png?ext=png,-19.645569999999992
239,99.95003,120.0,Okay Bear #2439,3653,6,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2438.png?ext=png,-20.049970000000002
192,104.74826,125.0,Okay Bear #7266,1988,7,https://bafybeidtvwxehj3f6sldtggxepe5sa3zbsz7wh76kmgohyims52g3kgjke.ipfs.nftstorage.link/7265.png?ext=png,-20.251739999999998
78,99.31497,120.0,Okay Bear #9190,8445,5,https://bafybeialcn6hhvbxdftk5uznb5vf4odbo2cjgfoll2a7x2tmq77sdk3i7a.ipfs.nftstorage.link/9189.png?ext=png,-20.685029999999998
365,117.76795,139.0,Okay Bear #698,1137,7,https://bafybeier53zymxd3qc7sxrjgwhx42ylooo3ouskpklcrerx3dqj5nzt5ya.ipfs.nftstorage.link/697.png?ext=png,-21.23205
26,103.078636,125.0,Okay Bear #4234,2702,7,https://bafybeid4ewg2r5osvttayehuzr5ko5hdkgsapjqrzphtup3ompfaw5fnpe.ipfs.nftstorage.link/4233.png?ext=png,-21.921363999999997
56,107.97995,130.0,Okay Bear #4930,4532,6,https://bafybeiftoq5bhvgnpqpdqkwjtrkw4qiubaimfkoqwjfxdxjcdehbrupjya.ipfs.nftstorage.link/4929.png?ext=png,-22.020049999999998
187,96.97075,119.0,Okay Bear #4821,2924,6,https://bafybeiggshd2xhquqmy4rixuodmicjeebfs4ilj7kgh2m7px2g3lmkmh2y.ipfs.nftstorage.link/4820.png?ext=png,-22.029250000000005
110,97.79706,120.0,Okay Bear #7028,7387,5,https://bafybeidt6isw2ympb5zevjtlvxmu3u2s6wmnax7keay5mozg4idprgt3sa.ipfs.nftstorage.link/7027.png?ext=png,-22.202939999999998
99,96.73272,119.0,Okay Bear #5761,4801,6,https://bafybeicgr6dh4po6wje7nhcdwnubfrmok5bf4qjvu6pttn35reygpetvzi.ipfs.nftstorage.link/5760.png?ext=png,-22.26728
160,101.077255,123.5,Okay Bear #1639,5936,5,https://bafybeigrfcmzuc5yyi4xcjyjrwpbxmmocar3diwmtywxsxkls2fsw3pghy.ipfs.nftstorage.link/1638.png?ext=png,-22.422745000000006
104,117.29384,140.0,Okay Bear #1829,692,7,https://bafybeigg4kqb4gqmbjut7t3bz22fs6izsa2uvhqm26z4ygvwqnzeod76iu.ipfs.nftstorage.link/1828.png?ext=png,-22.706159999999997
125,95.836815,119.0,Okay Bear #2858,3809,6,https://bafybeienle45tmnsb3rz4coqnwmwlp2s4sw7kao5b6aquc7kovkmpnkwla.ipfs.nftstorage.link/2857.png?ext=png,-23.163185
236,95.54641,119.0,Okay Bear #8616,1519,6,https://bafybeid4ymauvvslixbb5sgsaagxsfophmzxbm2voe5sjuanbo3m4qh5vm.ipfs.nftstorage.link/8615.png?ext=png,-23.453590000000005
242,166.54584,190.0,Okay Bear #1730,9260,4,https://bafybeibzmjraxauodqal3st3nk46kupxvyv5czhtsb7xshysxn4lw6gola.ipfs.nftstorage.link/1729.png?ext=png,-23.45416
114,151.49951,175.0,Okay Bear #2734,9733,4,https://bafybeicifnldmpywwt43opvbwuanglybhnmalu3pi6pvajq2rj2ezqccym.ipfs.nftstorage.link/2733.png?ext=png,-23.500490000000013
204,156.11086,180.0,Okay Bear #4005,9814,4,https://bafybeiatka6xb562irl4fjzbzmly2h7fjl2jefcrg5skieaqw4zhrwtt4e.ipfs.nftstorage.link/4004.png?ext=png,-23.889139999999998
19,101.075485,125.0,Okay Bear #5621,7851,5,https://bafybeifvlxcaeg5phenduz2g7zu2fopnqx654664qboqupckixugjihxzy.ipfs.nftstorage.link/5620.png?ext=png,-23.924515
168,94.84157,119.0,Okay Bear #8452,8651,5,https://bafybeicxvlclblb634azuufi7rixzatzmkr7f3eh7qymrpdtaq2xzggzfm.ipfs.nftstorage.link/8451.png?ext=png,-24.158429999999996
103,95.828865,120.0,Okay Bear #3655,1565,6,https://bafybeibaxrgo7nog4z3onshiwe7ezg4r35alnfaiaxzyls4tj3czdiog54.ipfs.nftstorage.link/3654.png?ext=png,-24.171135000000007
121,100.64774,125.0,Okay Bear #8419,2185,7,https://bafybeia44zae6vurmjcwrrekpqtsjczxmoh3tebp7nwp3uzhuho6xugo7q.ipfs.nftstorage.link/8418.png?ext=png,-24.35226
733,120.348885,145.0,Okay Bear #1434,8178,5,https://bafybeihgwnmpu3hutpufktognzt3xodrm5dct2h3y6mvj2l35rpk5r7uxu.ipfs.nftstorage.link/1433.png?ext=png,-24.651115000000004
25,105.27809,130.0,Okay Bear #529,2726,6,https://bafybeigjdfwmema2xtsnadcdxpshb3m7ar6xgqjm7un2ghs6ylstfd2f6a.ipfs.nftstorage.link/528.png?ext=png,-24.721909999999994
251,100.22337,125.0,Okay Bear #6532,1591,7,https://bafybeigact3ue5nwf7qdquz363r7f2u6nv7q3llgu47pe56cqrqjslcluy.ipfs.nftstorage.link/6531.png?ext=png,-24.776629999999997
75,97.885925,123.0,Okay Bear #9939,3500,6,https://bafybeiflfbsbwxjqowrjhldqahidkfcx5zynbysdt4gvryu7q57tw66yzq.ipfs.nftstorage.link/9938.png?ext=png,-25.114075
179,104.38513,130.0,Okay Bear #8919,2173,6,https://bafybeidmtq366yplkaex3v72p55mqq2nf4gqks7mjknm4unffvihqjiuna.ipfs.nftstorage.link/8918.png?ext=png,-25.614869999999996
182,103.1971,129.0,Okay Bear #7935,6135,6,https://bafybeiey7bbgoqrir3sq2fiqjltlrrrm35r24752fthcz2nrubjh2wcnzm.ipfs.nftstorage.link/7934.png?ext=png,-25.802899999999994
234,104.59165,130.69,Okay Bear #4667,8567,5,https://bafybeidbklyccadg5o6sotunxjmecamie4t2xn6ju3vwxusim6tpapd6zi.ipfs.nftstorage.link/4666.png?ext=png,-26.098349999999996
638,97.33016,124.042,Okay Bear #8954,4833,5,https://bafybeiev3w7g7xw7zc2vezamuvydzrfd4rpbrbow6woffwkjyy5gfyctgi.ipfs.nftstorage.link/8953.png?ext=png,-26.711839999999995
140,96.04674,123.0,Okay Bear #2001,7149,5,https://bafybeibka67ypnqw524hp2rucq2gcpgufbrbsld72r4ocqnvzq2k53drnq.ipfs.nftstorage.link/2000.png?ext=png,-26.95326
138,102.82465,130.0,Okay Bear #7115,8163,5,https://bafybeid2kbozasiq5qoq52vqporne27waicsbu74eevz7mz4pbzarytfne.ipfs.nftstorage.link/7114.png?ext=png,-27.175349999999995
55,102.29754,130.0,Okay Bear #7625,4519,6,https://bafybeieoeyzu6vgs65vzrigljltolcrfomdz2aelk7icj7hj5afyrouzfa.ipfs.nftstorage.link/7624.png?ext=png,-27.702460000000002
314,95.19573,123.0,Okay Bear #442,1599,6,https://bafybeia3cyxzvt7ykap5wk6oajlx6goh4tajtevvjlwp66vsutg46mc62q.ipfs.nftstorage.link/441.png?ext=png,-27.804270000000002
225,98.63568,126.69,Okay Bear #9599,8123,5,https://bafybeiclkq5op3bruannjxnbgfwaxjdbbwp3i6yskcfc43hpedcve4mutu.ipfs.nftstorage.link/9598.png?ext=png,-28.054320000000004
152,101.92285,130.0,Okay Bear #8145,3028,6,https://bafybeih4sciduafh6vlz3b5igcfwoexlxhlojzqvnr3qb5y3zujer5ocnq.ipfs.nftstorage.link/8144.png?ext=png,-28.077150000000003
227,100.14606,129.0,Okay Bear #7750,3685,7,https://bafybeia3oijrecmvefbshl3bzbcsqj3hhzpbuvrl6pfspu2e7eueedxery.ipfs.nftstorage.link/7749.png?ext=png,-28.853939999999994
87,100.47242,130.0,Okay Bear #6553,4032,6,https://bafybeibvntklhfgpzhqighhntqllse2sq2rkvtzhftzlc555noe3kcmpxe.ipfs.nftstorage.link/6552.png?ext=png,-29.52758
232,95.27562,125.0,Okay Bear #5991,8385,6,https://bafybeiattngzarm3ukxxbxfv26a7rd5kfsy5rewbpl4ctdvyk6fwh2axaq.ipfs.nftstorage.link/5990.png?ext=png,-29.724379999999996
203,150.24817,180.0,Okay Bear #1664,9841,4,https://bafybeier3gbmyhd6fnsq3wibwwth3t46pv7xxkkeboljtfa4tqw6d2hnsy.ipfs.nftstorage.link/1663.png?ext=png,-29.751830000000012
392,109.23354,139.0,Okay Bear #107,5095,5,https://bafybeighjl5tsg5rpyokpizeodz6ho46rjenzyzslbozh4qdfehhhsgrsa.ipfs.nftstorage.link/106.png?ext=png,-29.766459999999995
107,104.77461,135.0,Okay Bear #4161,7281,6,https://bafybeieidboq6gekyykmfwlewz3urrvmurwai75oxe5223tcidytwlh5fm.ipfs.nftstorage.link/4160.png?ext=png,-30.225390000000004
67,102.740814,133.0,Okay Bear #3378,6913,6,https://bafybeiaf3xea5l4zyknck43h4fznaxfzysxvbh66dwwknhtjdxcu64hmqa.ipfs.nftstorage.link/3377.png?ext=png,-30.259186
346,118.64416,149.0,Okay Bear #6747,220,7,https://bafybeig5kfugvqkybg5aj7vcg7kzhtfpcg4xmg2qzhyopn6mbjceqkxmq4.ipfs.nftstorage.link/6746.png?ext=png,-30.35584
202,149.50131,180.0,Okay Bear #4430,9950,4,https://bafybeihlwkjbzju74vth23wacmsz7szbolfu3675qzau7rdn4vguygpleu.ipfs.nftstorage.link/4429.png?ext=png,-30.49869000000001
224,103.2626,134.0,Okay Bear #3909,6708,6,https://bafybeihctya3uyea3ked3o4jyqcsesxbpl5mx3arj3sedqiefqhz4qm5qi.ipfs.nftstorage.link/3908.png?ext=png,-30.737399999999994
177,99.11467,130.0,Okay Bear #3209,9343,5,https://bafybeifllsj4lwl6tizghq4elimvr5owf4swbtrrwxleqq3gcuadkkofwe.ipfs.nftstorage.link/3208.png?ext=png,-30.885329999999996
274,98.97113,130.0,Okay Bear #6626,8258,6,https://bafybeifrqqpjyifja73fqsbedjl5kusxlru4zfglmkvg2vproeiyz2mn6a.ipfs.nftstorage.link/6625.png?ext=png,-31.028869999999998
656,98.619545,130.0,Okay Bear #5691,2631,7,https://bafybeibrumzlxuai3rs6sdafq24faaggprot5e7sdluolefveb576lnpnq.ipfs.nftstorage.link/5690.png?ext=png,-31.380454999999998
3,113.832794,146.0,Okay Bear #1407,1343,7,https://bafybeic2vhfvp4tlclbjzu44wfzha4mex63ebut3sihpay2wkpmeuqcctm.ipfs.nftstorage.link/1406.png?ext=png,-32.16720599999999
309,96.69807,129.0,Okay Bear #2446,6170,5,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2445.png?ext=png,-32.30193
175,95.66007,128.0,Okay Bear #9032,4908,6,https://bafybeihkmuvb6o3qdwdinnxkm2otiojvupk22cbuw2tavx5v553wpnzdxy.ipfs.nftstorage.link/9031.png?ext=png,-32.339929999999995
6,97.63348,130.0,Okay Bear #8512,4237,6,https://bafybeid2lf2jxmn5ai3d7bkmzk3m7o2nbtxqa237zmv4fj3oosdrc5t2xy.ipfs.nftstorage.link/8511.png?ext=png,-32.366519999999994
22,97.5924,130.0,Okay Bear #7507,6743,6,https://bafybeiclnridjpablpz2xdvtpw3la7akagpnrz5i2m7c3vs7vytlzwxvtq.ipfs.nftstorage.link/7506.png?ext=png,-32.4076
552,97.1114,130.0,Okay Bear #2778,7412,6,https://bafybeihdcplz5m3ehuavfb7t4ypuzdrw6mokunhwancuacvuekknxjopoy.ipfs.nftstorage.link/2777.png?ext=png,-32.8886
161,93.653534,126.9,Okay Bear #2220,9091,5,https://bafybeid5z5eiyzy5hivaeuybbp2n42vqpl34nrhl6zbqgs63fbrj2lgxhm.ipfs.nftstorage.link/2219.png?ext=png,-33.24646600000001
169,163.73228,197.35,Okay Bear #3750,9970,4,https://bafybeiacwciqezo5qnott2jbe2wor6urpfmtqiduqwir222xhgirpj7hla.ipfs.nftstorage.link/3749.png?ext=png,-33.61771999999999
372,104.32953,138.0,Okay Bear #185,3003,7,https://bafybeibr4h4xaqbdjhgn4x2t5qamd4pqxaihwkcqyaikuxvwilju2d6pp4.ipfs.nftstorage.link/184.png?ext=png,-33.670469999999995
442,96.27243,130.0,Okay Bear #8873,5161,6,https://bafybeieuni5kmlg2uxohwxhf3wujjv2c3qfc5dyvo2rtal2igvdnfycoeq.ipfs.nftstorage.link/8872.png?ext=png,-33.72757
325,106.08739,140.0,Okay Bear #4679,3971,6,https://bafybeidbklyccadg5o6sotunxjmecamie4t2xn6ju3vwxusim6tpapd6zi.ipfs.nftstorage.link/4678.png?ext=png,-33.91261
243,105.965225,140.5,Okay Bear #1201,9118,5,https://bafybeib7p54gpzzdejgconzqyjtulh2vi7utocsdd7wra3i7fcraa2ky3u.ipfs.nftstorage.link/1200.png?ext=png,-34.534774999999996
7,95.414185,130.0,Okay Bear #4093,9215,6,https://bafybeiaqzo4kw4c2dtvnne44jahnkjcy7btuszqfkmgv3xbcdcud5fxmbi.ipfs.nftstorage.link/4092.png?ext=png,-34.585815
141,103.35452,138.0,Okay Bear #5812,5318,6,https://bafybeibhlz4mmiw7lwcbdj6xc77tjjcm3ia6776e6qx4zp6sctexju7blu.ipfs.nftstorage.link/5811.png?ext=png,-34.645480000000006
289,100.25849,135.0,Okay Bear #5229,1614,6,https://bafybeihohxdg54q47oi3tlxiqxtkydu6shy777cqbgcss5wz64omfzhhva.ipfs.nftstorage.link/5228.png?ext=png,-34.741510000000005
249,94.885345,130.0,Okay Bear #9391,3992,7,https://bafybeib2ggvpvwlsn3bdquf44lv5r7lztsg6kxsretpsstlqglb3yzbjse.ipfs.nftstorage.link/9390.png?ext=png,-35.114655
319,104.88223,140.0,Okay Bear #705,969,7,https://bafybeier53zymxd3qc7sxrjgwhx42ylooo3ouskpklcrerx3dqj5nzt5ya.ipfs.nftstorage.link/704.png?ext=png,-35.11776999999999
5,103.09734,139.0,Okay Bear #3251,6552,6,https://bafybeievypotgvgtcf5cbbetmx2bu37gnrz6fmc7ryufa77cm6p7bvf4du.ipfs.nftstorage.link/3250.png?ext=png,-35.90266
129,98.00891,135.0,Okay Bear #1015,8336,5,https://bafybeicdi6zjbia4mcle44lg5zhuraoaaa3kzywcitzo3thje2kqf4k5zu.ipfs.nftstorage.link/1014.png?ext=png,-36.99109
190,94.87569,132.0,Okay Bear #3781,6186,6,https://bafybeiamdlcbd3efau24hmnonk46x7tt7srxlvmz6e3t2aggho2bnjeziu.ipfs.nftstorage.link/3780.png?ext=png,-37.124309999999994
0,110.46179,147.77,Okay Bear #9718,1145,7,https://bafybeiby656hnzmeoi26q6qijfzjpmcvduk4sv6j2fvndd5nndolgnqgrm.ipfs.nftstorage.link/9717.png?ext=png,-37.30821000000002
624,97.25398,135.0,Okay Bear #7248,7897,5,https://bafybeidlnolmcounih2tpcfo5re5kd3zqnmmykwyor3lmu35xcpnxjg6h4.ipfs.nftstorage.link/7247.png?ext=png,-37.74602
153,101.05047,139.0,Okay Bear #9003,6253,5,https://bafybeiergvyluqjqiheufi3xyejxjuz7jo3lydyi6kqduqngwjiczuvqwq.ipfs.nftstorage.link/9002.png?ext=png,-37.949529999999996
136,96.72293,135.0,Okay Bear #8293,2207,6,https://bafybeiehctqg7mdgq7v4tvdymatuytd2h25w2xmdetym4xrwk6eolixr5m.ipfs.nftstorage.link/8292.png?ext=png,-38.277069999999995
375,108.46541,147.0,Okay Bear #4633,5690,6,https://bafybeie62as3r4qrcg2t7fdltofrqicq2stroquqqkz2tk2n3nd5itqlhu.ipfs.nftstorage.link/4632.png?ext=png,-38.534589999999994
