,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.created,rarity.moonrank.crawl.updated,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img,rarity.howrare.rank
0,3wiNbfdgmUvqHBm6fowdmpUChvAkGrbBwWSBb7rjrwyu,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BRXiusqPBUaJCVScaXRpdxv7xkrKG62aWTB8WoYTEpj2,AfUNWLEQ7CaBEzk77haEPXiuJSL4BWzW6hGdJVSFjLs1,FD34A7rMfBXeqoWKrz8ES3Czys83CNUv7pZgdr6SWyid,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,103.0,-1,5639,2.4570829024253237e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeigdlquxvxdl466tekqlpghhjyoovezizetxscey7rwzwhoy7to62u.ipfs.nftstorage.link/9098.png?ext=png,
1,BnPabfWqSQivE6A5pyrZRTVSTmsYH8fAEQMoZzV6GXf3,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5GLSA5VpzDEHoPJ6CJoow6puAnKv9BjMUMCEYvPZm49r,8Z7BBo6cwcoYw3smNcLPCAKrJx5LpLNdoho2xYgjr8qK,FrUARd2dbWd3hrYiHQCVYdnz1EBKoFZVLk67yCwnxZxC,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,115.0,-1,5900,2.8934664813091708e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeibr4h4xaqbdjhgn4x2t5qamd4pqxaihwkcqyaikuxvwilju2d6pp4.ipfs.nftstorage.link/208.png?ext=png,
2,GNPuqnMxorXF24DtPxZ9kKXV6Vn6kDSWocC9nq5uiN83,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5o56DxrXEfDcxBThkLXXY85vcipQBWpbLFEzWXmUGMDn,5ypzCegZ6SqoEmGBS2xoPRua5au7kWUudcK7y4CcPewj,8gChtKNEiUGRjKzmPBiBjeYKzeukEsxY9H8SrBTdRtYH,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,160.0,-1,6947,5.7953945279138586e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeialcn6hhvbxdftk5uznb5vf4odbo2cjgfoll2a7x2tmq77sdk3i7a.ipfs.nftstorage.link/9185.png?ext=png,
3,GdZmPgzCEAGXTGb6QpxG2gSVkWs6inBYkyhwsxwp4MkB,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,9eFHXB66Kh5cvoL4kp3QGx9HRFjEshFajujRxrPjZYUJ,Gtx5Jsh5DLqipMbts9sbyVu943uCV2hSTERS1Q6C69zB,9HmeKwaW9x7sAXBycLmuh3CAEsm2QECr3vbEX6megyS8,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,142.69,-1,7785,1.0844770613971542e-07,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeia44zae6vurmjcwrrekpqtsjczxmoh3tebp7nwp3uzhuho6xugo7q.ipfs.nftstorage.link/8400.png?ext=png,
4,7bGq2Mc7b6UCwy6vYmYM7u5b11oty3qqrseJv1EaeA6F,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FNkR9QFfQWkMMa7ULee9T25XWTQDzLtMcY4F14q3jnYp,2UptsNFLGau3f5bide961sZSiTFUWgzJWMryTPDGSA51,8ySdj6R3FXSdCKUHmXGtqjf4FSFWd8xGJrtGtGLvRYY1,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,400.0,-1,3052,4.3172239197807274e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeiatka6xb562irl4fjzbzmly2h7fjl2jefcrg5skieaqw4zhrwtt4e.ipfs.nftstorage.link/4002.png?ext=png,
5,EbSwsxUEUUkNmbAMS7GUyuj5fA6QqDao7L4LPhU6ftuH,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8tS44Q9Zb7vsMPA7mKD3iAzr31qs138WwbJiApyb1GXm,5z3gAVPQSaqpE6GRUovTVyJKQ76NuAJAwPL9Wa2KF4KF,6vNkQpF7iq7kik54LoUA1LhaRLmqbxrnsMnHLpGZJYrm,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,250.0,-1,9236,5.587896739291357e-07,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeibonnm4tcyggs5jwo3o7a2ifa7hww4vim6thiny5vmimdlii2kk24.ipfs.nftstorage.link/7186.png?ext=png,
6,GwZxkpJPgwRLQWrUWzcVJpjihSTabQPhg3kB6cmaxfnQ,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,WDyRfG2oBMGSdqcxre5ErR2sU55xbFDrrYuT5kHHQWf,FTidrHfbv9T4SW4PMiBJGLtxTGSkHC4Tiyh6v9dmD5br,GvaSLNMoMdvkgaQyYxrrDkmU4B3L2Eq3ZpbYMTDMfMJL,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,147.77,-1,1145,7.502572912198025e-10,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeiby656hnzmeoi26q6qijfzjpmcvduk4sv6j2fvndd5nndolgnqgrm.ipfs.nftstorage.link/9717.png?ext=png,
7,992EFF3P9BiySVpU8CESJh5tT7qcSXruxzvLmgzarwNt,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,9D2MJHAvUJzmxKtQYZZdSSeHjykeZWy8f2eFtS33TzfA,8svZggu5KzWw5fgLWaVwHE2G8nLxcpVX234LjcMLBYwQ,CTkboUGum5knLmvsesz6WLrhNNNCa7dMf62eqZypVExe,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,189.0,-1,2361,2.4803591722616683e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeidoiqwmgexfzfnixl5upqypmboaleli2sfma545zzymw55iterrjy.ipfs.nftstorage.link/6199.png?ext=png,
8,CrUcTyVXiqNU2V2zBGYDZD9uRqJYYeadzfiHsNLpmxQE,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,2kU3xtiiL51MfDqoWPg6C69sM7EsNTRsFW95v1XJSmSz,5koRyredJjiEp1N3cMyjpfPGnLaDboV1bgCZrnc8Akpk,DNBsTnpUVTvWnwGQ9jMXUtNa7uVtv41fq9CoRDp9h13r,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,147.0,-1,2038,1.8970732968510956e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeigktluses23po5xl3s4jcf2f6qp2n6sc4nrorlxru6njwnzt2q6fe.ipfs.nftstorage.link/6468.png?ext=png,
9,2KMTgRoZwnwG8MA722XunEUgLp1GA6ufhKHwWqVvRfRQ,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3zmBGrk9J98mcmPSBBNcLd41PPC8Yo4MtB3iMntUN1T3,EQ5pka5TcEcryapBD9B7eedo5sauL5R37UY4kkBYmdJZ,hKQMsWVHD3mjk5bezdgdQzMzdHqEas1BwiD8HDPpQyY,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,146.0,-1,1343,9.6510199515829e-10,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeic2vhfvp4tlclbjzu44wfzha4mex63ebut3sihpay2wkpmeuqcctm.ipfs.nftstorage.link/1406.png?ext=png,2442.0
