,Unnamed: 0,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,trait_1_rarity,trait_3_rarity,trait_4_rarity,Eyewear_rarity,trait_0_rarity,trait_5_rarity,trait_2_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
9158,9158,Okay Bear #5154,White,,Interested,,Coral,,Okay,12.65,19.65,6.710000000000001,66.72,0.72,26.98,23.05,9159,4.982840773347879e-07,0.72,22.354285714285716,4,HrkTmJzHFt2bKnB1eqTHZSJU3BYmssSGfic2irXirF4S,384.71048
426,426,Okay Bear #4326,Purple,Okay Hoodie,White Glow,Barrel Sunglasses,Coral,,Clean Smile,11.87,1.5,3.41,2.11,0.72,26.98,7.969999999999999,427,1.983405784350117e-10,0.72,7.794285714285714,6,FL1o6JqfwzpwQcAjxvhh2Et1iapyLdNe4FMRVb8BxLzH,362.36478
4,4,Okay Bear #9886,Cream,Wool Overcoat,Interested,Clear Glasses,Robot,Skate Cap,Earphones,13.26,1.2,6.710000000000001,4.07,0.52,5.510000000000002,0.49,5,6.1008833604438714e-12,0.49,4.5371428571428565,7,CiQYuUykLgjiGv87U65GBFrybPcns1GXfW9aS5Q7BzVz,359.0571
7275,7275,Okay Bear #2166,Green,,Disappointed,,Coral,,Ohh,12.6,19.65,9.4,66.72,0.72,26.98,2.43,7276,7.329894206113704e-08,0.72,19.785714285714285,4,FLePacnavtphvMJ1vmhxgKq7Fz6W9h4Wi5P8JXNoG3Rh,356.43784
6928,6928,Okay Bear #9698,Blue,,White Glow,,Coral,,Proud,12.52,19.65,3.41,66.72,0.72,26.98,5.28,6929,5.740975116889923e-08,0.72,19.32571428571429,4,5ZsnSQte5BA1wuESw2n6CciZQmGTedoNbBR2awvmnSmK,353.36734
1784,1784,Okay Bear #2102,Cream,Polo with Headphones,Sad,,Coral,Classic Cap,Pouting,13.26,1.14,5.07,66.72,0.72,3.37,12.31,1785,1.5273297900354189e-09,0.72,14.655714285714287,6,FsLB5wnMsJ2xYCZGqq4S9Enb8z6ZZZHLxdVWXLN1MEUR,349.7139
1032,1032,Okay Bear #1019,Green,Scarf,Tired,,Coral,Bandana,Gah,12.6,1.3,4.54,66.72,0.72,4.24,4.26,1033,6.452585086419762e-10,0.72,13.482857142857142,6,9D8d8tzdwETDsvU7G7wZeFY4gLr3PM8XXGKh2AnvuQhk,349.14035
2546,2546,Okay Bear #8730,Grey,Okay Hoodie,Disappointed,,Coral,Bandana,Clean Smile,12.61,1.5,9.4,66.72,0.72,4.24,7.969999999999999,2547,2.886336166898995e-09,0.72,14.737142857142857,6,EJDtiPkuoRt9nNrQXhQDhtYuAGdV5JzQL9ZAVsRkEdJe,347.67075
274,274,Okay Bear #1069,Warm Grey,Vintage Shirt,Wide Eyed,Circle Sunglasses,Coral,Flat Hat,Okay,12.27,2.75,2.6,2.82,0.72,2.9000000000000004,23.05,275,1.1906966641283999e-10,0.72,6.73,7,9c3gGsrxqnAcj4bmuSRkc7CGKbcoxGkXCDU5xnwozrFK,337.39893
8983,8983,Okay Bear #488,Grey,,Okay,,Robot,,Clean Smile,12.61,19.65,20.23,66.72,0.52,26.98,7.969999999999999,8984,3.739669066951079e-07,0.52,22.09714285714286,4,FooSBnRyfeg7ccfLhZT6wpXuQRwoBcuik8H93Gv7b3sy,337.2988
1309,1309,Okay Bear #4208,Purple,Olive Windbreaker,Golden Glow,,Coral,Pom Pom Beanie,Pouting,11.87,2.56,1.99,66.72,0.72,2.56,12.31,1310,9.154409022747574e-10,0.72,14.104285714285714,6,6DZYSvSonF2RidZ7NJ9pyBktjdrZNcvV3qohJBsJ81nC,336.03073
6,6,Okay Bear #7455,Purple,Legacy Windbreaker,Closed,Barrel Sunglasses,Coral,Worn Out Cap,Gah,11.87,1.15,3.1,2.11,0.72,2.79,4.26,7,7.64080308223704e-12,0.72,3.7142857142857135,7,9JWToSoF5YXnMkbTLsQmvtZpTTWPLDeWKDoih9vnjQKP,334.2933
9702,9702,Okay Bear #5093,Blue,,Okay,,Coral,,Okay,12.52,19.65,20.23,66.72,0.72,26.98,23.05,9703,1.4868397918713046e-06,0.72,24.267142857142854,4,5j5VLDh9GibrRTUHfrpDszR1Tz42jCmM3REKSAbahttR,333.09973
107,107,Okay Bear #8862,Purple,Torn Tee,Tired,Pixel Glasses,Robot,Pom Pom Beanie,Okay,11.87,1.04,4.54,3.2,0.52,2.56,23.05,108,5.503058481250305e-11,0.52,6.682857142857142,7,Ht9P15seb1Rurzq9w4uNBbAUi3J9d4ZjAxSFDRw9UzDA,332.24515
2862,2862,Okay Bear #467,Warm Grey,Okay Hoodie,Okay,,Coral,Sticky Note,Wry,12.27,1.5,20.23,66.72,0.72,2.3,9.22,2863,3.792966401435098e-09,0.72,16.137142857142855,6,G2Wo4AWABRnRtZgAkVqFiS49Yd7c947stMdYGYtwwkyZ,331.41885
52,52,Okay Bear #7788,White,Black Suit,Interested,,Robot,Pom Pom Beanie,Toothpick,12.65,0.37,6.710000000000001,66.72,0.52,2.56,1.16,53,3.2357287338934273e-11,0.37,12.95571428571429,6,4LFAEBoXrdMTW8T8TiAAQCUTv8gygjLRo8qczWunxu5w,329.93552
2203,2203,Okay Bear #7794,Blue,Cord Tracksuit,Disappointed,,Coral,Okay Beanie,Wry,12.52,1.39,9.4,66.72,0.72,3.01,9.22,2204,2.180885843577564e-09,0.72,14.711428571428574,6,H4bPftfuWWVoxWcdUcE8fHedoCtYHBsMvyKkn3wF6TPY,328.04434
2346,2346,Okay Bear #517,Grey,Faded Denim Jacket,Interested,,Coral,Runner Cap,Wry,12.61,1.93,6.710000000000001,66.72,0.72,3.39,9.22,2347,2.4519638844449437e-09,0.72,14.471428571428573,6,G26JQbriv6idDXXikjgS1y5cavoLhr6hSyry5EUXAhCe,327.21075
17,17,Okay Bear #4493,Green,Vintage Windbreaker,Spirited,Barrel Sunglasses,Coral,Baker Boy Hat,Oou,12.6,1.93,6.2,2.11,0.72,2.14,2.71,18,1.3283654140471678e-11,0.72,4.058571428571428,7,9GGi8ckh92Jz6qNwzAgXyHs7VdBmePBKHGfJy8Csi7Ve,327.1664
833,833,Okay Bear #6294,Blue,Utility Vest,Happy,Aviator Sunglasses,Coral,Sweatband,Okay,12.52,1.97,7.88,4.09,0.72,3.52,23.05,834,4.6437215476770205e-10,0.72,7.678571428571429,7,FjJQGphNxmeuNdprc5YDFRr9K1n3px8WmBqJKx4Trw6J,326.68103
381,381,Okay Bear #5768,Warm Grey,Vintage Windbreaker,Sad,,Coral,Earrings,Ahh,12.27,1.93,5.07,66.72,0.72,2.66,1.13,382,1.7336381094937982e-10,0.72,12.928571428571427,6,BeePQLgGm57STgWUDqwjpSp9uGv2oQkUiDyerCM4TYHF,326.27853
526,526,Okay Bear #2618,Warm Grey,Travel Coat,Defeated,,Coral,Skate Cap,Ugh,12.27,1.01,5.26,66.72,0.72,5.510000000000002,1.51,527,2.605366117353409e-10,0.72,13.285714285714288,6,EzNEYpERuMjL8shqhAdZJK9g1mdb1Z3NSQkrDYhy7aV2,325.77444
127,127,Okay Bear #1426,Yellow,Puffer Jacket,Spirited,VR Headset,Robot,,Oou,12.22,2.27,6.2,0.92,0.52,26.98,2.71,128,6.015769116268122e-11,0.52,7.402857142857143,6,8pfzDYeNXhTms5XVPav44ymt3TGGe5QqMEUCN1aP372a,325.48517
960,960,Okay Bear #4106,White,Faded Denim Jacket,Interested,,Coral,Army Hat,Hmm,12.65,1.93,6.710000000000001,66.72,0.72,2.39,3.02,961,5.680201375322118e-10,0.72,13.448571428571428,6,FAaYzta1Z33qimQGkiwaVbjzqyQrHa6wm7dsjFfXUpBK,323.90414
3213,3213,Okay Bear #2895,Grey,Hoodie with Headphones,Defeated,,Coral,Beret,Okay,12.61,2.27,5.26,66.72,0.72,2.92,23.05,3214,4.8682066262826745e-09,0.72,16.22142857142857,6,8FHpq7LmYNnEkFpcGc49jedinthmEFLG915EtSodg8ni,323.54337
1007,1007,Okay Bear #8903,Blue,Faded Denim Jacket,White Glow,,Robot,Mumford Hat,Pouting,12.52,1.93,3.41,66.72,0.52,1.7500000000000002,12.31,1008,6.158451134246613e-10,0.52,14.165714285714285,6,HUxzzwAErxGU51idCkjBJnmV78eYoVeVxZVjzBxjPo9Q,323.5209
0,0,Okay Bear #3340,White,Hawaiian Shirt,Interested,Holographic,Coral,Mumford Hat,Yoyo,12.65,1.78,6.710000000000001,1.71,0.72,1.7500000000000002,0.48,1,1.5625752490656e-12,0.48,3.6857142857142864,7,EK4FizYeActi1CAt4j48Qb5bNsY38RLydnugsvvaj57e,322.23944
3089,3089,Okay Bear #4117,Purple,Hoodie with Headphones,Sad,,Coral,Beret,Okay,11.87,2.27,5.07,66.72,0.72,2.92,23.05,3090,4.41699442104394e-09,0.72,16.08857142857143,6,7qq5duoAvWgFYHdxMvQunb4R1er9x98E4rvQxoKbSppP,321.4765
1689,1689,Okay Bear #3634,Grey,Sleeveless Tee,Defeated,Aviator Sunglasses,Coral,,Wry,12.61,2.86,5.26,4.09,0.72,26.98,9.22,1690,1.3896183318269585e-09,0.72,8.819999999999997,6,AbLKZenQkv3mSwtgNRadZXgoDCrtSXjEQ6ZJrBpAAzYv,318.35217
7,7,Okay Bear #9335,White,Vintage Shirt,Sarcastic,Pixel Glasses,Robot,Skate Cap,Cassette,12.65,2.75,9.65,3.2,0.52,5.510000000000002,0.25,8,7.694766794e-12,0.25,4.932857142857143,7,5LvxA3HTkHFJRPHjBtBW4sUGA9j55i8Ep4VPcL8WC7HL,317.79666
902,902,Okay Bear #2376,Blue,Sleeveless Tee,White Glow,Clear Glasses,Coral,,Proud,12.52,2.86,3.41,4.07,0.72,26.98,5.28,903,5.097151176434582e-10,0.72,7.977142857142858,6,5Vdibix5zyxG85XqXaXjUwTbdvojrobKCRizb7aPCQX4,316.29694
1562,1562,Okay Bear #6245,Yellow,Pullover Windbreaker,Happy,Clear Glasses,Coral,,Clean Smile,12.22,2.04,7.88,4.07,0.72,26.98,7.969999999999999,1563,1.2378122124923781e-09,0.72,8.84,6,FwjKgN8UEvqNQnAEpJcNntbWQnXisBgbJbTov811EvPB,315.113
1861,1861,Okay Bear #9997,Warm Grey,Utility Vest,White Glow,,Coral,Classic Cap,Pouting,12.27,1.97,3.41,66.72,0.72,3.37,12.31,1862,1.6426372071396814e-09,0.72,14.395714285714286,6,4WD3rMDkMomGxNmLg4PRwd44eQKydDKsH7TA9YPeGRpQ,314.49332
585,585,Okay Bear #1352,Purple,Vintage Windbreaker,Okay,Punk Sunglasses,Coral,Worn Out Beanie,Pouting,11.87,1.93,20.23,2.69,0.72,2.6,12.31,586,2.8728972133978334e-10,0.72,7.4785714285714295,7,GSFPm35EcNfhPAy42gRdfa6ZbUYa4ck5Kom2xqHU4N3D,314.40662
3952,3952,Okay Bear #7849,Warm Grey,Overalls,Okay,,Coral,Black Bucket Hat,Pouting,12.27,1.39,20.23,66.72,0.72,4.12,12.31,3953,8.406187036658216e-09,0.72,16.822857142857142,6,2p97wvFXJc4FTUSAFA8qZA8Sm8rcWaNNHCR1q6gezZ51,313.6587
1190,1190,Okay Bear #8254,Green,Utility Vest,Spirited,,Coral,Sweatband,Hmm,12.6,1.97,6.2,66.72,0.72,3.52,3.02,1191,7.85898755900375e-10,0.72,13.535714285714285,6,5Aa88LXurowutgvAU6fkiqe3WNGx2H5qidpKmVe2ifd6,313.15173
1696,1696,Okay Bear #1653,Yellow,,Interested,Aviator Sunglasses,Robot,,Ugh,12.22,19.65,6.710000000000001,4.09,0.52,26.98,1.51,1697,1.396052739065182e-09,0.52,10.24,5,GLqmhY5rNh98kNyT919UoudZXQMcnBPXGG6daTi8nLaj,313.1271
3853,3853,Okay Bear #3971,Blue,Autumn Sweater,Happy,,Coral,Black Bucket Hat,Okay,12.52,1.7500000000000002,7.88,66.72,0.72,4.12,23.05,3854,7.876354865999154e-09,0.72,16.68,6,EZ8FHVgNAjqsD3ypWbCkjddKsfvsfMs4f1YUbx1r6Zw8,313.10434
2163,2163,Okay Bear #9371,Green,Pullover Windbreaker,Sad,,Coral,Bandana,Clean Smile,12.6,2.04,5.07,66.72,0.72,4.24,7.969999999999999,2164,2.115540694980551e-09,0.72,14.194285714285712,6,8w2VFpZ7nsrpcZ6bLuf4ofABUfh6SZGR9YgAP4Mja6mx,312.47122
619,619,Okay Bear #4341,Purple,Hawaiian Shirt,Defeated,,Coral,Earrings,Wheat,11.87,1.78,5.26,66.72,0.72,2.66,2.17,620,3.0816716988859365e-10,0.72,13.025714285714288,6,3ofmNDUDuiFd6hdrpz93MSNV9Q24ncg8Se6KMo9uHufs,310.4681
3392,3392,Okay Bear #1963,Warm Grey,,White Glow,,Coral,Earrings,Proud,12.27,19.65,3.41,66.72,0.72,2.66,5.28,3393,5.547094820565129e-09,0.72,15.815714285714286,5,9Kf7BhKsDnzaLcfbjHejgNVYDHSL6eyN7CsfuSLMGSD,310.4328
465,465,Okay Bear #7165,Cream,Cord Tracksuit,Happy,,Robot,Mumford Hat,Raspberry,13.26,1.39,7.88,66.72,0.52,1.7500000000000002,2.53,466,2.231015013926899e-10,0.52,13.435714285714285,6,6yis7UEj43CdCR8taxWBuM9VrNFFouEwuEDkR8ddSuhU,308.34082
1699,1699,Okay Bear #9747,Grey,Sleeveless Tee,Tired,,Coral,Classic Cap,Proud,12.61,2.86,4.54,66.72,0.72,3.37,5.28,1700,1.3995529371994302e-09,0.72,13.72857142857143,6,3DWadqpBAo9286EPF1GggXoEjrjmhhqQ28m4yDnu3BcQ,307.4601
4220,4220,Okay Bear #3621,Blue,Torn Tee,Interested,,Robot,,Pouting,12.52,1.04,6.710000000000001,66.72,0.52,26.98,12.31,4221,1.0067452005471886e-08,0.52,18.114285714285714,5,HkRGV7J8MPCbqd18gxQKZrQcWzFXzg681kLZwg6Zprmi,306.87616
4824,4824,Okay Bear #723,Cream,Autumn Sweater,Okay,,Coral,Worn Out Cap,Okay,13.26,1.7500000000000002,20.23,66.72,0.72,2.79,23.05,4825,1.4502441510068806e-08,0.72,18.360000000000007,6,4v8Qwe3T6kg4u1KDThKH4bXk7mey8ZcHez6kb5DnN3S9,306.7926
18,18,Okay Bear #6275,Blue,Torn Tee,Defeated,Wayfarer Sunglasses,Coral,Flat Hat,Wheat,12.52,1.04,5.26,4.38,0.72,2.9000000000000004,2.17,19,1.3592137241539583e-11,0.72,4.141428571428572,7,4Uka75Ggcz2QG8UmahkK358YMvQAkHH814rDTMcoCNmR,304.2284
3448,3448,Okay Bear #7161,Grey,,Interested,,Robot,Black Bucket Hat,Ohh,12.61,19.65,6.710000000000001,66.72,0.52,4.12,2.43,3449,5.775146855816696e-09,0.52,16.10857142857143,5,88hX6WkC7ky2TgcTHFojFFdo3x8k94ExMX3gJMaH9ZDM,301.67886
1527,1527,Okay Bear #8622,Warm Grey,Olive Windbreaker,Annoyed,Snow Goggles,Coral,,Pouting,12.27,2.56,13.089999999999998,1.21,0.72,26.98,12.31,1528,1.189712541024671e-09,0.72,9.877142857142855,6,dynox1vKbBGwaQYuxY3NYgCmZyy2Qq3XP1PRP4rLhHT,301.52435
2244,2244,Okay Bear #913,Cream,Puffer Jacket,Interested,,Coral,Flat Hat,Clean Smile,13.26,2.27,6.710000000000001,66.72,0.72,2.9000000000000004,7.969999999999999,2245,2.2425222192184882e-09,0.72,14.364285714285714,6,ECfdRgJe88UDCYiwyA9J7bRk5RxrJi4rzLuT8FrCmRNx,301.36853
1716,1716,Okay Bear #3164,Cream,Sleeveless Tee,Annoyed,Aviator Sunglasses,Coral,Bandana,Okay,13.26,2.86,13.089999999999998,4.09,0.72,4.24,23.05,1717,1.4287024665402125e-09,0.72,8.758571428571429,7,7d8VzcEGzjW8BeJcQEqB8x4M4umU9zbWYau5Fy15o1fE,300.4851
3,3,Okay Bear #5106,Blue,Camel Coat,Sarcastic,Holographic,Robot,Surf Bucket Hat,Huh,12.52,1.16,9.65,1.71,0.52,1.3299999999999998,3.44,4,5.701631813160193e-12,0.52,4.332857142857144,7,EuUrqjH2eDW64FXXJk5V1ASVfStyWDEdFYnjSxPdWji,297.83932
247,247,Okay Bear #2461,Cream,Lumber Jacket,Spirited,,Robot,Worn Out Beanie,Toothpick,13.26,1.24,6.2,66.72,0.52,2.6,1.16,248,1.066713072050995e-10,0.52,13.1,6,JCA6kMkPsQ1mrLGWiqFPGfmWtwc1XxKY9ESU9VULDsys,297.61597
190,190,Okay Bear #8714,Green,Legacy Windbreaker,Interested,,Robot,Baker Boy Hat,Ahh,12.6,1.15,6.710000000000001,66.72,0.52,2.14,1.13,191,8.157226167522432e-11,0.52,12.995714285714286,6,GHcYLMSbRL4Gf3RrK2nCGgKBahf4MpFAJpDAxzeogJqS,296.4855
56,56,Okay Bear #2613,White,Torn Sleeveless Tee,Closed,Snow Goggles,Coral,,Toothpick,12.65,3.15,3.1,1.21,0.72,26.98,1.16,57,3.3680658540513596e-11,0.72,6.9957142857142856,6,APnbKaETYY3o6K9ZzjN9oBAbysz2SYEr1sK8bFf1tQ4J,296.0885
1425,1425,Okay Bear #7730,Blue,,Annoyed,Circle Sunglasses,Coral,Mumford Hat,Wry,12.52,19.65,13.089999999999998,2.82,0.72,1.7500000000000002,9.22,1426,1.0550112838051249e-09,0.72,8.538571428571428,6,CiBYTvPKbaoQqGp8PEEYhLm61Le4TAYdzdY3hPY8f4rG,296.0666
643,643,Okay Bear #6566,Blue,Scarf,Robot,,Robot,,Ohh,12.52,1.3,0.8699999999999999,66.72,0.52,26.98,2.43,644,3.2208799209637936e-10,0.52,15.905714285714286,5,5b2MGeo56gnnmtGPHnxcDUPneqFZQZYxPpgyTN9g4xZZ,295.37125
976,976,Okay Bear #992,Cream,Woven Sweater,Annoyed,Pixel Glasses,Coral,Backwards Flat Cap,Okay,13.26,2.08,13.089999999999998,3.2,0.72,3.03,23.05,977,5.809550598486836e-10,0.72,8.347142857142856,7,8ETzUKdWzsype1bjLkTBhGQXq1pLrrrhzQh5Uogwm1A5,295.1271
162,162,Okay Bear #3596,Grey,Cord Tracksuit,Defeated,,Robot,Army Hat,Worried,12.61,1.39,5.26,66.72,0.52,2.39,0.95,163,7.26267346622014e-11,0.52,12.834285714285715,6,4v5ipzXR3mctZAEDJLAzMXG1bbYhwBPPsN6MowMS3f2v,294.95996
3884,3884,Okay Bear #4218,Green,,Disappointed,,Robot,Black Bucket Hat,Ohh,12.6,19.65,9.4,66.72,0.52,4.12,2.43,3885,8.083953827515238e-09,0.52,16.491428571428575,5,B5ubKvrHrnCn1g9CoUBiXfT7qZcRwuGEi1jvdTye8Ppb,293.70752
692,692,Okay Bear #5744,Warm Grey,Summer Shirt,Tired,,Coral,Pom Pom Beanie,Beaming Smile,12.27,2.29,4.54,66.72,0.72,2.56,2.33,693,3.6552772068513546e-10,0.72,13.061428571428573,6,3bNvosd2pHho4K9AfHghivRGWA2My5KQZa65VmdZtx69,293.30554
5931,5931,Okay Bear #269,Warm Grey,Formal Vest,Sarcastic,,Coral,,Pouting,12.27,1.5699999999999998,9.65,66.72,0.72,26.98,12.31,5932,2.965924290281843e-08,0.72,18.602857142857143,5,EXeErYLCqCLmgQVgWF2CVwPeEKFpgATwGtQgZTAqTWSS,292.95712
1814,1814,Okay Bear #2344,Grey,Wool Overcoat,White Glow,,Robot,Pencil,Okay,12.61,1.2,3.41,66.72,0.52,3.790000000000001,23.05,1815,1.563940522451324e-09,0.52,15.9,6,8RqqYJTnvXJddETqhjFTfCpnHVbRSZRCA25nmpQcX9fV,292.87717
6080,6080,Okay Bear #6574,Cream,,Disappointed,,Coral,Sweatband,Clean Smile,13.26,19.65,9.4,66.72,0.72,3.52,7.969999999999999,6081,3.3008322309523286e-08,0.72,17.32,5,Fs5AUyXduypoB4H1rQBx2VJBE2uaUk5uja3FsPZ8ggcu,291.66095
7489,7489,Okay Bear #8652,Cream,Okay Tee,Happy,,Coral,,Okay,13.26,2.73,7.88,66.72,0.72,26.98,23.05,7490,8.521848276370826e-08,0.72,20.19142857142857,5,HiAY7G3Nr8SYxJMSer4nFPCgvpedB7xNFVoYR4y3YunN,291.56323
324,324,Okay Bear #9733,Yellow,Woven Sweater,Annoyed,Round Glasses,Coral,Okay Beanie,Proud,12.22,2.08,13.089999999999998,3.74,0.72,3.01,5.28,325,1.4238974234992064e-10,0.72,5.734285714285713,7,5AfVN9i98hKAt98vUE3qrnYgVNg5LhUBdkTsmg1ueTbc,290.47668
6338,6338,Okay Bear #1204,Grey,,Sarcastic,,Coral,Bandana,Clean Smile,12.61,19.65,9.65,66.72,0.72,4.24,7.969999999999999,6339,3.881661558920601e-08,0.72,17.365714285714287,5,J74343yNzFDa9k1E4XWxoKn1w9EPPRW6iXxsndkZVW6p,288.91025
688,688,Okay Bear #8302,Green,Double Jacket,Robot,,Robot,Black Bucket Hat,Wry,12.6,2.51,0.8699999999999999,66.72,0.52,4.12,9.22,689,3.6261940216907064e-10,0.52,13.794285714285715,6,ALhFdn11pWEgtTBww5BQQC1AvLJbwo7Ce28mDY9PSxWr,288.62546
4389,4389,Okay Bear #6615,Purple,Woven Sweater,Sarcastic,,Coral,Bandana,Okay,11.87,2.08,9.65,66.72,0.72,4.24,23.05,4390,1.118579066806137e-08,0.72,16.904285714285713,6,Dm2fSDAW3Cxb424eUSr1aCoCy87Qd2RT3SiaePw1aKee,288.32358
305,305,Okay Bear #2796,Yellow,Puffer Jacket,Happy,Punk Sunglasses,Coral,Runner Cap,Wry,12.22,2.27,7.88,2.69,0.72,3.39,9.22,306,1.3232401695818023e-10,0.72,5.484285714285713,7,BUnaM1r2o7gdFUQaXXzDnwJtiHZRvscT2xBEKEtQE1fN,288.17535
129,129,Okay Bear #8983,Yellow,Sleeveless Tee,Closed,,Robot,Backwards Skate Cap,Asparagus,12.22,2.86,3.1,66.72,0.52,2.12,0.76,130,6.056305403150745e-11,0.52,12.614285714285714,6,Aw7mJj1JADyDgkKHvJhEYH8RYk9o1DHq6C8ecfvopNDG,287.6643
