,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Clothes_rarity,Eyes_rarity,Eyewear_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
0,Okay Bear #3340,White,Hawaiian Shirt,Interested,Holographic,Coral,Mumford Hat,Yoyo,12.65,1.78,6.710000000000001,1.71,0.72,1.7500000000000002,0.48,1,1.5625752490656002e-12,0.48,3.6857142857142864,7
1,Okay Bear #8003,Blue,Camel Coat,Wide Eyed,Mechanical Goggles,Panda,Chullo,Gah,12.520000000000001,1.16,2.6,0.51,3.9,0.7799999999999999,4.26,2,2.49559812687744e-12,0.51,3.6757142857142857,7
2,Okay Bear #845,Purple,Tech Jacket,White Glow,Flying Goggles,Red Panda,Baker Boy Hat,Ahh,11.87,1.04,3.4099999999999997,1.83,2.76,2.1399999999999997,1.13,3,5.14151166985822e-12,1.04,3.454285714285714,7
3,Okay Bear #5106,Blue,Camel Coat,Sarcastic,Holographic,Robot,Surf Bucket Hat,Huh,12.520000000000001,1.16,9.65,1.71,0.52,1.3299999999999998,3.44,4,5.701631813160192e-12,0.52,4.332857142857144,7
4,Okay Bear #9886,Cream,Wool Overcoat,Interested,Clear Glasses,Robot,Skate Cap,Earphones,13.26,1.2,6.710000000000001,4.07,0.52,5.510000000000001,0.49,5,6.100883360443873e-12,0.49,4.5371428571428565,7
5,Okay Bear #1874,White,Tweed Suit,Sad,Holographic,Blueprint,Surf Bucket Hat,Huh,12.65,0.88,5.07,1.71,1.58,1.3299999999999998,3.44,6,6.976609867491265e-12,0.88,3.8085714285714287,7
6,Okay Bear #7455,Purple,Legacy Windbreaker,Closed,Barrel Sunglasses,Coral,Worn Out Cap,Gah,11.87,1.15,3.1,2.11,0.72,2.79,4.26,7,7.64080308223704e-12,0.72,3.7142857142857144,7
7,Okay Bear #9335,White,Vintage Shirt,Sarcastic,Pixel Glasses,Robot,Skate Cap,Cassette,12.65,2.75,9.65,3.2,0.52,5.510000000000001,0.25,8,7.694766794e-12,0.25,4.932857142857143,7
8,Okay Bear #6555,Grey,Tech Jacket,Golden Glow,Clear Glasses,Pink,Runner Cap,Gaiter,12.61,1.04,1.9900000000000002,4.07,4.26,3.39,0.5700000000000001,9,8.743394306425521e-12,0.5700000000000001,3.9899999999999998,7
9,Okay Bear #3357,Yellow,Pullover Windbreaker,Sad,Punk Sunglasses,Lofi,Flat Hat,Yoyo,12.22,2.04,5.07,2.69,1.96,2.9000000000000004,0.48,10,9.275918395580927e-12,0.48,3.9085714285714284,7
10,Okay Bear #4886,Purple,Scarf,Sarcastic,Flying Goggles,Green,Chullo,Drool,11.87,1.3,9.65,1.83,4.5600000000000005,0.7799999999999999,0.97,11,9.401640788844721e-12,0.7799999999999999,4.422857142857143,7
11,Okay Bear #1557,Purple,Overalls,Spirited,Flying Goggles,Blueprint,Surf Bucket Hat,Raspberry,11.87,1.39,6.2,1.83,1.58,1.3299999999999998,2.53,12,9.952622862381277e-12,1.3299999999999998,3.818571428571428,7
12,Okay Bear #458,Purple,Polo with Headphones,Spirited,Holographic,Green,Head Cam,Forced Smile,11.87,1.1400000000000001,6.2,1.71,4.5600000000000005,1.46,1.16,13,1.1079471836203774e-11,1.1400000000000001,4.014285714285714,7
13,Okay Bear #4387,Cream,Camel Coat,White Glow,Punk Sunglasses,Pink,Ear Tag,Yum,13.26,1.16,3.4099999999999997,2.69,4.26,1.91,0.98,14,1.125063963883379e-11,0.98,3.9528571428571433,7
14,Okay Bear #4557,Warm Grey,Camel Coat,Golden Glow,Round Glasses,Pink,Book,Hmm,12.27,1.16,1.9900000000000002,3.74,4.26,0.86,3.02,15,1.172039433541511e-11,0.86,3.8999999999999995,7
15,Okay Bear #6181,Blue,Silk Robe,Golden Glow,Punk Sunglasses,Sun,Bandana,Oou,12.520000000000001,0.6,1.9900000000000002,2.69,2.59,4.24,2.71,16,1.1967290879702592e-11,0.6,3.905714285714286,7
16,Okay Bear #4859,Blue,Olive Windbreaker,Tired,Barrel Sunglasses,Albino,Pencil,Cassette,12.520000000000001,2.56,4.54,2.11,4.5600000000000005,3.7900000000000005,0.25,17,1.3265592847687683e-11,0.25,4.332857142857144,7
17,Okay Bear #4493,Green,Vintage Windbreaker,Spirited,Barrel Sunglasses,Coral,Baker Boy Hat,Oou,12.6,1.9300000000000002,6.2,2.11,0.72,2.1399999999999997,2.71,18,1.3283654140471678e-11,0.72,4.058571428571428,7
18,Okay Bear #6275,Blue,Torn Tee,Defeated,Wayfarer Sunglasses,Coral,Flat Hat,Wheat,12.520000000000001,1.04,5.26,4.38,0.72,2.9000000000000004,2.17,19,1.3592137241539582e-11,0.72,4.1414285714285715,7
19,Okay Bear #9917,Green,Overalls,Disappointed,Mechanical Goggles,Panda,Pencil,Ahh,12.6,1.39,9.4,0.51,3.9,3.7900000000000005,1.13,20,1.4023797613534803e-11,0.51,4.674285714285714,7
20,Okay Bear #7488,Green,Scarf,Tired,Barrel Sunglasses,Andean,Sticky Note,Ahh,12.6,1.3,4.54,2.11,3.7699999999999996,2.3,1.13,21,1.5374458738875598e-11,1.13,3.9642857142857144,7
