,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
794,16.272032,16.89,Primate #5074,7068,6,https://bafybeicgeewpvjmt6r4q7x7gqkrvw6or4meoktfi3jzyykkf3ulbd5eecq.ipfs.nftstorage.link/5073.png?ext=png,-0.6179680000000012
43,15.43705,16.7,Primate #9804,2803,6,https://bafybeiernkt3lfoq6wayhyhvjrtib2fy4pgncl55hmjwp4ubv77orh6yyy.ipfs.nftstorage.link/9803.png?ext=png,-1.26295
5,14.300339,16.0,Primate #9331,9614,5,https://bafybeiemb33dswohevm2wdm4mf364l57zqc4el5srjiq36gumckbdwqpzi.ipfs.nftstorage.link/9330.png?ext=png,-1.6996610000000008
1159,20.057486,22.0,Primate #195,846,6,https://bafybeihqra3rfbespl36i24wzj2vl4v2z2owmt3szxporjttqt7f7demxa.ipfs.nftstorage.link/194.png?ext=png,-1.9425139999999992
721,14.441594,16.39,Primate #3513,6197,6,https://bafybeidxnsajjedhgintoimodv5tsjbxvgh3hgm37c7okixyghly2memim.ipfs.nftstorage.link/3512.png?ext=png,-1.9484060000000003
118,17.497484,19.5,Primate #5468,1158,6,https://bafybeifh42u7g265j2mtjogembt6lprtupqexls3ihrxmrnmp2ursggp7m.ipfs.nftstorage.link/5467.png?ext=png,-2.002516
33,13.977895,16.0,Primate #2555,9002,5,https://bafybeie2ow6x63y7q5b6skiab7y6jk6e5oqtsbpd6hjwvjc4owkeeamm3a.ipfs.nftstorage.link/2554.png?ext=png,-2.022105
32,14.042714,16.1,Primate #2451,9839,5,https://bafybeicxcvwmbqe7mw63megv3chbye4vmcelgulnsfjssa53nttj5buu6a.ipfs.nftstorage.link/2450.png?ext=png,-2.0572860000000013
37,14.91327,17.0,Primate #1306,3082,6,https://bafybeifsg2o7izcnn5s565np23wttmj32jtxxk6dx2neoolxcwwipacskm.ipfs.nftstorage.link/1305.png?ext=png,-2.0867299999999993
308,14.778778,16.9,Primate #9209,8202,5,https://bafybeifvpns22rq7nigmz3avch3juk64hf4b3qpygshai4i4vtrswk6f6e.ipfs.nftstorage.link/9208.png?ext=png,-2.1212219999999977
209,14.654627,16.8,Primate #4406,6386,6,https://bafybeidlnkanqgdddjnhpa4s2rsowqac66xgkdpgah7nvlkqq5kevcbuf4.ipfs.nftstorage.link/4405.png?ext=png,-2.145373000000001
16,13.8431835,16.0,Primate #8921,6819,6,https://bafybeiggtmbjmbtgmtfioglgjlnljedbu6iu65tb7jtc5bh5i3x3ivipye.ipfs.nftstorage.link/8920.png?ext=png,-2.1568164999999997
38,16.794886,19.0,Primate #5725,1559,6,https://bafybeif5t3xikaokq2pkojqgfh6l4bagdpib5cprwqllg762rxb7crr7lm.ipfs.nftstorage.link/5724.png?ext=png,-2.2051139999999982
611,14.079327,16.3,Primate #2937,9168,5,https://bafybeigzhpvnx6re23d7dikpdtpyc3yxj7jewnflkhmn3vehcayzvmm5we.ipfs.nftstorage.link/2936.png?ext=png,-2.2206730000000015
153,16.767155,19.0,Primate #1609,1598,6,https://bafybeieodbezrvw4bdltsg5at7ugyixtl3gcdwesgjsligii2j7hw7g3fu.ipfs.nftstorage.link/1608.png?ext=png,-2.232845000000001
761,16.701551,19.0,Primate #6138,2217,6,https://bafybeiboz2uyldkksjntvxdpdilwa4mkvwytmobpc2s5gzelmfdtww7eai.ipfs.nftstorage.link/6137.png?ext=png,-2.2984490000000015
15,13.736745,16.1,Primate #9997,5623,6,https://bafybeigayqefqfmfrobjeigipsasb27ynvhhd3x55s5earipq5zf2k2l24.ipfs.nftstorage.link/9996.png?ext=png,-2.3632550000000005
572,15.061613,17.5,Primate #3630,2166,6,https://bafybeicklyglyroyik3sizjwxv3sadsedv6fth7qtdwi424fxgcramoc5a.ipfs.nftstorage.link/3629.png?ext=png,-2.4383870000000005
1,13.254929,15.7,Primate #9925,8917,5,https://bafybeiba4o7j36letvviicct3orfvsfs46kf7cn4quk2afrkvbe2c2nkni.ipfs.nftstorage.link/9924.png?ext=png,-2.4450709999999987
18,13.599152,16.05,Primate #2653,4712,6,https://bafybeid54g65l5e47wqycolxghxfzfvjbqkjkkinhurjigpvorxvk6bjpu.ipfs.nftstorage.link/2652.png?ext=png,-2.4508480000000006
11,13.544464,16.0,Primate #3660,6126,6,https://bafybeihchyz6p4fzldsc5yoblen2wxsze3w4376haoke24drmdrcsjxzau.ipfs.nftstorage.link/3659.png?ext=png,-2.4555360000000004
322,15.496103,17.99,Primate #2775,2444,6,https://bafybeiefqp2ymzc5ppzuk2dinpa6x3ynr6vonbykoh2pg2zjujr4tkia6a.ipfs.nftstorage.link/2774.png?ext=png,-2.4938969999999987
770,16.47577,18.99,Primate #4988,2804,6,https://bafybeihecp3xadm5gglludab7preiihh2tihatrt5qt5swk4q2i42lr7ry.ipfs.nftstorage.link/4987.png?ext=png,-2.5142299999999977
424,14.456594,17.0,Primate #8239,6594,6,https://bafybeicyt5eb7byvqcw5pxvdnx4ah74dpwvfqryoommifhpschpnuzmtai.ipfs.nftstorage.link/8238.png?ext=png,-2.543405999999999
867,18.447401,21.0,Primate #2658,2061,5,https://bafybeid54g65l5e47wqycolxghxfzfvjbqkjkkinhurjigpvorxvk6bjpu.ipfs.nftstorage.link/2657.png?ext=png,-2.5525990000000007
338,14.280116,17.0,Primate #9886,7442,6,https://bafybeibnoiwf37xftrnfypjjvv6x7niwsbmp4k7mmbcdijx7xvvagaojji.ipfs.nftstorage.link/9885.png?ext=png,-2.7198840000000004
4,14.275164,17.0,Primate #9509,8542,5,https://bafybeihjf7fq3muaxrazn434xaqyetefr7cupfndwvxcenrh2mhlkhxwxe.ipfs.nftstorage.link/9508.png?ext=png,-2.724836
758,14.27306,17.0,Primate #7225,9175,5,https://bafybeifmtkq6lysbasydhb3kz34hhplip3x3x2etf4itr6qvzg55v5toxq.ipfs.nftstorage.link/7224.png?ext=png,-2.726940000000001
717,14.253387,17.0,Primate #3495,4839,6,https://bafybeialqtx4mmua4q6kw4yqotyocnhy3knmtuz5onwkz2z77w6ml3gfda.ipfs.nftstorage.link/3494.png?ext=png,-2.746613
243,14.774905,17.6,Primate #9392,6686,6,https://bafybeieyyr27q3dkjpwqz26h3zjm75luqzyzalemhst4l4sghoryx4n4gq.ipfs.nftstorage.link/9391.png?ext=png,-2.825095000000001
553,16.152876,19.0,Primate #405,2589,6,https://bafybeigx2gh5vjmqg4rp323c4xmt6mh65stdfppkstqmoj6bjqslcjouca.ipfs.nftstorage.link/404.png?ext=png,-2.847124000000001
1280,15.132343,18.0,Primate #8477,7278,6,https://bafybeieoau6f5lv7l2rimvxo7m7prpdanvxuqcb7hocmrsv2c7gp2t6qhe.ipfs.nftstorage.link/8476.png?ext=png,-2.8676569999999995
425,14.093378,17.0,Primate #6491,7558,6,https://bafybeifqb4g2hvufi6p7eccw6rsihfmlws4othkacmimeizglum22gi2su.ipfs.nftstorage.link/6490.png?ext=png,-2.9066220000000005
126,17.08893,20.0,Primate #2026,1345,6,https://bafybeia2j7rfjkwzytpurnf3bh2x6qjnrhnw35fjzpv5g54imw74em7v7y.ipfs.nftstorage.link/2025.png?ext=png,-2.9110699999999987
568,14.95089,17.9,Primate #6591,4623,6,https://bafybeidyie3ghfslqmoxdunc2ft42yzzemowgc2zjjtrlafwymuam4zewm.ipfs.nftstorage.link/6590.png?ext=png,-2.9491099999999992
274,14.99487,18.0,Primate #9958,7194,6,https://bafybeib2s4vefgyc5kl6rnndieffsnri2ge3uhmim6cjrwcfpaiefmfjum.ipfs.nftstorage.link/9957.png?ext=png,-3.0051299999999994
314,14.994171,18.0,Primate #3482,7671,6,https://bafybeialqtx4mmua4q6kw4yqotyocnhy3knmtuz5onwkz2z77w6ml3gfda.ipfs.nftstorage.link/3481.png?ext=png,-3.0058290000000003
1116,13.948284,17.0,Primate #1605,4825,6,https://bafybeieodbezrvw4bdltsg5at7ugyixtl3gcdwesgjsligii2j7hw7g3fu.ipfs.nftstorage.link/1604.png?ext=png,-3.0517160000000008
1169,14.067563,17.17,Primate #8451,7488,6,https://bafybeifos3ii5l2pzxa7j7fhgrivgo7yow4ehaidmaaltw4xc2ngj2azrm.ipfs.nftstorage.link/8450.png?ext=png,-3.102437000000002
452,13.882535,17.0,Primate #80,6680,6,https://bafybeieajypeld6rxmge5k7s56dlonwb6r33tju27buziytbwqpyttanau.ipfs.nftstorage.link/79.png?ext=png,-3.1174649999999993
557,13.750132,16.9,Primate #1094,8548,5,https://bafybeig2j6neprloktihb2cjqih3i2fzx6sj66ia6exto6cmwjltebawdm.ipfs.nftstorage.link/1093.png?ext=png,-3.149867999999998
546,13.295047,16.5,Primate #117,7365,6,https://bafybeiaraa2sejepz4lmv4wna6yxicy3p74waxizkyoboz3bkvrt3ldqum.ipfs.nftstorage.link/116.png?ext=png,-3.2049529999999997
361,13.729712,17.0,Primate #453,7654,6,https://bafybeidguqdkeslny5mtl5nprddan6c4x3lsqvtblxotqd73itw525pusy.ipfs.nftstorage.link/452.png?ext=png,-3.2702880000000007
847,15.5908985,18.89,Primate #320,7762,6,https://bafybeihcvhsleb7x745fqkkwp2maifmzde73decrdkdtb7z6fj3d4sluz4.ipfs.nftstorage.link/319.png?ext=png,-3.299101500000001
22,13.601799,16.95,Primate #461,9040,5,https://bafybeidguqdkeslny5mtl5nprddan6c4x3lsqvtblxotqd73itw525pusy.ipfs.nftstorage.link/460.png?ext=png,-3.3482009999999995
658,13.649636,17.01,Primate #1050,9320,5,https://bafybeig3bkguzkyuya7yd3kt5iyuemod6so7bftauucddlxpuhkaouua4y.ipfs.nftstorage.link/1049.png?ext=png,-3.3603640000000023
413,13.602087,17.0,Primate #1754,7391,6,https://bafybeibs2mwvmnsatxabdtydkge5fdi72k7gplvkmacdfwcrc3gcasq3ra.ipfs.nftstorage.link/1753.png?ext=png,-3.397913000000001
543,13.490092,16.9,Primate #6368,7512,6,https://bafybeigle35mi6hjogyfp7uagu2rjiy6qtkaf7gxutikwh2hg7m3ndep6y.ipfs.nftstorage.link/6367.png?ext=png,-3.409907999999998
588,14.580427,18.0,Primate #3173,3413,6,https://bafybeicuwwe4m37pbm22iamc76hom74up6m5l6lslfkiqnaeonvvi52ds4.ipfs.nftstorage.link/3172.png?ext=png,-3.4195729999999998
631,13.032334,16.48,Primate #2210,7693,6,https://bafybeigsrun3cemxgzzivlq64m745cvwnjsmjhtddv7vqoybsawwf2r3w4.ipfs.nftstorage.link/2209.png?ext=png,-3.447666
1265,13.546452,17.0,Primate #4135,4826,6,https://bafybeifnkyt2ifebvahy7glm3nviqywmeoglsurxvkqctsb5ti7k44oujq.ipfs.nftstorage.link/4134.png?ext=png,-3.4535479999999996
921,14.028426,17.5,Primate #3600,5621,6,https://bafybeidoc77j4wfuxmi7wd7jplixtgrha3whz5qne2u3va6rw4z3gi6ena.ipfs.nftstorage.link/3599.png?ext=png,-3.4715740000000004
871,14.521246,18.0,Primate #3306,5790,5,https://bafybeieuomhimgf6q4d6qtlp3mt4lt3bguuqomsodl2tnne2lldr2pfmjm.ipfs.nftstorage.link/3305.png?ext=png,-3.4787540000000003
538,14.456282,18.0,Primate #9916,8740,5,https://bafybeiba4o7j36letvviicct3orfvsfs46kf7cn4quk2afrkvbe2c2nkni.ipfs.nftstorage.link/9915.png?ext=png,-3.543718
27,13.441053,17.0,Primate #7126,8997,5,https://bafybeiaq7l4dxih2vexc44u7cpcnduyid52jrkhrbdverltd75x4ivxoza.ipfs.nftstorage.link/7125.png?ext=png,-3.558947
1058,13.329637,16.9,Primate #4756,5479,6,https://bafybeifn4i43ckfysooegjyd5dxbtsp3yia4chmfhw2wzfyikq33z465d4.ipfs.nftstorage.link/4755.png?ext=png,-3.5703629999999986
200,18.422005,22.0,Primate #1322,803,6,https://bafybeif6gnwmrvcsrmehlpv3d4zkpr25nokxxwxiaj3uw2z25wpmfq2ymq.ipfs.nftstorage.link/1321.png?ext=png,-3.5779950000000014
519,13.6514635,17.23,Primate #2098,5727,6,https://bafybeicfkjavueijvtznduaozwja3s523fcw2cqc7hdcdn72t2bawtgkn4.ipfs.nftstorage.link/2097.png?ext=png,-3.5785365000000002
1082,13.387906,17.0,Primate #8937,5818,6,https://bafybeiggtmbjmbtgmtfioglgjlnljedbu6iu65tb7jtc5bh5i3x3ivipye.ipfs.nftstorage.link/8936.png?ext=png,-3.612094000000001
429,13.868529,17.5,Primate #271,6641,6,https://bafybeid5ewmbmosqqajliy5l56wkc7necwres3x3y4mwmoi2rxec3vk57a.ipfs.nftstorage.link/270.png?ext=png,-3.6314709999999994
987,13.357897,17.0,Primate #2304,9749,5,https://bafybeifgwwtkvs6mzemt23rqo6vkkr4zbas657p4ofnhat55uqlbdzzpea.ipfs.nftstorage.link/2303.png?ext=png,-3.6421030000000005
230,18.319778,22.0,Primate #6798,1048,6,https://bafybeifxjcz5n6ybljqx7y6ea2om44afeu3iskzyvuxd7nuqv62ag75nsm.ipfs.nftstorage.link/6797.png?ext=png,-3.6802220000000005
115,14.287323,18.0,Primate #6497,8875,5,https://bafybeifqb4g2hvufi6p7eccw6rsihfmlws4othkacmimeizglum22gi2su.ipfs.nftstorage.link/6496.png?ext=png,-3.7126769999999993
541,13.285598,17.0,Primate #8502,7473,6,https://bafybeia3nzpfa5ck3ahyt6pegrywr2q5oo4vgy2c3yrsnq23qn6f7ttnrm.ipfs.nftstorage.link/8501.png?ext=png,-3.7144019999999998
931,16.270472,20.0,Primate #2409,2222,6,https://bafybeia52cbsr7rx6fyiqydga2wi522jn6l7pqhhxf4ah5rd7qjfro5hau.ipfs.nftstorage.link/2408.png?ext=png,-3.7295279999999984
