,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.howrare.rank,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.created,rarity.moonrank.crawl.updated,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img
0,AFoyKdndjWMW1vWZ3DpBuyiQ95B4d64L7t2zsQ13bnPq,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,Lc7Hg1662TiHyARfV8f3PqSnhh5Yw6s1L9yZwiZceRg,JCzfvVd3jM1DRMM71qdhTZu1ZuN7rZvqnPLK4bgEjj9Y,BEf1aAQUfUhUSf3fWnFJhSJGP7432JZ8JnYWJdohhqZc,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,27.0,-1,4655.0,2993,3.924725067457919e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeich7lusif4av7kdlp7xbg3uojjaapjzns2cv2uddkwrg7mgctuto4.ipfs.nftstorage.link/7384.png?ext=png
1,3HUBcmVmpFSQbVLFRb5PB9ekLmdBtvawxst9TXebo3K1,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3ZzmhC8EJGNPWeQQsLEDVTFuuCbqGgPfHyMQRm8woHbN,HYVRexXJasSF3K19s4BKmfrTE8m5DqjUcNME6BTRUnqc,H3wjH2TBSeftAP6QBHq4TC7sDaKxA1aMyYdWbcDJBHJM,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,22.0,-1,,2257,3.1480573183415993e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeigjpvk5tp7eg7rwvtcy4gyfx2luzzkicqrpwtbcdmkgop7sae5heu.ipfs.nftstorage.link/1056.png?ext=png
2,EodiwHGJWJpg88xYfrPbTfYD62PPzbbwuADr2En6orJ8,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,GGm1a9QRyRXJw8N2ZedxC4odZNu37ev7RBZ2EbPSwhm1,7tcgPuvjE7vE1iBzR6ZNjuViUacsFuPLT89dNzRCpR4Y,5LrKL84rpTkNvtPSGB5jcghQbuG9RLUExrDfXXcwZAmA,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,28.0,-1,,4469,5.822999126778241e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeibslbk32bsvybxblvz73vgpricwayc7uiph5iwen6rtv3i3dqktzm.ipfs.nftstorage.link/6479.png?ext=png
3,Ca7ft5J2XfacK8zffWpbcEZ6NPey8wwLdvYnKfNU99DR,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3gs8Xc8ytM396F2XGcgveQAcsqfqFmbKEdxd1QQP2BFx,5mdUh3NfmZDSFkK5ePc1PWDSJqW5pfLpS1MFjtMddGVQ,6bRrDhdLszgcoDpJRLR1nRL1VLGgnX5awA8koA5rS7xL,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,420.0,-1,,5808,8.611254375277014e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeienvkwuj5rezppzpzmoewhe4ih47gagfxpgw6xgt7werhwsaigcm4.ipfs.nftstorage.link/9456.png?ext=png
4,3opFKbawRUMCAYxMQpKc5gqqzjAU3sHqfunJXbcxfFNx,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BjNZbBYaiw79ik2NcCxNAdDD7KpHsmXibbCHeccyX3Ee,3DuMqLKXsq17ms3rTEctgJdkqXX2okyp4tvZeq3xX6Z4,EGVag1G1D7zDpsHt78nBLDQAYUwFDny8oDFyRdF5gXMV,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,880.0,5673,8.29090885895811e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiapjlcsldrgmruylsfvi3nnbriud427chcx2di6hlisjiz36dyhhy.ipfs.nftstorage.link/4820.png?ext=png
5,ENhvCTCXiKZ2otvNPE2gayygzHLTGn6VqLPeyjUrVNT3,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,2hwQBE45LCjzqF9ZKEzjaHiNWSCidPkVw4QXc6hGAZMi,HnVk5rJ6pxbH5U4qKxv5cK75M3fFdbag5EVeE8YYB3VH,2fz8A3LaBSzw7gQP9DKibehW9GqBdDvyokaJ5yCwYAna,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,17.77,-1,,8854,4.452036698962475e-08,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeidwrm34rjffvhlp6c6oblbbpnbhxbezebire3xk5fwrdmhvryvdte.ipfs.nftstorage.link/5825.png?ext=png
6,EC2FaZt9zPiMLhCjUQYxSrNppdpATNtJ57kVhs94vdFL,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,2xHksesEdjuy6enYuRkKqCNJ6qSDwyePMRbjD3r4LTYH,DQDQwNizRJjVYCtKEiytMK2ecsiHc99geXE7qyAMYhAA,9giTTqWi1NTvEtpoQga2aYPLbAwqorGHx8Sx6tRK24j1,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,28.0,-1,1440.0,349,1.2459410016768e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeicrm2qkeapfzr5jwggsywekexcitald6ubcjwd6ssfgcossjxudca.ipfs.nftstorage.link/5854.png?ext=png
7,DtcRbyi8XBUUKyrtSYDCon95AA129pvUQUPH3XbXcz4M,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,7ND5pwV1PQJErMFUmQok8QBqdnyEijFUHW9x5MYVKxiV,Bhp1UJLvbgjDgY7UQSro5eRZ8jVPLQWiyRS3jHtiT9ps,CEfa1qmsteRDAAmRXYFyyRBr8dYTChq3mY9QQpVgDNDp,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,26.0,-1,1341.0,585,1.5371699971415043e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeib6c5vjxpukf5hdqt34pqviov57xvkifiiybj4kmjey2dwfzz6yfe.ipfs.nftstorage.link/6849.png?ext=png
8,HT5KWiBbtnsM9kttjMHoq3jCsh3qhoezxD4THa7gRRoW,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,2Qs3fdHpq7HhkjyWv9QUpyqnfTbp5Hqzffx4Ud8WqFZF,F1S9kuPSszcUB4Txk8aLs19DtnbD6MhbYv1Lw9VcNTdn,GnB7GQWomtyUjdtTsimZa6SFfsYMysEZWa6vvU4d3Axm,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,17.9,-1,8138.0,5781,8.544850211393412e-09,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeichhoe662huqeokfwthehzowjyxtcybcmwgda562fc3nbp63erzlu.ipfs.nftstorage.link/5803.png?ext=png
9,3YmambVWqa9Y1h1RwFE3LUqnt2DZL2ZRHbQbNgxEHeNk,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8LBVQHXJZ5EsCXWgeWsHzy4hfiSHKzNSsK7kcSEGZ3Do,3PWsMqhDEcnhXBqAFJU9dCfoEyqnj53RUtrg1XyArJkt,3qq4h32YqMahNbuJmCemFAAqHgmEYUBLAsdBDsKbX9XK,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,19.95,-1,9438.0,8856,4.4556401774115e-08,primates,2022-06-14T19:59:44.000387Z,2022-06-14T20:57:52.298785Z,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeif3bhfb7mwmbkmhvg57f2pwjoslkiy2fa74xe6qgr2cunem6bsep4.ipfs.nftstorage.link/438.png?ext=png
