,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
0,0,Primate #1997,Blue,Naked,Hazard Suit,Wide Eyed,Ventilation Mask,Content,10.37,19.21,0.01,4.7,0.01,18.05,1,1.6899785229500005e-12,0.01,8.725,6,5ZmMDaqNUCgHi2aRQdki5xnf8jFyadkVow7RibfhvgiU,115.943596
2,2,Primate #7631,Yellow,Test Dummy,Space Suit,Eyeball,Beanie,Banana,9.83,4.17,0.51,2.85,1.87,2.82,3,3.141921454065901e-10,0.51,3.675,6,2JzEo7NZTrM52b5AT4fTupUp1ZckBWCFuaWPDi9aS2Lm,63.004673
1,1,Primate #1154,Lilac,Scarred,Winter Jacket,Eye Patch,Birdman,Banana,10.0,9.13,0.8200000000000001,3.02,0.42,2.82,2,2.6778729700799997e-10,0.42,4.368333333333333,6,D1c78VYbE7d8JAvBzqtBCG3smwdTDnmbzwq46Kbf79T1,58.739296
18,18,Primate #6788,Orange,Test Dummy,Space Suit,Undercover Glasses,Devil Horns,Sassy,9.85,4.17,0.51,2.73,1.36,5.86,19,4.5576569479896e-10,0.51,4.079999999999999,6,CEK8jnFN9XXzpB5DpuvDxVs1kLWLgZjDp1zmHYMHV1yR,57.27807
30,30,Primate #5188,Green,Caution Tape,Space Suit,Meth Scientist,Tactical Helmet,Amused,9.64,8.89,0.51,1.83,0.91,7.07,31,5.145894365681161e-10,0.51,4.808333333333334,6,DKJz3wJ4RtR863BorH9uVv9TxHM3zXvpXBWMR8SEV2Ac,56.163155
57,57,Primate #2977,Blue,Caution Tape,Space Suit,Aviator Goggles,Cowboy Hat,Vampire,10.37,8.89,0.51,1.97,1.67,4.18,58,6.465612497296259e-10,0.51,4.598333333333334,6,Ef4Hrt8pHXU8wsLsf6fvh5YceFRkEZdMTe2NXKkKQpZs,55.376797
16,16,Primate #2792,Pink,Glitch,Space Suit,Bandages,Headshot,Skelly,9.83,6.45,0.51,3.01,1.13,4.05,17,4.4543400735802494e-10,0.51,4.163333333333333,6,HzDzGB7Pmu6ddRru5AzBKq6mMKMaqDMKJaG2oWJpsFBm,53.65461
4,4,Primate #628,Orange,Test Dummy,Alchemist Jacket,Meth Scientist,Skate Helmet,Bubble Gum,9.85,4.17,0.98,1.83,1.0,4.8,5,3.5358243984000005e-10,0.98,3.771666666666667,6,9XmUTtXjcmEHbZPWKrzTW6u2qxLg4VqezF2DQ4iZ35jM,53.305225
83,83,Primate #630,Blue,Tribesman,Space Suit,Superstar Glasses,Red Fedora,Cigarette,10.37,6.68,0.51,1.88,2.11,5.09,84,7.133184904981921e-10,0.51,4.44,6,4RRqS3mDH9NKJo1nchoSa9vF4EMfGsCBEe5ub1YeHsmv,52.231377
59,59,Primate #1998,Purple,Scarred,Space Suit,Monocle,Bag Mask,Dumbfounded,9.66,9.13,0.51,2.8000000000000003,0.58,9.1,60,6.647303334672e-10,0.51,5.296666666666667,6,2X3K5JrZUVH9YW1srZ3JaecWaB17dDDQ8npeAJHjvcTA,51.827274
257,257,Primate #5256,Red,Glitch,Space Suit,Enucleated,Reggae Braids,Bubble Gum,10.48,6.45,0.51,3.87,1.72,4.8,258,1.1014678432512003e-09,0.51,4.638333333333333,6,HcRpUZj5gpwvtoN8K3maPXh5Zzwz1bqAk3XhDKv9piUg,51.098907
13,13,Primate #9334,Green,Stone,Space Suit,Slashed,Unkept Hair,Cigarette,9.64,7.79,0.51,3.19,0.69,5.09,14,4.2908390442284383e-10,0.51,4.485,6,9qN9cEixiyxMUrtpUGrmwmtsA4HqKMoSpUPXnhboSJi9,50.881397
75,75,Primate #2885,Orange,Tiger,Space Suit,Thinking,Bucket Hat,Jngl Grill,9.85,6.63,0.51,4.32,1.04,4.66,76,6.973052544806401e-10,0.51,4.501666666666666,6,2uhr5VYVBNkM3mswmwUE37a8xwoQGigv66nKPCBMCYzm,50.854836
8,8,Primate #6957,Lilac,Test Dummy,Mob Boss Jacket,Slashed,Spartan Helmet,Banana,10.0,4.17,1.02,3.19,1.05,2.82,9,4.0175872506e-10,1.02,3.7083333333333335,6,7DbpdbxxUKNHLKTcgembpbAPy2EWGKzffbG9vvaD5bCA,47.69724
110,110,Primate #7124,Lilac,Stone,Space Suit,Questionable,Brains,Banana,10.0,7.79,0.51,3.75,1.92,2.82,111,8.066576160000002e-10,0.51,4.465,6,7oNDF3uBwSc3T9c5v47QzQXkZo2oczxkNVAo1F1KGX3g,47.531162
741,741,Primate #7004,Blue,Naked,Space Suit,Bandages,Spray Paint,Content,10.37,19.21,0.51,3.01,0.31,18.05,742,1.711124828680785e-09,0.31,8.576666666666666,6,H6qhSjBHTDQzfASedVtZPVwbF7A6JNA99fwJUzu5yvDy,46.93778
