,name,Background,Body,Clothing,Eyes,Head,Mouth,Background_rarity,Body_rarity,Clothing_rarity,Eyes_rarity,Head_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
0,Primate #1997,Blue,Naked,Hazard Suit,Wide Eyed,Ventilation Mask,Content,10.37,19.21,0.01,4.7,0.01,18.05,1,1.6899785229500003e-12,0.01,8.725,6
1,Primate #1154,Lilac,Scarred,Winter Jacket,Eye Patch,Birdman,Banana,10.0,9.13,0.8200000000000001,3.02,0.42,2.82,2,2.67787297008e-10,0.42,4.368333333333333,6
2,Primate #7631,Yellow,Test Dummy,Space Suit,Eyeball,Beanie,Banana,9.83,4.17,0.51,2.85,1.87,2.82,3,3.141921454065901e-10,0.51,3.6749999999999994,6
3,Primate #2088,Yellow,Intestines,Cyber Zip-Up,Thief,Tactical Helmet,Cigarette,9.83,4.2299999999999995,0.89,1.97,0.91,5.09,4,3.3768307402584295e-10,0.89,3.82,6
4,Primate #628,Orange,Test Dummy,Alchemist Jacket,Meth Scientist,Skate Helmet,Bubble Gum,9.85,4.17,0.98,1.83,1.0,4.8,5,3.5358243984000005e-10,0.98,3.771666666666667,6
5,Primate #7705,Orange,Pill,Contemporary Polo,Thief,Headdress,Bubble Gum,9.85,4.15,1.08,1.97,0.8999999999999999,4.8,6,3.7571458607999993e-10,0.8999999999999999,3.7916666666666665,6
6,Primate #3453,Red,Intestines,Sleeveless Hoodie,Jngl Intestines,Arcade Machine,Skelly,10.48,4.2299999999999995,1.95,1.82,0.59,4.05,7,3.7593666484920004e-10,0.59,3.8533333333333335,6
7,Primate #2068,Orange,Stone,Bouncer,Stitched,Bag Mask,Stitches,9.85,7.79,1.69,1.92,0.58,2.62,8,3.783475328755199e-10,0.58,4.075,6
8,Primate #6957,Lilac,Test Dummy,Mob Boss Jacket,Slashed,Spartan Helmet,Banana,10.0,4.17,1.02,3.19,1.05,2.82,9,4.0175872506000003e-10,1.02,3.7083333333333335,6
9,Primate #3289,Pink,Glitch,Contemporary Polo,Eye Patch,Birdman,Jngl Grill,9.83,6.45,1.08,3.02,0.42,4.66,10,4.047428057803201e-10,0.42,4.243333333333333,6
10,Primate #4366,Green,Scarred,Alchemist Jacket,Eyeball,Arcade Machine,Banana,9.64,9.13,0.98,2.85,0.59,2.82,11,4.0899675951288003e-10,0.59,4.335,6
11,Primate #2286,Purple,Intestines,Winter Jacket,Undercover Glasses,Reggae Braids,Stitches,9.66,4.2299999999999995,0.8200000000000001,2.73,1.72,2.62,12,4.1221494330307213e-10,0.8200000000000001,3.6300000000000003,6
12,Primate #8148,Pink,Pill,Suspenders,Thief,Football Helmet,Stitches,9.83,4.15,2.11,1.97,0.9400000000000001,2.62,13,4.1761822284382e-10,0.9400000000000001,3.603333333333333,6
13,Primate #9334,Green,Stone,Space Suit,Slashed,Unkept Hair,Cigarette,9.64,7.79,0.51,3.19,0.69,5.09,14,4.290839044228439e-10,0.51,4.485,6
14,Primate #5058,Green,Tribesman,Basketball Jersey,Eyeball,Birdman,Cigar,9.64,6.68,1.46,2.85,0.42,3.85,15,4.3327260678239996e-10,0.42,4.15,6
15,Primate #4762,Red,Test Dummy,Casual Zip-Up,Stitched,Skate Helmet,Stitches,10.48,4.17,2.02,1.92,1.0,2.62,16,4.440697878528e-10,1.0,3.7016666666666667,6
16,Primate #2792,Pink,Glitch,Space Suit,Bandages,Headshot,Skelly,9.83,6.45,0.51,3.01,1.13,4.05,17,4.4543400735802504e-10,0.51,4.163333333333333,6
