,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
0,TA3JktD7coD7UNqpPULcoqTAEVqcSEpnczzf3EXEwSDkxhzXkCxPxWjgiueCShYQmK2oSkTPA1uzonLosx6ExEg,buyNow,magiceden_v2,BYKSbo3bzLRoX9UFuStjDvpPSCtd13UNSzk7tbc8C6d,primates,137899755,1655479004,EC7N7T8ks3tUirD56NKfK8H31Bodbhi5myT5TSPyMphZ,,8obVRp6hS5NX7D1G2ueymT4tR2qsPPNaXYWJJVcZFwxB,,11.7
1,46uzRGRaTujPBNhvkf4PTetXBg4KT6NicsgrNEjrDa6hbCRbBPJ16PSVvCeUL5tpSRtWJQqwbiTtF1dmRoSJor8m,buyNow,magiceden_v2,CvCoLUcFhV9dn9boAxnnQJGXRtVtEzXfyBqjrp5JD8T2,primates,137899649,1655478924,6tfCJAcpHg9domP3WE6uwt8RGSqK7RaHXRDvn3WYHGGF,,34yJQMdZ8VNDxKMkda8hoJtXgxxghhn1F5u8CDNFe251,,11.8
2,61zUJi6jTPTQWKcTU9pWCqth2ozDr7Xr1wAr2Sm4122y8U5rf2a83G4f7dZ7n5dMiLXr1T1dzoTUndufiQp9TFgH,buyNow,magiceden_v2,Go4U4y1HA9xUSqC6SZkEsptuWjGhZtBUGUba7qdFxm5T,primates,137899630,1655478910,CQ3JtPmWARkMfdtGn9z17TeUPYrBXfhuCBjDy6QEwU5Z,,7KEDCztgkEd7XbpQTVvShd4EMKdYPJ4odnN4WVPbtmAc,,11.5
3,53JQEyt7DzrNxNeUr5pxdQxWBqBhz61AkEQWdrFnVTMewEWAUxrwTW3NQZokiw8E1mTi9grXrff9avDSrh3nobVh,buyNow,magiceden_v2,FAJ7PMYH8bBmtMJrqg1RMyS9AGESQ1iHtEa4RqxYPYW4,primates,137899452,1655478781,Fz1n2xF9CtLooqnoRunsKGjASysU8MdM9vzEZRMvcfLs,,DzBK6TgvJPRPPH4yv3R7fLBKdoGoGjM4BignjqVHv9RH,,13.0
4,ZnJtbLgMR7bpG3qDgHN2NSMScPE5qBen1ZR8DbHqgVVU2wq2LkYhUkBmU2r77vKF219GPog3s1ArfmymTy9aLn2,buyNow,opensea,AALtXf7xfzTiFPFXYovY3FZFmKxX2MrEDE9cK2zsDMLF,primates,137899412,1655478751,3JN4H5nQuyTQCWboTN67rZ2iZT54Kfy1h2PMYLkpQP55,,2rSfpDkbRdEpuJPswTzBb2eCe1yDQk2Zho7XP71nTuC4,,27.00204928
5,2C3FctPgZxndi2FWhhGmpVfgvr5gGh2Y6JWbgRmLMyUom27Sjg8maRCJ8DE6FXjqw6peP54etY1kaGmBU4dicGmf,buyNow,magiceden_v2,CFS3ZbXKZqTV6SYm3AcXVEPFdbmRSxFrTYSXUvrCDctR,primates,137899314,1655478679,HpdeHscfLFS2g2MSATp5pPyTe49a2EkkCuYeP7mN1ts,,GzKKfVF34AF2h6okJJ4TgDxi89NZ8UubFdECF9RNDScs,,12.0
6,NBujuExLHvm8wCrPcyYoTA8GRtEQ37iqyMxWQsf3KEHQqPyLcuRNB7fPPMh5ajUTw8RPgYxZm6Xhk63Ena2cynM,buyNow,magiceden_v2,BNuUK7WPP5M8kTtK2xkSbqSyDWowxfydTn69L16cBGfD,primates,137898991,1655478447,71MZ6qtAidisCDuKr7UUDZ9fHwiNUfMCx3knnNY8PcDo,,3zPKHhF4xxvsHhD9LVFYMyt89pmUxU1r6Ay3vBDk7EhN,,11.98
7,rFsGG2Wpnwt2qSe8UkNk6x5AJ52WQ2NGpH2pZkR9YF2CVrR7yBoP2SFWuSbcWswN13SNSQLjDmkKRAZVC18w1BX,buyNow,opensea,3PoEsYrtYykzWV6aTqoL6ZeRTmMmB5vwKN4noRNPFVLM,primates,137898957,1655478425,7RLjx8SvwBkKHZLfURZXQYgCMGKhdoD8aoCwr79uNHk9,,64JCecqnHHiRj9bu9MyvMC7AmeZUsmuQaRmm6yh4ScAX,,13.40294016
8,4fqtZcqBNZrE7DZZN6vifgQDzcR3T35aqFt3pVphL72Y9mA2VtCYSmQ8yschZbCbS87u2VsdkecxUS6e4byJHCc1,buyNow,magiceden_v2,6Keb7pAUf9R5XJxfzmCMa7mjiu39hwfmBGYqHpHoPTpa,primates,137898800,1655478311,9rdyx4ZQV7THNfEZUNM3hZbRbLQnvv48K39d88FUTZQU,,G75oJFReg9hMhdoVc8EBnGu1A2DqJrhpXQcvECi1mskr,,12.5
9,4xWERKGbmvMmJK1LDJuKuWWyNhvX37X5DkiWCBToQ2vKSrLtmz4CyxwAMckT8dtA72xQZoDkdRJP6EYbv3J6hiEc,buyNow,magiceden_v2,9gfeD5efJbkUdWEEavYPW1JhYrRvjwBDNW3d49n3xVCX,primates,137898777,1655478294,HgLHKk3AVQBZ8UCMQTdwdRm2VzUt427GcMm8Cu7E6i79,,GzKKfVF34AF2h6okJJ4TgDxi89NZ8UubFdECF9RNDScs,,12.0
10,5VJNAzAKvsYHVWtAuaQho1cX1zZdfwbw6J5fiR529cBaGiCES7sfQhF4edpaybnvHGrNa5qaVk4KXxM8sXRJV4WN,buyNow,magiceden_v2,sJeqUg9FPBqvXnyNewuv867WH1VAQEwFUqsWgaW4DVw,primates,137898649,1655478199,AphE1KJWHEHSLb4EypRjUSg4SC21ToSpMJ7b4MePXxra,,9rdyx4ZQV7THNfEZUNM3hZbRbLQnvv48K39d88FUTZQU,,11.9
11,2bXUky5eZh9J5os7BTdakrT8AdT7QEgj3aGwvsvbBVPQB4rZLGoKnSc2ph85KVjEAYbDFm8kzrZeH1wqGHMbgKUg,buyNow,magiceden_v2,2ZVhdf6LcAbGjyuucEZ87HdnpNh9rdPdjdyw8yc1jDT1,primates,137898499,1655478097,7bxncCJLoQaqsBn8jWXZgvijMB6m7bwGBDdSxTe3teua,,CNGMKF3pt9xqFtAcDgstwvswdV4ySEhF9HQANw6TPFw5,,13.0
