,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.created,rarity.moonrank.crawl.updated,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.excluded_mints,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,rarity.howrare.rank,extra.img
0,4ab8gaktXzcHqr7rcQFqKX9oFkdf9grGvAmZawsxDzqz,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4w6qPeQnfX9neXf4G5jsAQA2RLbJAy7c21RZKVCtSQLZ,8Ku3eoRZnNfti8ui2JrRatz5tBSmvcn6idULDz2sTV6e,3Y1tv6gTrBNBEDrmjxnDef3hCnMtrQuM66TrEgMo9aQ8,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,800.0,-1,4599,6.091468764429537e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,4651.0,https://arweave.net/SF4vSJESTfdmt57sQKotsAmu_-hvIR-ILSZUbMJK-V0
1,yiyoy2A8fqBjJKC6XN9qvdYkJJdvMFyj2wLCJFJXm5r,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,et5bXW25Zc8tL9ZY9dH6LVqJnnat7mHC3GTNQog54gz,26T5ZiAa5NJkS6NwUZ4SqGgRAt4yNS9W1tHM8H8WhdH8,A1Z8EMSy7UNSZxGJ66nftopF8quu36mQg3in7eLAADVL,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,420.0,-1,3675,2.444843428095925e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,4229.0,https://arweave.net/DD25PHEsdUDBexkLrprPDdC9OYUyS7fzvUA-TzYz2iM
2,4mructKdCrtH1jb2CEMQYi3Y1LkZoiARv8eX7EfYG3dQ,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,7xePGYpGjUtBpTcrfeDzbLxHrCiZuEDSYZaWmxyVEfa8,B2s8tAWYTegdFZBUVNZpEQYmhEqtRViAjMfviSaVQgpm,67mvcnEecy8SPtqBq6xyDEEmENGdKub1NHXAL5zgCnxz,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,269.0,-1,3703,2.5320046731454435e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,2525.0,https://arweave.net/VnkMIhc_S55_G2jHNfqYLqgvbO1RRiXDXk2smzNOTDo
3,HYpU1M4ZG6WokJRruUdYpUp2rAmNVfezYSSBKEKQyitd,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FcaA1vFySHxhXyBsFsSibfPkkikjuT5RmNHXRmiU3RYG,Drmask8NifXEwQv5byqSzpaB9rzVnUupuDm1zZjyKh4t,FRR7UWHGE6MKHJkaztfAx2nkGGNBxWiXzik9Y1MfWxUk,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,202.0,-1,3479,2.011131611982325e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,2086.0,https://arweave.net/UeRFKHZXC6gUFxE2AUiVtkmCiaoeBTRiBdkTmw-Q1Qo
4,53NeTfgMrhtQmUGByDuecWouJaSGPiGnFiApcqoog8Ur,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8QNyBFYmKfP5rCy4ieJa3JVRAVWdvywLbXLKHyjD9M6a,DhQERmpWjG3KpZhbbFuWijsV49LcmgB1mN614SiPTdDY,5wqpqx4TMgEuXqzPYRwZTqWWvwdUjqPMGfdHm98deQhM,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,333.0,-1,3248,1.600022881471108e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,,https://arweave.net/NPZEZMi_cNAhx3vsMpVh_fVlXjPcW-aBBOiwErVI3pk
5,4w9V6McT5LegGEXYFemg7xxXWL8j6aoK2QzxuCjvW2Da,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,CLjUNhvU5DGGD5UtG9D1SR13UnRLx2eZRAe6BHoUeyZS,3Te1p8o1N7mHjc81hcNpskyStTWT7tXhJXZp6D4WgzVm,HRtwRVTmn6sbENbE8HPCyk8dJXURsLwBe6RMN9GnUpPW,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,200.0,-1,2515,6.322432444343551e-06,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,,https://arweave.net/k1uvPwKRb_GxZUR_20GQz9NML8xmEpLjTdfe2-wWv6U
6,5w7JpdZzgNcup2s3VtepidaYXkjtDzj587CgLE5sLH9A,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BUsmqoutGrStF9DveuD9niCQCaFcQwEdBvk2Qh4f2nE7,G5AtwWXg6LyBK7Ao8BoSuuvngCN4xdYwGRkVDcqmuuWs,2NDUSTM7xTTiHoe9MA9k4Nq2Bi3pUhT1m3fmMoLZPzLT,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,229.99,-1,4047,3.529636106491881e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,3686.0,https://arweave.net/vjUDguiIfz-6qZyo713HZHAJEizYh31B2VCEmNDMsQY
7,29jYF4N6mdMGPjKm6MAajBc6Z19TKUiBgSGLCFKusUNV,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3ezx5uVG4vNmTR7aBVPovmm6Dxoi457f1WgR4cNVEDTB,FFSz8iKqFv4jtjs9RaD6SMTPuTYaYMkctw19jesVf8AU,GWnbDQTe3cN5eXHszgcZJhAKEwjMpKPonxkN3BB9MRBj,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,299.0,-1,3889,3.063701590080901e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,,https://arweave.net/mX_SJhtbCF009kKbEQLz86Q3dj99BqjdhWcKK8kuMtw
8,BrNRe4ioVt6ajsez1yJhiTpwdzcMUGW4kw9nds3PkJhx,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8aaz48fB8gZaGDgHqK1RSp1ZnvLwipKqN4MVFcEXJCuT,3fP4nriMp89Eef9xjtLP3wf8kyUAyWD6CJd6z2gYTSbg,9bS6N6ZKkjB9nceprvrpsRcGYgVGWzeUXobx5D3FLzA1,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,196.0,-1,3925,3.166585012686337e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,3033.0,https://arweave.net/lK2T19bIgNq7gx3T8HyddjlA__UI7pJ-lXIAGpq2Cu0
9,GoNAk9GsqkjYo2ESDXCC2eXDENpGihaR44V3WMD2BCfS,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,Hn2iqXXoZZhRsU3LJtRbjLMHsSzPxNkwo7ePXEsCyRQM,H2PLhyrkR1eVREJPcMSDEB1zTfpx1DjihmDdEH73Cyto,hQabkzGMJX4PrfzKnaaNdFankfTcJHZk1rMs92qRBoY,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,210.0,-1,2954,1.002693467993453e-05,smb,2022-01-04T16:53:33.272716Z,2022-01-04T16:53:33.272716Z,1627565970,1627738074,2sQtGiaXdKAayVbSPExBJVLp3ymnd8QmdKFBY4B7AVmJ,BqS7jg3JKzKrcjm5FPoYytNj2pEbtKe7YvpxBPdbbJz5,3PKcCAXWVETzijBdfBassGjwAM5rixqfXWFc7Yh1sxkXq2nFLMa6YDejN2zs9g2bwq9RDTzn1qZnVrbjjHE48qkV,98656029,5000,5000,0,"[{'mint': 'By9vaSrWMWJTNt1sx8nXVGDXyGPNutcgAdd518SYU84b'}, {'mint': 'DcyqqPxVkAZcP5sGSaULcL73KaWN4jmF9Ld8UCN8Qgie'}]",True,False,0,3998.0,https://arweave.net/QjgLMSg631XPm0ldNudobuLAeZVf7JwDP_4rXrjxe-E
