,name,Clothes,Ears,Eyes,Hat,Mouth,Type,Clothes_rarity,Ears_rarity,Eyes_rarity,Hat_rarity,Mouth_rarity,Type_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
0,SMB #2387,Green Smoking,Earing Gold,Green Glasses,Green Top Hat,Pipe,Orange,3.2399999999999998,4.6,4.34,1.48,2.62,18.94,1,4.750458766179841e-09,1.48,5.87,6
1,SMB #1245,Orange Shirt,Earing Gold,Cool Glasses,Cowboy Hat,Cigarette,Solana,7.02,4.6,3.58,2.7,12.839999999999998,1.46,2,5.8513976659007986e-09,1.46,5.366666666666667,6
2,SMB #470,Purple Shirt,Earing Silver,Gold Glasses,Orange Backwards Cap,Pipe,Skeleton,7.48,17.32,3.2199999999999998,3.0,2.62,2.42,3,7.9349330949504e-09,2.42,6.010000000000001,6
3,SMB #452,Black Smoking,Earing Gold,VR Glasses,Cop Hat,Cigarette,Zombie,3.4000000000000004,4.6,2.42,2.6,12.839999999999998,7.28,4,9.198602789375998e-09,2.42,5.523333333333333,6
4,SMB #903,Green Shirt,Earing Gold,Purple Glasses,Ninja Bandana,None,Alien,7.140000000000001,4.6,3.16,0.24,73.64,5.6000000000000005,5,1.0272027528806402e-08,0.24,15.729999999999997,6
5,SMB #1196,Orange Jacket,None,Laser Eyes,Thief Hat,Pipe,Dark,1.06,78.08,2.04,2.3800000000000003,2.62,11.1,6,1.1686300903710723e-08,1.06,16.213333333333335,6
6,SMB #2383,White Shirt,None,Solana Vipers,Red Beret,Pipe,Purple,5.9799999999999995,78.08,0.64,1.32,2.62,13.26,7,1.3703758901673984e-08,0.64,16.983333333333334,6
7,SMB #2937,Cop Vest,Earing Gold,Yellow Glasses,Cop Hat,Cigarette,Alien,4.279999999999999,4.6,3.84,2.6,12.839999999999998,5.6000000000000005,8,1.4133809184767995e-08,2.6,5.626666666666666,6
8,SMB #183,None,Earing Gold,Solana Vipers,Sailor Cap,Cigarette,Orange,14.540000000000001,4.6,0.64,1.3599999999999999,12.839999999999998,18.94,9,1.415748528685056e-08,0.64,8.82,6
9,SMB #3115,Military Vest,None,Solana Vipers,White Fedora 1,Mask,Zombie,3.58,78.08,0.64,3.9600000000000004,3.8600000000000003,7.28,10,1.990749774466253e-08,0.64,16.233333333333334,6
10,SMB #2629,Green Shirt,Earing Silver,Gold Glasses,Green Cap,Pipe,Zombie,7.140000000000001,17.32,3.2199999999999998,2.7,2.62,7.28,11,2.0506824087160322e-08,2.62,6.713333333333334,6
11,SMB #1355,Orange Jacket,None,None,Crown,None,Skeleton,1.06,78.08,71.54,0.02,73.64,2.42,12,2.1103463969595398e-08,0.02,37.79333333333333,6
