,signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
0,47xaG9eja7AKPKG59sD77M7WGMrkLkqv2tJ2b5Qns5idQ1KyEwG4G9yzrwYbeKGjXVxNdjKJkG3pp5HxBWPRpzKQ,buyNow,magiceden_v2,BPQi6NrD6M9s4TaUYQtX66uPWy1A5C39o619MZDGxsjg,solana_monkey_business,solana_monkey_business,140177507,1656940705,GGT2Kw4piRL27jyALSbXyWYgSyKwDJpCxfpHXcQtAxxG,,8S5NsmPLmnYeB5fjw68GAyC19z8ZzBTw8iTz1hzHMHi4,,178.0,https://arweave.net/IzSOlri0HLCsYc1NoDvlzuCuyk_NDC1aO6BwktmJB68
1,3Knwva8K9GepLpF6Eee2ZbwwaYjZvCJjbTeCM5gBqjbQCu4JBWEX2ujQP2QZ6R5L9S9ikrEH4K8KZoLXY1ALYKiB,buyNow,magiceden_v2,5z3N5DB22TkgEfwRR7XL67MT5Fg5b2CZbGZSTrxpofNP,solana_monkey_business,solana_monkey_business,140116844,1656903317,D3Tp8rQDdnfJ1kQYkz4UYWVnm8wFg3mPrHXLuQKqKaTZ,,4inUaqhuKwaLdKC6A1S3DkpnCgagAZKB414PtbkQ132U,,200.0,https://arweave.net/6--pL4ZfWysCybbY9veVr47nUkt1-fIHuQ-z6dAUTzU
2,64zd4FSnxEYSnoHVQ5Afo1DasHg2kgbCCQZDZhuFxJLBFg4i4RJpYoXacgCovjknRTHS1RJHuE1FcD2wcwTcwDC1,buyNow,magiceden_v2,C2faVQUni8qE8rp1B2BtaTEVyV2rDgd2cQpmvdZiqMv5,solana_monkey_business,solana_monkey_business,140065121,1656867370,9MWc9nBLPxETdyKuhCrSJicj9RiQJr2s2MBMZ3R4KPUh,,Hu1gPsiqQTWTmVjwci4z7Gv5bkvQA9PaX4ugnEd3sYML,,190.0,https://arweave.net/GUEtFefbXSCH22mRnshaedQEAWFNWOwnX7GLhp0DCL4
3,93DNpGgSW34TTNyRk5PbzbguDRTpNBCUoU8zy7i8TjzVtW2mwgVTpWSLZJ8BoF8UPTi9TqmX6tcA65Ku8PDKXHY,buyNow,magiceden_v2,HR9yrXpTMVHW45ZzURxNkBnJme3aXJrmJtTXJBsRBW1S,solana_monkey_business,solana_monkey_business,139974168,1656804030,HZdrik3ZECYvPaiJNTQUJBmiU33MVn15cYhEm2nKKBHW,,D8quLVQiJBJTWhFyLXACxAj6dDe8kZQaT5KCXDkHSFF,,260.0,https://arweave.net/b514cY38vvN7xeRL-KCMdxrELToqA_weQiqcgbNy0TM
4,VmAemXUdK3moDANZKWp7NunHh5ewGHpUWJZHr7wY3utnH1zrjNWWmnop1S7VHtdTq8TvFmJMJDLcoCxT9kDhpVy,buyNow,opensea,9RL16GKMpCPXTS7DomyW6NuTTy18kzTMEkBaD48UjQVb,solana_monkey_business,solana_monkey_business,139964499,1656797363,8B1D9qGdvnKihwv3JM7zyLYinPuKToTn8cZD5AmPxLdg,,2FF4pE2kvdg3nrf7aztpV4M78BcMuavgCwpL47n6GA5a,,259.00294016,https://arweave.net/IJjquiX4IIucSW9tDzrPRyx53pNzrgZwVYcnaKPtIxo
5,sPam5Sbi2YPGZwdia3qAatMf8t4GmTdzjx4UmMknqax8AuFipBA5bANYGgnmc78vQjXHDhMo73ACscXDiATXXH1,buyNow,magiceden_v2,4CUYQmkftVE4pG19Nxp8ApjUJEAgUvvjE8Wax1fD9mwb,solana_monkey_business,solana_monkey_business,139956818,1656792513,7C5NPiW5fSkYe2WVjTjhnZ84dG7hJJJrv6XL1ANwou3f,,5PYAbjCLaJe4qLrouLoG9frAd4tDLnCE2uBZVZC6x3UC,,199.0,https://arweave.net/g5ZvX8muHnfoSoEob7cUacE-OWI2UYARO-XHY0oLGZs
6,3RSy1oLh7e6vjtMES4hVXkpXt6LTDHbVU14QcfcgnNasd7SHGiczABei7dCbBLt4m3DKzbUGcq2FReazJoyw9Nx5,buyNow,magiceden_v2,5EFME4KCmDGoF5b7BVKBQBFREcYrZutvjmPumWburwK4,solana_monkey_business,solana_monkey_business,139785462,1656686138,EePnRqV4Q2VEHp5nPADqeGKcfPMFmnhDW1Ln9LKsTzWQ,,AuYVtdxUQcLgiUCG38uoWAEQQ5N6sL5ZDrwS4x7WPnLB,,188.0,https://arweave.net/OnzH9Qakkm8_WyuirLOCyAusE3VgczuXp5kola0aNCw
7,65z59wRz8RzrR7YGPGcyeV5sYH6S1CEghzhNMkqepwZDwKPsCFmxan3buSkHSzTgbwPoXgXoCPaqy8xEeQmTst8G,buyNow,magiceden_v2,71xfsQzRoXCqRzYWKAFYKgLHxknVrgPoBhKeZHwaUCAy,solana_monkey_business,solana_monkey_business,139682751,1656616676,2B7i2wKgGVghanVo1WBJ5Xx6mT8s3WEpJmpiqMZFYzDX,,5nZMPyMuo21TkUu2iREjZoKGdrm2dTtaAgBDABrpjYDX,,200.0,https://arweave.net/LeC0eczSZQPMxBGKakpYOG2tt8ugA1C3CxskFxRUHJI
8,3Z7fxWReK2vvxjkQSR5ggrLfHgsuR2nMVfas5ep2nPPzC3QGYd5Y167LPTYE1e75gcJwoj8UsdwXLCmG2KNTGg7J,buyNow,magiceden_v2,68e43xcvi8dQLx41RcZavKHWUbkGB2cBTgHNUM3rrpvU,solana_monkey_business,solana_monkey_business,139679553,1656614418,56KSWvZQBLA42ReQanouY76NXFkiTKHcnXM5dg4rpvsy,,4RpuQEH14ZnHFSsX4NREubZjVjozLM5XM4kFDjXQY337,,180.0,https://arweave.net/UwhVkroWwjB3KfNiOnouI57CxT-AqvrBf09kjfRmzUs
9,5KMWFVpo11XaHni6HywrEXZUZNcei4cbnTjoz5TUNSoSnC6hW7ULKNSuqEGGfNzNuX8BorcNgKhAKvF9xHeTwn16,buyNow,hyperspace,26GjAUBc4jetujjcnmLDhwfVdXZdiX7u9ikzKrVRmMsV,solana_monkey_business,solana_monkey_business,139671256,1656608901,7k9Aim2PtrfVP4H648soRPYqjLznAV6HwSvunVBCW7PQ,,6uQWCbw9RBXDfwGD5xw3gt6DUEG8DD4KRJj2Wxwc3LV2,,0.0026149999999999997,https://arweave.net/oGfWiN8XGgUJ3jcWt-WJKz3qoEcuJQAykqlXzMbnDmk
