,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
530,25.634165,23.4,Trippin' Ape Tribe #7302,1480,6,https://bafybeiatecpytvlfwltbw6c7rq6w5pw3tkas4kwxmcsselfwf3l3crncte.ipfs.nftstorage.link/7302.png?ext=png,2.234165000000001
139,22.220345,20.5,Trippin' Ape Tribe #8167,3799,6,https://bafybeia2yg4nchlxoqmwupifrvljdy7caxw5234bfcddalq5wzy4zpzu3e.ipfs.nftstorage.link/8167.png?ext=png,1.7203449999999982
35,21.144712,20.0,Trippin' Ape Tribe #6884,3776,6,https://bafybeiehwl4duqy3c2ldzvty7my5ndkou2ce7kn7tbcilwtxzltv742p2q.ipfs.nftstorage.link/6884.png?ext=png,1.1447119999999984
268,18.933834,18.0,Trippin' Ape Tribe #6352,8494,6,https://bafybeihq53ibebzh57jlwbqj3c6bogu6dhnl7n6acf46ok7dtw5dpnip2q.ipfs.nftstorage.link/6352.png?ext=png,0.9338340000000009
450,18.684687,18.0,Trippin' Ape Tribe #3013,7180,6,https://bafybeibbzpwbca3w6jeaxh4pbwqxzrbxa3edwhwy6wsjv4zd3umdm2v2ea.ipfs.nftstorage.link/3013.png?ext=png,0.6846870000000003
451,18.59954,18.0,Trippin' Ape Tribe #3823,8990,6,https://bafybeiezgxptptigqjsflnthnodhnzc3m7bv5xhq7a4qn462y6qfjv6xwq.ipfs.nftstorage.link/3823.png?ext=png,0.5995400000000011
269,18.541622,18.0,Trippin' Ape Tribe #9832,9837,6,https://bafybeiepilmsehzs7gltqzemhbtfbww6bwwl2pizlvgjpbcrdi7vr22xha.ipfs.nftstorage.link/9832.png?ext=png,0.5416220000000003
408,35.49997,35.0,Trippin' Ape Tribe #8282,694,6,https://bafybeih5o2zplvzal6zik75wb6coidv7ayj7q3cu2agzxvhue5hwraxaui.ipfs.nftstorage.link/8282.png?ext=png,0.4999699999999976
57,22.492426,22.0,Trippin' Ape Tribe #5968,2356,6,https://bafybeicusiafq26436xa3thhn7na6bj6czobjeer7kr3lm5uzgziwsdzu4.ipfs.nftstorage.link/5968.png?ext=png,0.49242599999999825
6,18.292175,17.8,Trippin' Ape Tribe #6661,5491,6,https://bafybeia45qwptvqkqjlgjsb3opbwo3tvvdhrgna6s7azc5seoavkwibehm.ipfs.nftstorage.link/6661.png?ext=png,0.4921749999999996
5,18.435661,17.99,Trippin' Ape Tribe #2165,6070,6,https://bafybeifokc4e2rprqpze7h4bvd5f4qynrgdanvld4tvn24dzzpf44wjgru.ipfs.nftstorage.link/2165.png?ext=png,0.4456610000000012
2,18.216982,18.0,Trippin' Ape Tribe #2046,5717,6,https://bafybeic4nzc7x7gram3cwbrzqyrc7zaczih43c6gxrms3y2al63dy57umq.ipfs.nftstorage.link/2046.png?ext=png,0.21698200000000156
