,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
17,17,Trippin' Ape Tribe #8881,Blotter,OJ,Orange Slices,Substrate,Mad Hatter,Patchwork Denim,0.99,0.99,0.75,0.99,2.19,2.19,18,3.490238275425001e-12,0.75,1.35,6,5w7J9SDNi2dWr1JN69qNRw1gPrf6dD97ECsPHFJRcdCn,115.084785
10,10,Trippin' Ape Tribe #8821,Blotter,OJ,Orange Slices,Rainbow Drool,Crown,Psychonaut,0.99,0.99,0.75,1.0699999999999998,1.77,1.13,11,1.5731391530250001e-12,0.75,1.1166666666666667,6,6qjLoZYpYDN6PvJmPHuXrHM7VEBjNe9P6aix9t4RoGLg,113.46033
44,44,Trippin' Ape Tribe #8897,Blotter,OJ,Orange Slices,Pizza,Valhalla Helm,White Rabbit,0.99,0.99,0.75,1.63,5.92,0.95,45,6.7385207339999996e-12,0.75,1.8716666666666668,6,3oiY6sZEDNJJSZfWpVzgKv9qbBR5EyLbnuXasTNBHbKA,108.52809
34,34,Trippin' Ape Tribe #8875,Blotter,OJ,Orange Slices,Diamond Grill,Octopus,White Rabbit,0.99,0.99,0.75,1.98,3.66,0.95,35,5.060594434500002e-12,0.75,1.5533333333333337,6,3uwE4Vgj9r6u6ZHHPHPcjf2dMyXRRyJLryxyZPKDR1xB,108.25321
58,58,Trippin' Ape Tribe #8860,Blotter,OJ,Orange Slices,Shroom,Valhalla Helm,Psychonaut,0.99,0.99,0.75,1.69,5.92,1.13,59,8.3103345468e-12,0.75,1.9116666666666668,6,2mN8qy6kMLFrhtMzpC35smcjw94HM9BnSFfW1GrJHzPt,104.998146
16,16,Trippin' Ape Tribe #8857,Blotter,OJ,Laser Eyes,Diamond Grill,Crown,White Rabbit,0.99,0.99,0.94,1.98,1.77,0.95,17,3.067328604780001e-12,0.94,1.2700000000000002,6,9KFaJkkBEsyLy1Sgu2687s3wWeJ5TBVJaKEDXWRNHd8e,102.22349
69,69,Trippin' Ape Tribe #8893,Blotter,OJ,Orange Slices,Eyeballs,Valhalla Helm,Mad Scientist,0.99,0.99,0.75,2.01,5.92,1.14,70,9.971357061600005e-12,0.75,1.9666666666666668,6,2m9H71uNmgzPJeQsUdcuvVse6Qz5Tw2ycNyA7PbjqhXS,101.11626
19,19,Trippin' Ape Tribe #8862,Blotter,OJ,Electric,Rainbow Vomit,Crown,Patchwork Denim,0.99,0.99,1.04,0.8999999999999999,1.77,2.19,20,3.5560152856800012e-12,0.8999999999999999,1.3133333333333332,6,FXpAU6c5QBAvJ1r7w6re4136Gr3GRHym8GqQgtixi84y,98.81211
20,20,Trippin' Ape Tribe #8832,Blotter,Diamond,Laser Eyes,Rainbow Drool,Mad Hatter,White Rabbit,0.99,1.81,0.94,1.0699999999999998,2.19,0.95,21,3.74967062811e-12,0.94,1.325,6,HvmUhgY4yAZQd6ZJrsSWFvfbRyPzzvf9e3G2bin4Xd78,96.83329
15,15,Trippin' Ape Tribe #8822,Blotter,Shroomin,Laser Eyes,Rainbow Drool,Apesolem,Psychonaut,0.99,1.11,0.94,1.0699999999999998,2.01,1.13,16,2.510407973106e-12,0.94,1.2083333333333333,6,48N5dQ3iiY6rEDQQQGedt64YB5hoNygbjZRUSY4fLPUH,96.72677
18,18,Trippin' Ape Tribe #8873,Blotter,Shroomin,HUD,Shroom,Crown,Psychonaut,0.99,1.11,0.94,1.69,1.77,1.13,19,3.4915996512539997e-12,0.94,1.2716666666666667,6,DYskMs8cxmdp8eXtF6oeMTLfNa9BJK6J78MkneG8143Z,94.69517
71,71,Trippin' Ape Tribe #8845,Blotter,Fig,Laser Eyes,J,Crown,Psychonaut,0.99,2.08,0.94,2.64,1.77,1.13,72,1.0220732451072001e-11,0.94,1.5916666666666668,6,9nC1qQUoqbizqzSoBUwjqrR2qkfVm8ZMw4sv8jMuW4Sv,94.37515
11,11,Trippin' Ape Tribe #8867,Blotter,Shroomin,Electric,Ten Strip Blue,Crown,Psychonaut,0.99,1.11,1.04,0.92,1.77,1.13,12,2.102960182752e-12,0.92,1.16,6,7TpJMeAj7eiwELkV7WRC6S99ZJ1bWCMzCYo2EtPnr4bc,94.23361
22,22,Trippin' Ape Tribe #8838,Blotter,Shroomin,HUD,Ten Strip,Apesolem,White Rabbit,0.99,1.11,0.94,1.98,2.01,0.95,23,3.905448182460001e-12,0.94,1.3300000000000003,6,GwmVYs1wt6HvPe5vZEUY6JZe9qByx9iSFAegeBVwdFtm,93.98443
42,42,Trippin' Ape Tribe #8841,Blotter,Diamond,Radioactive,Ten Strip Blue,Crown,Mad Scientist,0.99,1.81,1.91,0.92,1.77,1.14,43,6.353500694904001e-12,0.92,1.4233333333333336,6,2cYkAoHHBZyttJ2se1GXYnqYQqRKu2J1VbeKjP8LMcXp,93.47695
66,66,Trippin' Ape Tribe #8833,Blotter,Gold,Laser Eyes,Ten Strip,Mad Hatter,Psychonaut,0.99,2.03,0.94,1.98,2.19,1.13,67,9.256500622908e-12,0.94,1.5433333333333332,6,7RZD8KVCuFzWSYDgZn9kW4zWEnNAMfKrc8NZ9Wqt5aor,93.44369
12,12,Trippin' Ape Tribe #8820,Blotter,OJ,Electric,Rainbow Vomit,Mad Hatter,Mad Scientist,0.99,0.99,1.04,0.8999999999999999,2.19,1.14,13,2.2903149297600005e-12,0.8999999999999999,1.2083333333333337,6,HBFafzqwFVdCntgXGLkCfA5kpxRuifSh3EwMssMoovkM,93.0559
65,65,Trippin' Ape Tribe #8837,Blotter,Diamond,HUD,Rainbow Drool,Mad Hatter,Patchwork Denim,0.99,1.81,0.94,1.0699999999999998,2.19,2.19,66,8.643977553222e-12,0.94,1.5316666666666665,6,HbXBchK1Cw2Bu2sQ8Xmv6zJqbkmS3f1RD1Mr2idmVY5A,92.11252
36,36,Trippin' Ape Tribe #8805,Blotter,Diamond,HUD,Pizza,Apesolem,White Rabbit,0.99,1.81,0.94,1.63,2.01,0.95,37,5.242626159210001e-12,0.94,1.3883333333333334,6,FieMjz7hxKLQzVLA1zbUGnh6fiU2R8TsYLUb9h968nt7,92.10378
48,48,Trippin' Ape Tribe #8882,Blotter,DMTree,HUD,Pizza,Mad Hatter,Mad Scientist,0.99,1.88,0.94,1.63,2.19,1.14,49,7.119630715824002e-12,0.94,1.461666666666667,6,5VdcRJAMPvNXyuxdzt9W7WHdEXt6fRuWJksCKkueSuVt,91.94291
37,37,Trippin' Ape Tribe #8823,Blotter,Shroomin,Laser Eyes,J,Crown,Mad Scientist,0.99,1.11,0.94,2.64,1.77,1.14,38,5.502601618272002e-12,0.94,1.4316666666666669,6,74gA6Jc3kTPZe6H5Q9NcC4aQmzJCZHiajNFpAq44j9ho,91.875626
64,64,Trippin' Ape Tribe #8836,Blotter,DMTree,Laser Eyes,Ten Strip,Mad Hatter,Psychonaut,0.99,1.88,0.94,1.98,2.19,1.13,65,8.572522744368e-12,0.94,1.5183333333333335,6,EtQNSAZxPCJGuEaDUp5UnWjnHAJofpWf4dBngTTMMgvt,91.66876
