,name,Background,Body,Eyes,Face,Hat,Outfit,Background_rarity,Body_rarity,Eyes_rarity,Face_rarity,Hat_rarity,Outfit_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
0,Trippin' Ape Tribe #13,Shroom,Galaxy Trypophobia,Radioactive,Ten Strip Blue,Ceremonial Hood,Ceremonial Hood,1.9900000000000002,2.97,1.91,0.9199999999999999,0.1,0.1,1,1.0385579160000001e-13,0.1,1.3316666666666668,6
1,Trippin' Ape Tribe #16,Dark Shroom,Drippy Radioactive,Radioactive,Substrate,Ceremonial Hood,Ceremonial Hood,2.48,2.6100000000000003,1.91,0.9900000000000001,0.1,0.1,2,1.2239417519999998e-13,0.1,1.3650000000000002,6
2,Trippin' Ape Tribe #14,Dark Shroom,Drippy Sol,Radioactive,Substrate,Ceremonial Hood,Ceremonial Hood,2.48,3.66,1.91,0.9900000000000001,0.1,0.1,3,1.7163321120000002e-13,0.1,1.54,6
3,Trippin' Ape Tribe #11,Magenta Swirl,Inferno Trypophobia,Radioactive,Ten Strip,Ceremonial Hood,Ceremonial Hood,2.74,2.46,1.91,1.9800000000000002,0.1,0.1,4,2.549084472e-13,0.1,1.5483333333333331,6
4,Trippin' Ape Tribe #15,Purple Swirl,Galaxy Trypophobia,Radioactive,Ten Strip,Ceremonial Hood,Ceremonial Hood,2.39,2.97,1.91,1.9800000000000002,0.1,0.1,5,2.6844350940000007e-13,0.1,1.5750000000000002,6
5,Trippin' Ape Tribe #8,Purple Swirl,Drippy Blue,Radioactive,Substrate,Ceremonial Hood,Ceremonial Hood,2.39,7.99,1.91,0.9900000000000001,0.1,0.1,6,3.6108815489999997e-13,0.1,2.2466666666666666,6
6,Trippin' Ape Tribe #10,Dark Shroom,Blue Paranoia,Radioactive,Acid Tab,Ceremonial Hood,Ceremonial Hood,2.48,3.5700000000000003,1.91,5.63,0.1,0.1,7,9.520541688000002e-13,0.1,2.2983333333333333,6
7,Trippin' Ape Tribe #7,Magenta Swirl,Infrared Trypophobia,Radioactive,Acid Tab,Ceremonial Hood,Ceremonial Hood,2.74,3.39,1.91,5.63,0.1,0.1,8,9.988310238000001e-13,0.1,2.311666666666667,6
8,Trippin' Ape Tribe #9,Magenta Swirl,Purple Paranoia,Radioactive,Acid Tab,Ceremonial Hood,Ceremonial Hood,2.74,3.9800000000000004,1.91,5.63,0.1,0.1,9,1.1726688716e-12,0.1,2.41,6
9,Trippin' Ape Tribe #12,Red Tryptamine,Drippy Pink,Radioactive,Acid Tab,Ceremonial Hood,Ceremonial Hood,1.7399999999999998,8.06,1.91,5.63,0.1,0.1,10,1.5080858052000001e-12,0.1,2.9233333333333333,6
10,Trippin' Ape Tribe #8821,Blotter,OJ,Orange Slices,Rainbow Drool,Crown,Psychonaut,0.9900000000000001,0.9900000000000001,0.75,1.0699999999999998,1.77,1.13,11,1.573139153025e-12,0.75,1.1166666666666667,6
11,Trippin' Ape Tribe #8867,Blotter,Shroomin,Electric,Ten Strip Blue,Crown,Psychonaut,0.9900000000000001,1.11,1.04,0.9199999999999999,1.77,1.13,12,2.102960182752e-12,0.9199999999999999,1.16,6
12,Trippin' Ape Tribe #8820,Blotter,OJ,Electric,Rainbow Vomit,Mad Hatter,Mad Scientist,0.9900000000000001,0.9900000000000001,1.04,0.8999999999999999,2.19,1.1400000000000001,13,2.2903149297600005e-12,0.8999999999999999,1.2083333333333335,6
13,Trippin' Ape Tribe #8844,Blotter,Shroomin,Shroom Lennons,Substrate,Mad Hatter,White Rabbit,0.9900000000000001,1.11,1.03,0.9900000000000001,2.19,0.95,14,2.3313008005650003e-12,0.95,1.2100000000000002,6
14,Trippin' Ape Tribe #8890,Blotter,Shroomin,Electric,Ten Strip Blue,Apesolem,Mad Scientist,0.9900000000000001,1.11,1.04,0.9199999999999999,2.01,1.1400000000000001,15,2.4092410193280005e-12,0.9199999999999999,1.2016666666666669,6
15,Trippin' Ape Tribe #8822,Blotter,Shroomin,Laser Eyes,Rainbow Drool,Apesolem,Psychonaut,0.9900000000000001,1.11,0.9400000000000001,1.0699999999999998,2.01,1.13,16,2.510407973106e-12,0.9400000000000001,1.2083333333333333,6
16,Trippin' Ape Tribe #8857,Blotter,OJ,Laser Eyes,Diamond Grill,Crown,White Rabbit,0.9900000000000001,0.9900000000000001,0.9400000000000001,1.9800000000000002,1.77,0.95,17,3.0673286047800013e-12,0.9400000000000001,1.2700000000000002,6
17,Trippin' Ape Tribe #8881,Blotter,OJ,Orange Slices,Substrate,Mad Hatter,Patchwork Denim,0.9900000000000001,0.9900000000000001,0.75,0.9900000000000001,2.19,2.19,18,3.4902382754250005e-12,0.75,1.3499999999999999,6
18,Trippin' Ape Tribe #8873,Blotter,Shroomin,HUD,Shroom,Crown,Psychonaut,0.9900000000000001,1.11,0.9400000000000001,1.69,1.77,1.13,19,3.491599651254e-12,0.9400000000000001,1.2716666666666667,6
19,Trippin' Ape Tribe #8862,Blotter,OJ,Electric,Rainbow Vomit,Crown,Patchwork Denim,0.9900000000000001,0.9900000000000001,1.04,0.8999999999999999,1.77,2.19,20,3.556015285680001e-12,0.8999999999999999,1.3133333333333332,6
20,Trippin' Ape Tribe #8832,Blotter,Diamond,Laser Eyes,Rainbow Drool,Mad Hatter,White Rabbit,0.9900000000000001,1.81,0.9400000000000001,1.0699999999999998,2.19,0.95,21,3.74967062811e-12,0.9400000000000001,1.325,6
21,Trippin' Ape Tribe #8886,Blotter,Gold,Laser Eyes,Rainbow Vomit,Apesolem,Mad Scientist,0.9900000000000001,2.03,0.9400000000000001,0.8999999999999999,2.01,1.1400000000000001,22,3.89585248668e-12,0.8999999999999999,1.335,6
22,Trippin' Ape Tribe #8838,Blotter,Shroomin,HUD,Ten Strip,Apesolem,White Rabbit,0.9900000000000001,1.11,0.9400000000000001,1.9800000000000002,2.01,0.95,23,3.905448182460001e-12,0.9400000000000001,1.3300000000000003,6
23,Trippin' Ape Tribe #8883,Blotter,Shroomin,Shroom Lennons,Rainbow Drool,Octopus,White Rabbit,0.9900000000000001,1.11,1.03,1.0699999999999998,3.66,0.95,24,4.210986668130001e-12,0.95,1.4683333333333335,6
24,Trippin' Ape Tribe #8891,Blotter,Fig,HUD,Substrate,Apesolem,Psychonaut,0.9900000000000001,2.08,0.9400000000000001,0.9900000000000001,2.01,1.13,25,4.352472929376e-12,0.9400000000000001,1.3566666666666667,6
25,Trippin' Ape Tribe #8854,Blotter,DMTree,HUD,Trippy Grill,Apesolem,Mad Scientist,0.9900000000000001,1.8800000000000001,0.9400000000000001,1.11,2.01,1.1400000000000001,26,4.449843989712001e-12,0.9400000000000001,1.345,6
26,Trippin' Ape Tribe #8839,Blotter,OJ,Laser Eyes,Diamond Grill,Mad Hatter,Mad Scientist,0.9900000000000001,0.9900000000000001,0.9400000000000001,1.9800000000000002,2.19,1.1400000000000001,27,4.5542031487920016e-12,0.9400000000000001,1.3716666666666668,6
27,Trippin' Ape Tribe #8863,Blotter,OJ,Laser Eyes,Ten Strip,Mad Hatter,Mad Scientist,0.9900000000000001,0.9900000000000001,0.9400000000000001,1.9800000000000002,2.19,1.1400000000000001,28,4.5542031487920016e-12,0.9400000000000001,1.3716666666666668,6
28,Trippin' Ape Tribe #8815,Blotter,OJ,HUD,Eyeballs,Mad Hatter,Psychonaut,0.9900000000000001,0.9900000000000001,0.9400000000000001,2.01,2.19,1.13,29,4.582651786218001e-12,0.9400000000000001,1.375,6
29,Trippin' Ape Tribe #8878,Blotter,Diamond,Electric,Substrate,Mad Hatter,Mad Scientist,0.9900000000000001,1.81,1.04,0.9900000000000001,2.19,1.1400000000000001,30,4.606077803184001e-12,0.9900000000000001,1.36,6
30,Trippin' Ape Tribe #8892,Blotter,DMTree,Shroom Lennons,Substrate,Mad Hatter,Psychonaut,0.9900000000000001,1.8800000000000001,1.03,0.9900000000000001,2.19,1.13,31,4.696648099308001e-12,0.9900000000000001,1.3683333333333334,6
31,Trippin' Ape Tribe #8827,Blotter,Shroomin,Laser Eyes,Eyeballs,Apesolem,Psychonaut,0.9900000000000001,1.11,0.9400000000000001,2.01,2.01,1.13,32,4.715813108358001e-12,0.9400000000000001,1.365,6
32,Trippin' Ape Tribe #8801,Blotter,Gold,HUD,Trippy Grill,Apesolem,Mad Scientist,0.9900000000000001,2.03,0.9400000000000001,1.11,2.01,1.1400000000000001,33,4.804884733572e-12,0.9400000000000001,1.37,6
33,Trippin' Ape Tribe #8874,Blotter,Shroomin,Shroom Lennons,Rainbow Drool,Octopus,Mad Scientist,0.9900000000000001,1.11,1.03,1.0699999999999998,3.66,1.1400000000000001,34,5.053184001756001e-12,0.9900000000000001,1.5000000000000002,6
34,Trippin' Ape Tribe #8875,Blotter,OJ,Orange Slices,Diamond Grill,Octopus,White Rabbit,0.9900000000000001,0.9900000000000001,0.75,1.9800000000000002,3.66,0.95,35,5.060594434500002e-12,0.75,1.5533333333333335,6
35,Trippin' Ape Tribe #8840,Blotter,OJ,Shroom Lennons,Rainbow Drool,Mad Hatter,Patchwork Denim,0.9900000000000001,0.9900000000000001,1.03,1.0699999999999998,2.19,2.19,36,5.180594751981e-12,0.9900000000000001,1.41,6
36,Trippin' Ape Tribe #8805,Blotter,Diamond,HUD,Pizza,Apesolem,White Rabbit,0.9900000000000001,1.81,0.9400000000000001,1.63,2.01,0.95,37,5.242626159210001e-12,0.9400000000000001,1.3883333333333334,6
37,Trippin' Ape Tribe #8823,Blotter,Shroomin,Laser Eyes,J,Crown,Mad Scientist,0.9900000000000001,1.11,0.9400000000000001,2.64,1.77,1.1400000000000001,38,5.502601618272002e-12,0.9400000000000001,1.4316666666666669,6
38,Trippin' Ape Tribe #8879,Blotter,DMTree,Laser Eyes,Shroom,Apesolem,White Rabbit,0.9900000000000001,1.8800000000000001,0.9400000000000001,1.69,2.01,0.95,39,5.64582308004e-12,0.9400000000000001,1.4100000000000001,6
39,Trippin' Ape Tribe #8807,Blotter,Fig,Electric,Rainbow Drool,Mad Hatter,Mad Scientist,0.9900000000000001,2.08,1.04,1.0699999999999998,2.19,1.1400000000000001,40,5.7209033756159995e-12,0.9900000000000001,1.4183333333333337,6
40,Trippin' Ape Tribe #8888,Blotter,Shroomin,Electric,Rainbow Drool,Mad Hatter,Patchwork Denim,0.9900000000000001,1.11,1.04,1.0699999999999998,2.19,2.19,41,5.864939277912001e-12,0.9900000000000001,1.4316666666666666,6
41,Trippin' Ape Tribe #8826,Blotter,Shroomin,Radioactive,Shroom,Crown,White Rabbit,0.9900000000000001,1.11,1.91,1.69,1.77,0.95,42,5.964514749764999e-12,0.95,1.4033333333333333,6
42,Trippin' Ape Tribe #8841,Blotter,Diamond,Radioactive,Ten Strip Blue,Crown,Mad Scientist,0.9900000000000001,1.81,1.91,0.9199999999999999,1.77,1.1400000000000001,43,6.353500694904001e-12,0.9199999999999999,1.4233333333333336,6
43,Trippin' Ape Tribe #8847,Blotter,Diamond,Rainbow Madness,Rainbow Vomit,Apesolem,Mad Scientist,0.9900000000000001,1.81,1.72,0.8999999999999999,2.01,1.1400000000000001,44,6.356025553680001e-12,0.8999999999999999,1.4283333333333335,6
44,Trippin' Ape Tribe #8897,Blotter,OJ,Orange Slices,Pizza,Valhalla Helm,White Rabbit,0.9900000000000001,0.9900000000000001,0.75,1.63,5.92,0.95,45,6.738520734e-12,0.75,1.8716666666666668,6
45,Trippin' Ape Tribe #8835,Blotter,Shroomin,Laser Eyes,Shroom,Crown,Patchwork Denim,0.9900000000000001,1.11,0.9400000000000001,1.69,1.77,2.19,46,6.7669055188020004e-12,0.9400000000000001,1.4483333333333335,6
46,Trippin' Ape Tribe #8808,Blotter,OJ,Radioactive,Rainbow Vomit,Octopus,Psychonaut,0.9900000000000001,0.9900000000000001,1.91,0.8999999999999999,3.66,1.13,47,6.96796234002e-12,0.8999999999999999,1.5966666666666667,6
47,Trippin' Ape Tribe #8811,Blotter,Fig,Rainbow Madness,Substrate,Crown,Mad Scientist,0.9900000000000001,2.08,1.72,0.9900000000000001,1.77,1.1400000000000001,48,7.0752255425280006e-12,0.9900000000000001,1.4483333333333335,6
48,Trippin' Ape Tribe #8882,Blotter,DMTree,HUD,Pizza,Mad Hatter,Mad Scientist,0.9900000000000001,1.8800000000000001,0.9400000000000001,1.63,2.19,1.1400000000000001,49,7.119630715824001e-12,0.9400000000000001,1.461666666666667,6
49,Trippin' Ape Tribe #8871,Blotter,Shroomin,Radioactive,Rainbow Vomit,Crown,Patchwork Denim,0.9900000000000001,1.11,1.91,0.8999999999999999,1.77,2.19,50,7.32236597433e-12,0.8999999999999999,1.4783333333333333,6
50,Trippin' Ape Tribe #8855,Blotter,Shroomin,Rainbow Madness,Diamond Grill,Crown,Mad Scientist,0.9900000000000001,1.11,1.72,1.9800000000000002,1.77,1.1400000000000001,51,7.551442646352003e-12,0.9900000000000001,1.4516666666666669,6
51,Trippin' Ape Tribe #8846,Blotter,DMTree,Radioactive,Rainbow Drool,Crown,Psychonaut,0.9900000000000001,1.8800000000000001,1.91,1.0699999999999998,1.77,1.13,52,7.607849253444e-12,0.9900000000000001,1.4583333333333333,6
52,Trippin' Ape Tribe #8831,Blotter,Gold,Radioactive,Substrate,Crown,Mad Scientist,0.9900000000000001,2.03,1.91,0.9900000000000001,1.77,1.1400000000000001,53,7.667925982794001e-12,0.9900000000000001,1.4716666666666667,6
53,Trippin' Ape Tribe #8851,Blotter,Diamond,Electric,Ten Strip,Mad Hatter,White Rabbit,0.9900000000000001,1.81,1.04,1.9800000000000002,2.19,0.95,54,7.67679633864e-12,0.95,1.4933333333333334,6
54,Trippin' Ape Tribe #8887,Blotter,DMTree,HUD,Ten Strip,Apesolem,Mad Scientist,0.9900000000000001,1.8800000000000001,0.9400000000000001,1.9800000000000002,2.01,1.1400000000000001,55,7.937559549216003e-12,0.9400000000000001,1.4900000000000002,6
55,Trippin' Ape Tribe #8876,Blotter,DMTree,Electric,Substrate,Octopus,Mad Scientist,0.9900000000000001,1.8800000000000001,1.04,0.9900000000000001,3.66,1.1400000000000001,56,7.995534738048002e-12,0.9900000000000001,1.616666666666667,6
56,Trippin' Ape Tribe #8853,Blotter,Fig,Shroom Lennons,Ten Strip,Apesolem,White Rabbit,0.9900000000000001,2.08,1.03,1.9800000000000002,2.01,0.95,57,8.019007270560001e-12,0.95,1.5066666666666668,6
57,Trippin' Ape Tribe #8849,Blotter,Fig,Radioactive,Rainbow Vomit,Apesolem,Psychonaut,0.9900000000000001,2.08,1.91,0.8999999999999999,2.01,1.13,58,8.039867790239999e-12,0.8999999999999999,1.5033333333333332,6
58,Trippin' Ape Tribe #8860,Blotter,OJ,Orange Slices,Shroom,Valhalla Helm,Psychonaut,0.9900000000000001,0.9900000000000001,0.75,1.69,5.92,1.13,59,8.3103345468e-12,0.75,1.9116666666666668,6
59,Trippin' Ape Tribe #8885,Blotter,Gold,Rainbow Madness,Substrate,Mad Hatter,Psychonaut,0.9900000000000001,2.03,1.72,0.9900000000000001,2.19,1.13,60,8.468713335852e-12,0.9900000000000001,1.508333333333333,6
60,Trippin' Ape Tribe #8842,Blotter,Diamond,Shroom Lennons,Eyeballs,Apesolem,Mad Scientist,0.9900000000000001,1.81,1.03,2.01,2.01,1.1400000000000001,61,8.500568284098002e-12,0.9900000000000001,1.4983333333333333,6
61,Trippin' Ape Tribe #8812,Blotter,Shroomin,Electric,Shroom,Apesolem,Patchwork Denim,0.9900000000000001,1.11,1.04,1.69,2.01,2.19,62,8.501946926616e-12,0.9900000000000001,1.505,6
62,Trippin' Ape Tribe #8894,Blotter,Gold,Electric,Pizza,Mad Hatter,Mad Scientist,0.9900000000000001,2.03,1.04,1.63,2.19,1.1400000000000001,63,8.505525332303998e-12,0.9900000000000001,1.5033333333333332,6
