,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
0,4bWc6eyRYwH7d6xFkb49UKTL1H2rAmARFQYPEDdiPM6JcGEsCU7JUYV7zxW3Sb9pTN3GToXdK9M9GnjuaNgKhPsb,buyNow,magiceden_v2,7i9oCGssUHefbdwUHtei6hmtFZAkenL5eLAxivteo27D,trippin_ape_tribe,137893943,1655475001,HL3YttD7cRnkQ4CgDjMF29CxEUjjkAnTh7hazMjRfFMC,,8SsfujC4bNRDPDhfbRx1J3KziToB7kCieDMVXLVygV1Q,,12.96
1,vnFvphJd9LsoMWM4dkzBMjyVhjHjc3pJs4whDvknJ4g8BNPkLPy93q3jAocu8z7CzjyVvZcw47bzBJNj7weX6gz,buyNow,magiceden_v2,DZEBwxrrzLhHEk6cTVmsRw4imDg9ZXf7wdy1CAeg6m6m,trippin_ape_tribe,137888113,1655471009,KB8MiFbYT4syrAdYSGBWbKqtMAMJ84krkQGovaAQWow,,GKPbNuiHuMp29DMEgsWakBxYS4px2pprVPNZyqXznBHP,,18.9969
2,4wdBhwPqbJgg1yxuPeiWpdPk2dbjKPsYdgyQ8efH324pLCGBC8JRdEx7CCDZoDHyk5wZsGMsNLUQYE4YSPNbnjuA,buyNow,magiceden_v2,4546YwaBhqfNA7gosKHyxCb4Nry8vW16YGGUEESKamnQ,trippin_ape_tribe,137886133,1655469648,5kYoJTouVHkFnLJVEPNYdq59MVWKaSvodTRroA9AEcNL,,EhAucfUHkSm5rLzRcnboWsH8rQKsDS5AZcv6sZFiK8Y5,,19.5
3,4Jze93drt7aaSLdLChZt7oRDNsfY1Kh1nN2k5EFC9NAhn2LhuZv695XkQureCKUC9mfiM1TdGXAnDCT71Ko6M2UF,buyNow,magiceden_v2,HRaEEp6H65XiStgfe2De3ooeXr6NiFy8cwh7hoM2XE4P,trippin_ape_tribe,137881720,1655466652,2CVfYJyVy8FhDyvGkkETxq8KKfGkNM8cPRzSJn8DomLy,,4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,,18.9
4,3q3FioP36dXaAgkGdVTfaMVEsAXLfgP3q3EgYDnVAxSg5NWjk274BBhSwo1mHbZfqxGL1C52sjvJQEh3LmCy139Q,buyNow,magiceden_v2,BdfSKiHJMhAKL4SBq1gsBokZbEpefKk77ojacj2dQPDX,trippin_ape_tribe,137881406,1655466441,C3irL6TWThLjxBzx13bJHDje1J6c9SuGspWkJJoKwQPV,,3yquuHjUaUtHyKrYduBw1VW421A9UpYZnonC72dfjkA8,,18.0
5,33S3re4yTzvJBy6A7frHqfbbwPfVHGLTVUU2BnX1o9y3DVfC7aye7qCGEoTHG1FqUzzQxAbf5oUPL4zWDBsJX1M4,buyNow,magiceden_v2,G7sfRcSFBwxkX5rcyT8zQGzyLy4BuLgDD5osthhfeRg4,trippin_ape_tribe,137878611,1655464554,CB15ZEEZCHVUAmgaHLaFMW4fWmPDGijVzEeQnJC5GpQQ,,6jPDHqjK6x2ahamEz99DknMcphJX9H6AnsJrpQcSnLis,,17.99
6,3PvTLDMJYFpxvqP1qSxkzrRBCrP6xs7bQX1YgWTwPw4vbeP2Vneh6AhdsCoTJsdrw1r41qsjtb5ongkYoL6ugqza,buyNow,magiceden_v2,A8Sry1i6myGtwo8Kp8TkMBjZ6ebWbN4kKAHyh46gCfGU,trippin_ape_tribe,137876172,1655462945,2XaxTcvRNmJzMSvJxtxuDUKjbfdmw84bhBSLeEjmrBxT,,EzkuUrR2jsDfVY8RrkE2W2dqbTnVNyFfdPP5Y3B6H15r,,20.0
7,2ujYDaNhNze3AhieLsZHPBgWXajxTHvkhQhjyqvtfJEhmd3wjapMYt9Q1dAzQxn4HEichyYvL2J22G22jJWLnCNX,buyNow,magiceden_v2,Dp1B3Vwq6LzrBEt9RvPQepE7ECUuCQzEisvo1pQdyrkT,trippin_ape_tribe,137875981,1655462823,2BfHRMiMdYpBn9GVhKZyaMBqpgchyGJNiRhYarAmg8gG,,n4YwSjMZsPocfPBfrbAeQANVjgZb8goE5WG1LRguQtT,,20.0
8,4NmgeqYn9Yudo2g5VDuBf4oJnWaqLdDFPDswZDCezCimiJxsghSEpThLdWroPNUA5qQgtuDw8EGn6oZVdN7TG19y,buyNow,magiceden_v2,A8Sry1i6myGtwo8Kp8TkMBjZ6ebWbN4kKAHyh46gCfGU,trippin_ape_tribe,137873933,1655461452,EzkuUrR2jsDfVY8RrkE2W2dqbTnVNyFfdPP5Y3B6H15r,,5ivzrpmUJ9xs4KLcMxuafzyokUK2xX7i2kcbqYzkXQks,,14.0
9,55H2bzXDXUJNkSaW6wLoeTHWAnL84WpVAMHzP4gbXKmYgfSzDqT9SjNBaDneFgfeWRo4d6VJubewbE9kZuo3Xbtg,buyNow,magiceden_v2,HpYDHtHc5mHFw5NU9nVZNwdTtefDwScTD9DZGSan6r1y,trippin_ape_tribe,137873270,1655460981,9GTEtrJGzn3VzwcHyzwMchq5wCV6QhVNvV1Dnr7hKsDE,,wxo1Rj8JAy52FhhqTSiPTNbGZH87RhyMrgKJZiyYcay,,18.0
