name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #9335,0.1265,0.0052,0.0025,0.0965,0.0275,0.032,0.0551,0.0025,0.1265,0.04932857142857143,696.3379816384465,1
Okay Bear #4396,0.1222,0.0158,0.0025,0.0965,0.0227,0.6672,0.0085,0.0025,0.6672,0.13362857142857143,645.0358628155564,2
Okay Bear #1469,0.1222,0.0259,0.0025,0.0199,0.0139,0.6672,0.0214,0.0025,0.6672,0.12471428571428571,617.214819912107,3
Okay Bear #7788,0.1265,0.0052,0.0116,0.0671,0.0037,0.6672,0.0256,0.0037,0.6672,0.12955714285714287,612.1544280860684,4
Okay Bear #8263,0.1261,0.144,0.0049,0.031,0.0104,0.6672,0.0041,0.0041,0.6672,0.1411,592.7694418668848,5
Okay Bear #7110,0.1252,0.0641,0.0038,0.1309,0.0037,0.6672,0.0412,0.0037,0.6672,0.1480142857142857,590.4260745029097,6
Okay Bear #2577,0.1222,0.0456,0.0025,0.0526,0.012,0.6672,0.0239,0.0025,0.6672,0.13228571428571428,575.7976759378229,7
Okay Bear #8158,0.1252,0.0052,0.0049,0.0671,0.0091,0.6672,0.023,0.0049,0.6672,0.12881428571428571,574.1468467841737,8
Okay Bear #5971,0.1222,0.1413,0.0054,0.0454,0.0037,0.0183,0.0551,0.0037,0.1413,0.05591428571428571,565.5359631341144,9
Okay Bear #4859,0.1252,0.0456,0.0025,0.0454,0.0256,0.0211,0.0379,0.0025,0.1252,0.04332857142857143,564.7845659300658,10
Okay Bear #2226,0.1187,0.1413,0.0048,0.1309,0.0038,0.0409,0.0239,0.0038,0.1413,0.06632857142857143,560.9232700756229,11
Okay Bear #7949,0.1187,0.1268,0.0049,0.1309,0.0037,0.0438,0.0256,0.0037,0.1309,0.06491428571428572,560.1959077185055,12
Okay Bear #7478,0.1227,0.1413,0.0038,0.0087,0.0075,0.6672,0.0412,0.0038,0.6672,0.14177142857142858,552.4315025105408,13
Okay Bear #1072,0.1252,0.1413,0.0025,0.0671,0.1965,0.0092,0.2698,0.0025,0.2698,0.11594285714285713,547.4586508593468,14
Okay Bear #2833,0.1222,0.144,0.0025,0.0965,0.0124,0.6672,0.026,0.0025,0.6672,0.15297142857142856,546.0959455117027,15
Okay Bear #7509,0.1252,0.0276,0.0025,0.2023,0.0315,0.0282,0.0337,0.0025,0.2023,0.06442857142857143,546.0428733956205,16
Okay Bear #9886,0.1326,0.0052,0.0049,0.0671,0.012,0.0407,0.0551,0.0049,0.1326,0.04537142857142857,544.8861109777316,17
Okay Bear #5377,0.1265,0.0052,0.0038,0.062,0.0175,0.6672,0.2698,0.0038,0.6672,0.1645714285714286,541.8478649662553,18
Okay Bear #3340,0.1265,0.0072,0.0048,0.0671,0.0178,0.0171,0.0175,0.0048,0.1265,0.03685714285714286,541.8326548068699,19
Okay Bear #2885,0.1222,0.144,0.0049,0.062,0.0037,0.6672,0.0301,0.0037,0.6672,0.14772857142857143,540.3300780028458,20
Okay Bear #3730,0.1252,0.0456,0.0025,0.0507,0.0383,0.0438,0.029,0.0025,0.1252,0.04787142857142857,533.0643803098126,21
Okay Bear #1257,0.1227,0.0641,0.0025,0.2023,0.0197,0.6672,0.023,0.0025,0.6672,0.15735714285714283,524.4322201558406,22
Okay Bear #9485,0.126,0.0456,0.0025,0.0965,0.0161,0.6672,0.0551,0.0025,0.6672,0.14414285714285713,521.988449326577,23
Okay Bear #1983,0.1261,0.0072,0.0038,0.0671,0.0157,0.6672,0.0337,0.0038,0.6672,0.13154285714285713,519.7467863783473,24
Okay Bear #7021,0.1187,0.0456,0.0025,0.0341,0.0197,0.6672,0.2698,0.0025,0.6672,0.16537142857142856,515.6466090900676,25
Okay Bear #3283,0.1265,0.1268,0.0025,0.031,0.1965,0.0374,0.0303,0.0025,0.1965,0.07871428571428571,512.8799649559248,26
Okay Bear #7613,0.1265,0.1413,0.0025,0.0965,0.0197,0.6672,0.0339,0.0025,0.6672,0.15537142857142858,507.10372082831753,27
Okay Bear #9667,0.126,0.0641,0.0025,0.1309,0.0197,0.6672,0.0424,0.0025,0.6672,0.1504,507.02167930500116,28
Okay Bear #8003,0.1252,0.039,0.0426,0.026,0.0116,0.0051,0.0078,0.0051,0.1252,0.036757142857142856,506.05441908300566,29
Okay Bear #2126,0.1261,0.1413,0.0025,0.0671,0.02,0.6672,0.0412,0.0025,0.6672,0.15219999999999997,505.6811302275385,30
Okay Bear #599,0.126,0.1413,0.0025,0.2023,0.0227,0.0282,0.2698,0.0025,0.2698,0.11325714285714285,503.17710806926203,31
Okay Bear #1321,0.126,0.0641,0.0025,0.2023,0.0208,0.6672,0.0412,0.0025,0.6672,0.16058571428571428,502.32785438989987,32
Okay Bear #3888,0.1261,0.0276,0.0049,0.0454,0.0088,0.6672,0.0086,0.0049,0.6672,0.12694285714285716,501.6843969079131,33
Okay Bear #532,0.1252,0.1413,0.0025,0.0788,0.022,0.6672,0.0379,0.0025,0.6672,0.15355714285714286,501.09328730052056,34
Okay Bear #9666,0.1265,0.0818,0.0253,0.0087,0.0124,0.6672,0.0041,0.0041,0.6672,0.13228571428571428,500.6446989244089,35
Okay Bear #2489,0.1326,0.144,0.0025,0.2023,0.0204,0.6672,0.0379,0.0025,0.6672,0.17241428571428571,496.3327093830151,36
Okay Bear #2410,0.1252,0.0641,0.0097,0.2023,0.0088,0.6672,0.0041,0.0041,0.6672,0.15448571428571428,490.6613853294675,37
Okay Bear #3756,0.1261,0.1268,0.0081,0.0671,0.0037,0.0282,0.0352,0.0037,0.1268,0.05645714285714286,488.31692331485885,38
Okay Bear #9980,0.1252,0.0456,0.0025,0.0788,0.1965,0.6672,0.0379,0.0025,0.6672,0.16481428571428575,475.580484096449,39
Okay Bear #6560,0.1265,0.0641,0.0025,0.094,0.1965,0.6672,0.029,0.0025,0.6672,0.16854285714285713,475.21467834131766,40
Okay Bear #1360,0.1227,0.0495,0.0081,0.0965,0.0038,0.6672,0.0212,0.0038,0.6672,0.13842857142857143,473.9979708930283,41
