,tradeCount,tradeTime,price,dex,signature
0,2.0,1651140759.0,64999900000.0,magiceden,55mnGHHCG1zKYUBqW6d3z8D5RKi7wZEA7ksT1LocKTp6SgiRzUKoKHgx1GTRp4Z7dSvAxn9bHwkBXJHLKRBt6wmy
1,4.0,1651116722.0,110000000000.0,magiceden,JayNLh3WCbdqXfyuYUtWiEsgo6KmsT6SdGSvbdF2x8kqM6K4Tstt3cWL5BVykJBAXNrj88nEK2uub6LpWgcPhfF
2,1.0,1651027066.0,40690000000.0,magiceden,2aJvuPkBALGWFiY9wHUHoFcTen4VGARpUgj83q7VaPxfNFyHXNTJEbgiMLMCaEnAoa9VtEQSFQ3YbLDdAWCobsms
3,7.0,1651449941.0,90000000000.0,magiceden,3Wsz379AZ6eyCC1crSMSVyUXWE5tTjTvwRY5Zpxn2UFmNaazRhXH66LwYu41HZA7ftqsrgSaQ3FvJGbRUpB74SPt
4,1.0,1651006170.0,10990000000.0,magiceden,4cSNt1g24CaFeGemPwcpQrn3nKNtPf8ZSWxY8ULSCHepNKcF81ZBCVm6fCN35dNQQnHG4MJrjRLmK1wdY8A8QJSE
5,1.0,1651974727.0,181550000000.0,magiceden,qUdGhGLkYMK254WGjRi8oFdf8ofNT4SVx7kSS16VMHRqzFCzmwB9PiWeHUgwFARk1EpH1rwCiX6ShyWizccqT9y
6,3.0,1652310431.0,116000000000.0,magiceden,5ZLYXBsGQreGp2JZmSrjyodF5E6UzBZ1dUof2q8mtgJ8Tu9U6KSXT7QaPgqpB5tbrt8RTekRNYzZXmkmZvaZFC2s
7,3.0,1652919510.0,400000000000.0,magiceden,2koGUeDXapdDG5SudkYRrReTCXTjXm7jUsKJ9WuerdmXYJFxhWynKYMPua1EmYR5JgsqUtXrxmcdpK8oakPQWtJE
8,1.0,1652545902.0,178000000000.0,magiceden,4RBYtbXLZirnnxLAFYJWdFiDTggTeprG18yqGFTniKNC7bYnbc2rVcF573aPr1yX6drg42Tedc6DR4GZ4fv9UM71
9,2.0,1651022054.0,29490000000.0,magiceden,5XPgHYKiU8s2GQrffef4us8fyikHZVFVvyoAvVfFWwsmguzpUUzxBj3K3hoUvLbpn2BBKa6n3ouLRPXp7XvMLbeE
10,3.0,1652661337.0,260000000000.0,magiceden,56aRdTzDo6qP5ScPtDUtVkZEqJUcCWktjr922n2MqBJo9oYmLXGdu4AFT5oGzp2X2fDEoE7PpVowpVPhPjyydtFM
11,2.0,1651077279.0,58800000000.0,magiceden,5oYTeRGgrsqQZjjoX4V6Vf4zhMoPaUkxvAs7KLH7kaM5nk7nAvowVUFNJKqt4KDgV2n4Wxy6qaeT3qakLPchTtZd
12,2.0,1651981366.0,198500000000.0,magiceden,JLvWTxHjNY4X8MCtWiRKuWvbJ1y28Mto5JHPViFghkDTYgTcjPg1SMUgWLbmcgEEVQoepSkXmYHFhiyDZdoh3hB
13,1.0,1651005287.0,8980000000.0,magiceden,4JKYwKRqJuc1s4Sv25EkmkYtjaM5cMiREpsB3oFSdwsDijNGvNGmUjSTfmeMtZK9pHjzJ9qeK3rg4xkFMgczFkjV
14,2.0,1651751273.0,130000000000.0,magiceden,g9Zczaumfi7ECsKPs75aDZAqwNscfvv2Y7qBFXQ8MXAq9dvgnj3XnHb4fjPqgqoMS9nphPMsNo4prNVH9yLhZmg
15,1.0,1651019049.0,34000000000.0,magiceden,4cDuWgSFps1g94iz2M4fJXkT9oevZ1EmGPQjtbx1rshhSSF6mkkaQ3h7zWwCohpc3J1cECvooJG4edARwh9KJrBX
16,3.0,1653871446.0,175000000000.0,magiceden,5fZEFDpKsNJABVWcXm2FoWoSJLEHRCN2R3PsMX3dbarFHA9vfgcvcDg4VRg8AbnJ3KEG5KzooAqRr4Fh5Z6acG25
17,2.0,1652721283.0,220000000000.0,magiceden,71KTWEwceknjjxR1XTeq5iXdkyMYpA7daT8QjCH9nR5Q5ujy4cVCzzjhwiTLj8KH1UugS86ogaZs4vcRHbWQExV
18,5.0,1652609626.0,200000000000.0,magiceden,cCezjz99mXM9hMrjVswBfppBkdZfMx7nkPERtaMSdokoa5zwWDLbGVhESiH1UjFW1K3DiS8rww9keRKHU1KjWVh
19,1.0,1654241652.0,168000000000.0,magiceden,2teRUAD4TToD9zP19KBeep2oFQWx9wPZDEV9WPX42FnSnPhsLV46KgnWNLr3hKddx7myyntYZDNtibrLsiThXzUo
20,2.0,1651214145.0,100690000000.0,magiceden,2T6fJD9wP76pXo9btyRqwarvjhDpNiknkeCWxFuSiqZUjGsVpgs6e1ij9fsAWR42qSAPCTCVHPACvPB1e8Z1qhtW
21,2.0,1651712568.0,119000000000.0,magiceden,4AT3HA4DDgYqERC1tYVyMTAJm4tNgWhNFEXCNwpKX7iWVRh5xy7VxvzhH1RP5AYhjX7cLE88SaWt9D6b3mc1HniA
22,5.0,1651945649.0,174900000000.0,magiceden,52Q3hsMpaKeGc39F3kUkgKyNAuoWEQYhJ6QyvM4mkj7F6jeRJhQvjUv8E2cWWvnYRtk5FBij3VoxXKyJNKk6MChc
23,1.0,1651761918.0,125000000000.0,magiceden,4q4tMzSynqQsk9TnSVCqikRy4WigSuJ19PXbDUpYFv73mT5nncTeEXq1BjqMQWXFtVRMH2JnSEdPZSxZK4PQKouG
24,1.0,1651029233.0,35000000000.0,magiceden,5pNaC23pXAbLCyYVWvQw9C4Zbe4MYn5V8zPijPgupV3W1KfJu9HUZgnyQTCtaBVF5yGN2nMKD56ov3A438MxYiyL
25,3.0,1651416140.0,85000000000.0,magiceden,33ELbwnZc5FknikD8S7e2BAgijqzcjwCu8AGPLghFMJMd3pgWC9duviXhiGdiAiYshXMGYSQtc58pKrWQrLyzMYn
26,3.0,1651952312.0,219000000000.0,magiceden,4ndtit1DR4Mrz8VoqTn4TnYJL5ASkof9XFHHn3ciFRgysW2vLWoGqaujps2VU3275c9a4N87xB6G7RRP6dCiJQvm
27,1.0,1652668397.0,300000000000.0,magiceden,5RaMDJmSihR5Up7NJu89xYqTUvy5tDgBHnAVeMf7ojvkiCVKS5Bp8KrX7cjzKzwUcHod9HeGhoPDG8LFMQwsWMPL
28,1.0,1651009183.0,12400000000.0,magiceden,3VsXPeASM2Skj977e1wkwovyq6XtdsebM68U1UoEXKgFh2xFgkh44pxyCHyZDhbbiSPgFisZY9RFERBCtRTMygX7
29,1.0,1651720758.0,121990000000.0,magiceden,5HvVbVDb9vgvHkt9T7iUhJuwnuVH4x9VCJjzc1yK7A8BuJfoM2XD8maG5hu4FjghLJLyZDQTgHaWkSLqn2zjU5dS
30,2.0,1651595782.0,76900000000.0,magiceden,56HFyvf1xyBkZJ62HW4urX4iFrNZJc1RafxB4vvXLj6uhxCZdKddLe1ueio6YE9NkZckjVARisnzhnujiBtdPH1v
31,1.0,1651324651.0,117000000000.0,magiceden,cVkj94pJTYuXFpcswHPsJEfjZ76mpXUCc9aBZzt4tJoPNxSbR8fnbmiUdsJ5sGzNLDLqZWtLwymyVfhy7GC7kBx
32,3.0,1651013130.0,21900000000.0,magiceden,2f19kUXhT1WN5UeDBFSTc3tvmcE7bPiosxi4fTCmqeUiyziBVnEMNoQaYr3CGPTsLz3DBacpbpkDnvkwoBkxDTao
33,1.0,1651129970.0,77000000000.0,magiceden,3vSQyMoKZGzcNqoxid3cEJvkxv6wBM3G3CbJcsYM2ijjdtUJihKNH7kBX2QabENRmzi1ovDG3aLkPK1rcHsEv2mH
34,1.0,1651024567.0,30000000000.0,magiceden,4XgPRX8EGzSEEc7gVKLgmzQp3CFfzaxrTsWBTNrCEQWBZbCj8B8tk1mXCzGAaNvMyA4zZBDwufnxB7ahzXBLg9wa
35,2.0,1653344790.0,197000000000.0,magiceden,3RnjXq2a1eHayfJ4o3Jww1jnZAGGXxvRTKTAxDDyRjFBu52JgLXA2mq5jdCxUeD7cgXgw4SkHDyZeHmfcHNmDvdd
36,2.0,1652171538.0,140000000000.0,magiceden,3TjytPSZJQUY9WwyAAxgTUJWSiPYNmtfWJqCv4Lh6rrRc17VHp88QnEDWECGjpTXa6bGfBVEGTK8SayfFJmdRCSH
37,2.0,1651035022.0,59000000000.0,magiceden,4xjL6MYEqnvUM8XqMrDgrjvkuhQW3o1kLgiUULwemLsqkhSJhpcKAAyLoTW12UjYopKwgb2LHrqxsQ1HNsmMcBiR
38,7.0,1652165836.0,136000000000.0,magiceden,4cdqG5aDjghwYE4Q9pCLzVgm2CN6m17jYmQXedGrYZHSX4yUWwQwbj2S3XLTzYcb3QUpC6UvCF15fb67fNJWj2Cf
39,3.0,1652940940.0,265000000000.0,magiceden,rQWhwZqNKixnGvGia4tdZRdRRgE1J5TVqkLnEcCKHfcZqW4CwFufvbWQ3XwtE8G8uKGYUtPUejZvza812s32Sk6
40,1.0,1651010962.0,14990000000.0,magiceden,Sze7B4hfdNL7hDuRywu5Bgmyz93eC2UUHuREtw3JHmaq7PUmvQgRh9C3ka394LnRW19Jmp1pCJUbZSqmhEAwGWs
41,2.0,1651264351.0,110000000000.0,magiceden,4VxiFCMgms86APUT6enm9WQxQBtwUtqdZ5mabKqhhvHotrTTTb9rkx6rNxTrFcpq1HZ8CDbamMDzEFs6BhACM3ru
42,3.0,1652850566.0,475000000000.0,magiceden,27giy4m2jy5tCNWdXBHPXEcG3U1XKKjSistePoZkZ29XYayfxpbneJQiRMih8xzHw4EVTSYk8w8tsBAjMm72K77u
43,1.0,1651010572.0,11500000000.0,magiceden,3ZpaowJh8q4mT7pT2JAizawLAbh32dP8ZpYwe6J8kxRS18EHzqVSBbRVkN65TqihNzaZ1EZ9nyUqyvjD5GDm66jG
44,1.0,1651005602.0,8440000000.0,magiceden,4AcDDxEFFHYJwtvfUR8ea3qVV8wPgkDsqfxb1kptGzm1DRe4vqNMmkddX5rRNhkdi7vDfoK6L7TQGpz7iAgcJcKA
45,1.0,1651009119.0,14000000000.0,magiceden,3n6S7wxs9Zquey881xThite2QRiELNnFRqAFYxhH3AiXXAidGfNhTYdK4yASHCxpBskvgreFF3BSzcHkjWQea52h
46,4.0,1651972281.0,178000000000.0,magiceden,9KKv4ZxKd4Xq6KmCkcKzyktAFSTrcCYPpmfNKUnC2qxSrpGEKj9A6oxntHkvDR74eQLy6JGXHmzWPkjoHtbDX5F
47,4.0,1654374235.0,220000000000.0,magiceden,9hZCZT7aNgKhGtGiQTKxs6W8yVYvJSGxgLC6mfRbxiG68CmLZzE7yPQw52Du4xsm2wA6yL6f8nYVnQeK2UZhsMW
48,3.0,1652453103.0,125000000000.0,magiceden,PqBAbVoDDYvUNxPu9Hpj9hd7d758jiQmtWzN6WrrtQmrt3NMMTW285fvhq5iDfuLjvHJLaaxWCjYirxbs6G8H5s
